traj_idx,method,ADE,RMSE,smooth,noisy_ADE,uncond_ADE,delta_ADE_vs_noisy,delta_ADE_vs_uncond,improved_vs_noisy,improved_vs_uncond
142,noisy_input,0.053529269993305206,0.06264203041791916,0.3380206823348999,0.053529269993305206,0.05296086519956589,0.0,0.0005684047937393188,0,0
143,noisy_input,0.06082773953676224,0.06577008217573166,0.39537718892097473,0.06082773953676224,0.05732161924242973,0.0,0.0035061202943325043,0,0
144,noisy_input,0.058723390102386475,0.06540987640619278,0.16571247577667236,0.058723390102386475,0.05577952414751053,0.0,0.002943865954875946,0,0
145,noisy_input,0.05548446252942085,0.06352952122688293,0.41859737038612366,0.05548446252942085,0.0628136694431305,0.0,-0.0073292069137096405,0,1
146,noisy_input,0.07215584814548492,0.07738816738128662,0.2740419805049896,0.07215584814548492,0.0776657909154892,0.0,-0.0055099427700042725,0,1
147,noisy_input,0.058708298951387405,0.06445464491844177,0.1274281144142151,0.058708298951387405,0.054874926805496216,0.0,0.0038333721458911896,0,0
148,noisy_input,0.0760311409831047,0.08489557355642319,0.21771861612796783,0.0760311409831047,0.07573221623897552,0.0,0.0002989247441291809,0,0
149,noisy_input,0.05259985849261284,0.05873362720012665,0.1418168544769287,0.05259985849261284,0.050687648355960846,0.0,0.0019122101366519928,0,0
150,noisy_input,0.06264053285121918,0.0715055987238884,0.20010407269001007,0.06264053285121918,0.06064735725522041,0.0,0.001993175595998764,0,0
151,noisy_input,0.057472534477710724,0.06720471382141113,0.14393165707588196,0.057472534477710724,0.05477406457066536,0.0,0.0026984699070453644,0,0
152,noisy_input,0.06613504141569138,0.07512471824884415,0.13452142477035522,0.06613504141569138,0.06576871126890182,0.0,0.0003663301467895508,0,0
153,noisy_input,0.05708067864179611,0.06577662378549576,0.21622365713119507,0.05708067864179611,0.05384068936109543,0.0,0.0032399892807006836,0,0
154,noisy_input,0.06078441068530083,0.06879449635744095,0.1645355224609375,0.06078441068530083,0.06329800188541412,0.0,-0.0025135912001132965,0,1
155,noisy_input,0.06064096838235855,0.06965964287519455,0.18995732069015503,0.06064096838235855,0.05715391784906387,0.0,0.0034870505332946777,0,0
156,noisy_input,0.042232804000377655,0.05013908073306084,0.19494909048080444,0.042232804000377655,0.04023702070116997,0.0,0.0019957832992076874,0,0
157,noisy_input,0.06546349823474884,0.070937879383564,0.2262924313545227,0.06546349823474884,0.05867685005068779,0.0,0.00678664818406105,0,0
158,noisy_input,0.06597288697957993,0.07500369846820831,0.19826719164848328,0.06597288697957993,0.06190451979637146,0.0,0.004068367183208466,0,0
159,noisy_input,0.07007939368486404,0.0786561518907547,0.20146112143993378,0.07007939368486404,0.06972481310367584,0.0,0.0003545805811882019,0,0
160,noisy_input,0.06853477656841278,0.07594887167215347,0.37168172001838684,0.06853477656841278,0.06177279353141785,0.0,0.006761983036994934,0,0
161,noisy_input,0.08197537064552307,0.08844462782144547,0.23956158757209778,0.08197537064552307,0.0791662260890007,0.0,0.0028091445565223694,0,0
162,noisy_input,0.06918779015541077,0.07355402410030365,0.1329507827758789,0.06918779015541077,0.06370429694652557,0.0,0.005483493208885193,0,0
163,noisy_input,0.07299311459064484,0.08021188527345657,0.17686158418655396,0.07299311459064484,0.07263775914907455,0.0,0.000355355441570282,0,0
164,noisy_input,0.06470252573490143,0.07345385104417801,0.161900594830513,0.06470252573490143,0.06519506871700287,0.0,-0.0004925429821014404,0,1
