method,degradation,ADE_mean,ADE_std,ADE_median,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,RMSE_median,RMSE_p25,RMSE_p75,smooth_mean,smooth_std,smooth_median,smooth_p25,smooth_p75,n_traj,n_seed
ddpm_eth_sdedit,jump_medium,1.3132212162017822,0.3028983771800995,1.2816901206970215,1.0934770107269287,1.5045355558395386,1.502178430557251,0.3439479470252991,1.4733266830444336,1.2549152374267578,1.7183001041412354,0.036890316754579544,0.006863734219223261,0.03658962622284889,0.03207724541425705,0.04132135957479477,1000,5
ddpm_finetuned_sdedit,jump_medium,1.1621454954147339,0.23327386379241943,1.1407971382141113,0.9962060451507568,1.3145607709884644,1.3209468126296997,0.2581600248813629,1.3031970262527466,1.130592942237854,1.4981064796447754,0.06749177724123001,0.012167748063802719,0.0668465867638588,0.058328595012426376,0.07545307278633118,1000,5
noisy_input,burst_medium,0.1508864462375641,0.027979973703622818,0.15023696422576904,0.13087493181228638,0.1692887246608734,0.2579455077648163,0.07020382583141327,0.2522199749946594,0.20743921399116516,0.30571237206459045,0.43379899859428406,0.10882576555013657,0.42517316341400146,0.3551085591316223,0.5060149431228638,1000,1
kalman_cv,burst_medium,0.13500867784023285,0.04200728237628937,0.13307812809944153,0.10370156168937683,0.16327545046806335,0.15663094818592072,0.04830387234687805,0.15479721128940582,0.12163768708705902,0.18855810165405273,0.026349253952503204,0.008285613730549812,0.026137245818972588,0.021094046533107758,0.03162204474210739,1000,1
ddpm_eth_sdedit,burst_medium,1.974740743637085,0.4948566257953644,1.9256165027618408,1.62485933303833,2.284810781478882,2.2672500610351562,0.5668351650238037,2.2112793922424316,1.8612420558929443,2.6118502616882324,0.04067230969667435,0.006887112744152546,0.040541648864746094,0.03611302003264427,0.045107804238796234,1000,5
ddpm_finetuned_sdedit,burst_medium,1.4467962980270386,0.3146328330039978,1.4202685356140137,1.2266772985458374,1.636267900466919,1.633358359336853,0.3481917679309845,1.6066336631774902,1.3920724391937256,1.8442296981811523,0.06790895015001297,0.012189076282083988,0.0676484927535057,0.05940743163228035,0.07580138742923737,1000,5
noisy_input,combined_medium,0.2673910856246948,0.08109642565250397,0.2495815008878708,0.20881260931491852,0.3075371980667114,0.2918698787689209,0.08263189345598221,0.27246540784835815,0.23200181126594543,0.33209967613220215,0.3815354108810425,0.061958346515893936,0.37933194637298584,0.3391602337360382,0.41852959990501404,1000,1
kalman_cv,combined_medium,0.2531834840774536,0.08864212781190872,0.23909613490104675,0.1880950778722763,0.3003847599029541,0.27398455142974854,0.09035471081733704,0.26128190755844116,0.20993047952651978,0.3246838450431824,0.02612096257507801,0.008168145082890987,0.025859810411930084,0.020763341337442398,0.031237348914146423,1000,1
ddpm_eth_sdedit,combined_medium,1.9967734813690186,0.49720636010169983,1.9436050653457642,1.6482973098754883,2.2933924198150635,2.278080701828003,0.5678948163986206,2.2226881980895996,1.869874358177185,2.6278252601623535,0.0406709760427475,0.0068889460526406765,0.040507249534130096,0.03622836247086525,0.045105982571840286,1000,5
ddpm_finetuned_sdedit,combined_medium,1.4714288711547852,0.32487258315086365,1.4430768489837646,1.2289111614227295,1.6607387065887451,1.6470141410827637,0.3563750088214874,1.609449028968811,1.3864346742630005,1.8726608753204346,0.0678735226392746,0.01214568130671978,0.06758404523134232,0.05926492437720299,0.0754849761724472,1000,5
