method,degradation,metric,mean,std,min,max,median,p25,p75,n_trajectories,n_seeds,n_total
ddpm_v1_masked_replace,missing_noise,masked_ADE,0.11956493414891156,0.06597013362464432,0.014147448353469372,0.38420119881629944,0.11051693931221962,0.06756177917122841,0.15933549031615257,1024,1,1024
ddpm_v1_masked_replace,missing_noise,masked_RMSE,0.08533571345014934,0.04679422251444169,0.011113852262496948,0.2723964750766754,0.07913799583911896,0.0483842883259058,0.11363839730620384,1024,1,1024
ddpm_v1_masked_replace,missing_noise,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v1_masked_replace,missing_noise,off_map_ratio,9.765625e-05,0.002207549717862758,0.0,0.05,0.0,0.0,0.0,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise,ADE,0.03709258884191513,0.0055061825551092625,0.023356366902589798,0.07410327345132828,0.036732807755470276,0.033217258751392365,0.04055437445640564,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise,RMSE,0.0415443480014801,0.006150722038000822,0.027142733335494995,0.09756996482610703,0.04105114936828613,0.03749571740627289,0.04508025944232941,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise,masked_ADE,0.03553214318844766,0.01789302271678318,0.002655917312949896,0.19358281791210175,0.03262794390320778,0.023145149927586317,0.04458848666399717,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise,masked_RMSE,0.02604979845705202,0.012661835620550756,0.0021330765448510647,0.13833469152450562,0.024072252213954926,0.017447350546717644,0.032479748129844666,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise,off_map_ratio,9.765625e-05,0.002207549717862758,0.0,0.05,0.0,0.0,0.0,1024,1,1024
ddpm_v3_inpainting,missing_noise,ADE,0.15848472714424133,0.11615335196256638,0.02862984873354435,1.1044255495071411,0.12485747784376144,0.08147420734167099,0.1939716786146164,1024,5,5120
ddpm_v3_inpainting,missing_noise,RMSE,0.19821815192699432,0.15591035783290863,0.03330940380692482,1.4788514375686646,0.1514892578125,0.09565746784210205,0.2436099797487259,1024,5,5120
ddpm_v3_inpainting,missing_noise,masked_ADE,0.15219068952610543,0.12013792627202446,0.00865477230399847,1.1196006536483765,0.11843540892004967,0.07291800156235695,0.19064703583717346,1024,5,5120
ddpm_v3_inpainting,missing_noise,masked_RMSE,0.11683250040250641,0.09412865141296027,0.006856607273221016,0.8828220367431641,0.08956088870763779,0.054733882658183575,0.1450359970331192,1024,5,5120
ddpm_v3_inpainting,missing_noise,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,5,5120
