method,degradation,metric,std_across_trajectories,std_across_seeds,std_total
ddpm_v2_blend_alpha0.1,missing_noise_drift,ADE,0.00887023750692606,nan,0.00887023750692606
ddpm_v2_blend_alpha0.1,missing_noise_drift,RMSE,0.009229829534888268,nan,0.009229829534888268
ddpm_v2_blend_alpha0.1,missing_noise_drift,masked_ADE,0.021916998738621195,nan,0.021916998738621195
ddpm_v2_blend_alpha0.1,missing_noise_drift,masked_RMSE,0.015369035016862797,nan,0.015369035016862797
ddpm_v2_blend_alpha0.1,missing_noise_drift,wall_crossing_count,0.0,nan,0.0
ddpm_v2_blend_alpha0.1,missing_noise_drift,off_map_ratio,0.002702362129301116,nan,0.002702362129301116
ddpm_v3_inpainting,missing_noise_drift,ADE,0.11580755561590195,0.08092506974935532,0.11608477681875229
ddpm_v3_inpainting,missing_noise_drift,RMSE,0.1545136421918869,0.10766679048538208,0.15491682291030884
ddpm_v3_inpainting,missing_noise_drift,masked_ADE,0.11992682605604137,0.08359229933422188,0.12010736146697482
ddpm_v3_inpainting,missing_noise_drift,masked_RMSE,0.09379599951265179,0.0656359994389921,0.09396137934613774
ddpm_v3_inpainting,missing_noise_drift,wall_crossing_count,0.0,0.0,0.0
ddpm_v3_inpainting,missing_noise_drift,off_map_ratio,0.06886350692721227,0.020834613626626614,0.06903511919996141
