degradation,degradation_group,traj_idx,method,ADE,smooth,noisy_ADE,noisy_smooth,delta_ADE_vs_noisy,delta_smooth_vs_noisy,improved_ADE_vs_noisy,improved_smooth_vs_noisy
gaussian_medium,relative_observable,122,noisy_input,0.067314513027668,0.5100261569023132,0.067314513027668,0.5100261569023132,0.0,0.0,0,0
gaussian_medium,relative_observable,123,noisy_input,0.06365425139665604,0.17862099409103394,0.06365425139665604,0.17862099409103394,0.0,0.0,0,0
gaussian_medium,relative_observable,124,noisy_input,0.07229502499103546,0.17555390298366547,0.07229502499103546,0.17555390298366547,0.0,0.0,0,0
gaussian_medium,relative_observable,125,noisy_input,0.0507008321583271,0.3153918981552124,0.0507008321583271,0.3153918981552124,0.0,0.0,0,0
gaussian_medium,relative_observable,126,noisy_input,0.0687909722328186,0.29283303022384644,0.0687909722328186,0.29283303022384644,0.0,0.0,0,0
gaussian_medium,relative_observable,127,noisy_input,0.05025341361761093,0.16333498060703278,0.05025341361761093,0.16333498060703278,0.0,0.0,0,0
gaussian_medium,relative_observable,128,noisy_input,0.07547896355390549,0.2059471160173416,0.07547896355390549,0.2059471160173416,0.0,0.0,0,0
gaussian_medium,relative_observable,129,noisy_input,0.0584014467895031,0.2846340537071228,0.0584014467895031,0.2846340537071228,0.0,0.0,0,0
gaussian_medium,relative_observable,130,noisy_input,0.06082163378596306,0.24782146513462067,0.06082163378596306,0.24782146513462067,0.0,0.0,0,0
gaussian_medium,relative_observable,131,noisy_input,0.0703960657119751,0.3548932671546936,0.0703960657119751,0.3548932671546936,0.0,0.0,0,0
gaussian_medium,relative_observable,132,noisy_input,0.057657770812511444,0.14972493052482605,0.057657770812511444,0.14972493052482605,0.0,0.0,0,0
gaussian_medium,relative_observable,133,noisy_input,0.07890082895755768,0.17625902593135834,0.07890082895755768,0.17625902593135834,0.0,0.0,0,0
gaussian_medium,relative_observable,134,noisy_input,0.06966028362512589,0.18685060739517212,0.06966028362512589,0.18685060739517212,0.0,0.0,0,0
gaussian_medium,relative_observable,135,noisy_input,0.06959477066993713,0.1987147331237793,0.06959477066993713,0.1987147331237793,0.0,0.0,0,0
gaussian_medium,relative_observable,136,noisy_input,0.07904346287250519,0.20913536846637726,0.07904346287250519,0.20913536846637726,0.0,0.0,0,0
gaussian_medium,relative_observable,137,noisy_input,0.06061019375920296,0.13794785737991333,0.06061019375920296,0.13794785737991333,0.0,0.0,0,0
gaussian_medium,relative_observable,138,noisy_input,0.07277632504701614,0.20100384950637817,0.07277632504701614,0.20100384950637817,0.0,0.0,0,0
gaussian_medium,relative_observable,139,noisy_input,0.05832662433385849,0.1707523912191391,0.05832662433385849,0.1707523912191391,0.0,0.0,0,0
gaussian_medium,relative_observable,140,noisy_input,0.06620535999536514,0.39643633365631104,0.06620535999536514,0.39643633365631104,0.0,0.0,0,0
gaussian_medium,relative_observable,141,noisy_input,0.07058821618556976,0.16859117150306702,0.07058821618556976,0.16859117150306702,0.0,0.0,0,0
gaussian_medium,relative_observable,142,noisy_input,0.053529269993305206,0.3380206823348999,0.053529269993305206,0.3380206823348999,0.0,0.0,0,0
gaussian_medium,relative_observable,143,noisy_input,0.06082773953676224,0.39537718892097473,0.06082773953676224,0.39537718892097473,0.0,0.0,0,0
gaussian_medium,relative_observable,144,noisy_input,0.058723390102386475,0.16571247577667236,0.058723390102386475,0.16571247577667236,0.0,0.0,0,0
gaussian_medium,relative_observable,145,noisy_input,0.05548446252942085,0.41859737038612366,0.05548446252942085,0.41859737038612366,0.0,0.0,0,0
gaussian_medium,relative_observable,146,noisy_input,0.07215584814548492,0.2740419805049896,0.07215584814548492,0.2740419805049896,0.0,0.0,0,0
gaussian_medium,relative_observable,147,noisy_input,0.058708298951387405,0.1274281144142151,0.058708298951387405,0.1274281144142151,0.0,0.0,0,0
gaussian_medium,relative_observable,148,noisy_input,0.0760311409831047,0.21771861612796783,0.0760311409831047,0.21771861612796783,0.0,0.0,0,0
gaussian_medium,relative_observable,149,noisy_input,0.05259985849261284,0.1418168544769287,0.05259985849261284,0.1418168544769287,0.0,0.0,0,0
gaussian_medium,relative_observable,150,noisy_input,0.06264053285121918,0.20010407269001007,0.06264053285121918,0.20010407269001007,0.0,0.0,0,0
gaussian_medium,relative_observable,151,noisy_input,0.057472534477710724,0.14393165707588196,0.057472534477710724,0.14393165707588196,0.0,0.0,0,0
gaussian_medium,relative_observable,152,noisy_input,0.06613504141569138,0.13452142477035522,0.06613504141569138,0.13452142477035522,0.0,0.0,0,0
gaussian_medium,relative_observable,153,noisy_input,0.05708067864179611,0.21622365713119507,0.05708067864179611,0.21622365713119507,0.0,0.0,0,0
gaussian_medium,relative_observable,154,noisy_input,0.06078441068530083,0.1645355224609375,0.06078441068530083,0.1645355224609375,0.0,0.0,0,0
gaussian_medium,relative_observable,155,noisy_input,0.06064096838235855,0.18995732069015503,0.06064096838235855,0.18995732069015503,0.0,0.0,0,0
gaussian_medium,relative_observable,156,noisy_input,0.042232804000377655,0.19494909048080444,0.042232804000377655,0.19494909048080444,0.0,0.0,0,0
gaussian_medium,relative_observable,157,noisy_input,0.06546349823474884,0.2262924313545227,0.06546349823474884,0.2262924313545227,0.0,0.0,0,0
gaussian_medium,relative_observable,158,noisy_input,0.06597288697957993,0.19826719164848328,0.06597288697957993,0.19826719164848328,0.0,0.0,0,0
gaussian_medium,relative_observable,159,noisy_input,0.07007939368486404,0.20146112143993378,0.07007939368486404,0.20146112143993378,0.0,0.0,0,0
gaussian_medium,relative_observable,160,noisy_input,0.06853477656841278,0.37168172001838684,0.06853477656841278,0.37168172001838684,0.0,0.0,0,0
gaussian_medium,relative_observable,161,noisy_input,0.08197537064552307,0.23956158757209778,0.08197537064552307,0.23956158757209778,0.0,0.0,0,0
