method,method_label,missing_condition,trajectory_idx,seed_idx,case_id,population_unit,span_start,span_end,masked_ADE,masked_RMSE,endpoint_error,path_length_error,acceleration_error
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,69,4,traj69_seed4,trajectory_seed,8,11,0.19263193011283875,0.1379806250333786,0.1414213329553604,0.14655518531799316,0.0912734791636467
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,70,0,traj70_seed0,trajectory_seed,8,11,0.2603570222854614,0.1871003806591034,0.21864120662212372,0.11765456199645996,0.07957573235034943
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,70,1,traj70_seed1,trajectory_seed,8,11,0.25657200813293457,0.1846887171268463,0.2079313099384308,0.11782252788543701,0.0781569629907608
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,70,2,traj70_seed2,trajectory_seed,8,11,0.26715564727783203,0.1921491175889969,0.2153010368347168,0.11705100536346436,0.07873937487602234
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,70,3,traj70_seed3,trajectory_seed,8,11,0.283348023891449,0.20385995507240295,0.22998470067977905,0.11690080165863037,0.08242829889059067
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,70,4,traj70_seed4,trajectory_seed,8,11,0.26986390352249146,0.1945587545633316,0.21910476684570312,0.11754357814788818,0.07894459366798401
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,71,0,traj71_seed0,trajectory_seed,8,11,0.1422903835773468,0.10833705961704254,0.12231989204883575,0.0181654691696167,0.04400975629687309
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,71,1,traj71_seed1,trajectory_seed,8,11,0.23958171904087067,0.17956914007663727,0.15904264152050018,0.04198729991912842,0.06267925351858139
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,71,2,traj71_seed2,trajectory_seed,8,11,0.21497869491577148,0.15872499346733093,0.16012226045131683,0.02533036470413208,0.057032760232686996
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,71,3,traj71_seed3,trajectory_seed,8,11,0.23070012032985687,0.17442801594734192,0.18182635307312012,0.022644400596618652,0.06156362220644951
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,71,4,traj71_seed4,trajectory_seed,8,11,0.18119031190872192,0.1335827112197876,0.15069153904914856,0.02728867530822754,0.07614581286907196
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,72,0,traj72_seed0,trajectory_seed,8,11,0.3204082250595093,0.23632864654064178,0.18377354741096497,0.016011834144592285,0.08029766380786896
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,72,1,traj72_seed1,trajectory_seed,8,11,0.23079033195972443,0.1716172844171524,0.11374431848526001,0.02171015739440918,0.06463398039340973
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,72,2,traj72_seed2,trajectory_seed,8,11,0.22294677793979645,0.1650456190109253,0.1206551343202591,0.0012981295585632324,0.0645202174782753
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,72,3,traj72_seed3,trajectory_seed,8,11,0.2047431468963623,0.1526252180337906,0.10221557319164276,0.011222302913665771,0.052831389009952545
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,72,4,traj72_seed4,trajectory_seed,8,11,0.21555446088314056,0.16143354773521423,0.09698165953159332,0.021845996379852295,0.06791998445987701
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,73,0,traj73_seed0,trajectory_seed,8,11,0.09256932139396667,0.07186242192983627,0.03973986208438873,0.2676846385002136,0.032370585948228836
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,73,1,traj73_seed1,trajectory_seed,8,11,0.0540478453040123,0.04637317731976509,0.027078265324234962,0.023135870695114136,0.03643544018268585
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,73,2,traj73_seed2,trajectory_seed,8,11,0.1462450474500656,0.1137731596827507,0.06901665031909943,0.41763800382614136,0.0452590212225914
