degradation,method,confidence_bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75,delta0_auto
burst_medium,noisy_input,high,351,0.0033844329565463314,0.0011811905565715065,0.003593557747080922,9.825579036260024e-05,0.005006195046007633,0.002589566516689956,0.004384332103654742,0.014054441824555397
burst_medium,stage3_cond_residual_t20,high,351,0.05163655085625138,0.041083777326575976,0.03987547382712364,0.000637934950646013,0.21375250816345215,0.019893172197043896,0.07610796764492989,0.014054441824555397
burst_medium,e1_oracle_gated_residual,high,351,0.011275107864614846,0.009347161932500188,0.008347917348146439,0.00010420870967209339,0.056393977254629135,0.004385560983791947,0.014795625116676092,0.014054441824555397
burst_medium,noisy_input,mid,2073,0.010783036208895314,0.003298685809564554,0.010689876973628998,0.005014616530388594,0.016917986795306206,0.00804123841226101,0.013574161566793919,0.014054441824555397
burst_medium,stage3_cond_residual_t20,mid,2073,0.051580364807467104,0.04334648971834254,0.036415476351976395,0.0006575722363777459,0.2481553554534912,0.018944676965475082,0.07484066486358643,0.014054441824555397
burst_medium,e1_oracle_gated_residual,mid,2073,0.027592510601290737,0.02339599943307977,0.019221821799874306,4.306409755372442e-05,0.1481958031654358,0.011033791117370129,0.03769635036587715,0.014054441824555397
burst_medium,noisy_input,low,1576,0.1747973691010233,0.1919517201052237,0.06979499012231827,0.01694335788488388,0.9783440828323364,0.020625434815883636,0.2966974899172783,0.014054441824555397
burst_medium,stage3_cond_residual_t20,low,1576,0.15386363663342792,0.1430188334112608,0.10637783631682396,0.001759979990310967,0.7122989296913147,0.035390025936067104,0.23567379638552666,0.014054441824555397
burst_medium,e1_oracle_gated_residual,low,1576,0.14881477543645713,0.1456183378063733,0.094722431153059,0.001304620411247015,0.7122989296913147,0.02970362827181816,0.23565973341464996,0.014054441824555397
bias_medium,noisy_input,high,220,0.04233614282513207,0.013584644758343452,0.0481833778321743,0.018522178754210472,0.06126352772116661,0.03133554011583328,0.05310067534446716,0.17292533814907074
bias_medium,stage3_cond_residual_t20,high,220,0.04750465570779687,0.022162812378895502,0.049632685258984566,0.004089112393558025,0.0954039916396141,0.031189724802970886,0.06567448563873768,0.17292533814907074
bias_medium,e1_oracle_gated_residual,high,220,0.04195778806355189,0.014742773565160265,0.042579181492328644,0.015204801224172115,0.06798743456602097,0.03287807013839483,0.05493864230811596,0.17292533814907074
bias_medium,noisy_input,mid,2220,0.1339530876359424,0.037312928072225755,0.1341482698917389,0.0706474781036377,0.20763111114501953,0.10210229456424713,0.16677053272724152,0.17292533814907074
bias_medium,stage3_cond_residual_t20,mid,2220,0.135917606743405,0.03918599529589467,0.13437029719352722,0.038465529680252075,0.24643568694591522,0.10542456433176994,0.1631053201854229,0.17292533814907074
bias_medium,e1_oracle_gated_residual,mid,2220,0.13393345361424458,0.03730318410473037,0.13198641687631607,0.06362511217594147,0.22595353424549103,0.10410119965672493,0.16227241978049278,0.17292533814907074
bias_medium,noisy_input,low,1560,0.2880081167874428,0.06580969118287006,0.27506279945373535,0.20911908149719238,0.5542882084846497,0.24418862164020538,0.31757035851478577,0.17292533814907074
bias_medium,stage3_cond_residual_t20,low,1560,0.2841569752742847,0.06743542268040745,0.2675224542617798,0.16004259884357452,0.5624329447746277,0.23873012885451317,0.31427064538002014,0.17292533814907074
bias_medium,e1_oracle_gated_residual,low,1560,0.2846246141271713,0.06629311599954409,0.2666036784648895,0.1758112609386444,0.5621026754379272,0.24004905298352242,0.3163130134344101,0.17292533814907074
combined_medium,noisy_input,high,290,0.04497112169107101,0.01567581404494423,0.046756135299801826,0.003591065527871251,0.06709586083889008,0.034627482295036316,0.05858225654810667,0.18813778460025787
combined_medium,stage3_cond_residual_t20,high,290,0.0749828460562075,0.035018215522630604,0.07307909429073334,0.009681676514446735,0.1724758744239807,0.045430293306708336,0.10127671808004379,0.18813778460025787
combined_medium,e1_oracle_gated_residual,high,290,0.04661951092521435,0.01814037260826264,0.045892827212810516,0.0034763221628963947,0.09406812489032745,0.034240877255797386,0.06084099132567644,0.18813778460025787
combined_medium,noisy_input,mid,2257,0.15021891829565556,0.04347073350020366,0.15041343867778778,0.06711292266845703,0.22646674513816833,0.11524786800146103,0.18708261847496033,0.18813778460025787
combined_medium,stage3_cond_residual_t20,mid,2257,0.15091660194838397,0.052231361561951524,0.15053728222846985,0.011562222614884377,0.31804344058036804,0.11504398286342621,0.18696105480194092,0.18813778460025787
combined_medium,e1_oracle_gated_residual,mid,2257,0.1478058317635748,0.04558153624963697,0.1466924101114273,0.03353499621152878,0.2862358093261719,0.11289340257644653,0.18099668622016907,0.18813778460025787
combined_medium,noisy_input,low,1453,0.30569121735881954,0.06279755748727123,0.289861261844635,0.22669771313667297,0.5715644955635071,0.255462110042572,0.3437870740890503,0.18813778460025787
combined_medium,stage3_cond_residual_t20,low,1453,0.29411809989914595,0.07260276161986606,0.28143808245658875,0.10298460721969604,0.5243225693702698,0.242022305727005,0.34131672978401184,0.18813778460025787
combined_medium,e1_oracle_gated_residual,low,1453,0.29573165828904363,0.0680606098853916,0.2811059057712555,0.1348746418952942,0.5265117883682251,0.2454638034105301,0.33969926834106445,0.18813778460025787
