degradation,method,conditional_source,N_trajectories,delta0_auto,selected_alpha0,selected_beta,selected_sigma0,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,smooth_acc_rms_mean,smooth_acc_rms_std,win_rate_vs_noisy,win_rate_vs_stage3_cond,win_rate_vs_formal_e1,motion_usage_ratio,noisy_reversion_gap,bias_offset_error
drift_medium,V2_uniform_cond_motion,archived_original,200,0.0156782567501068,0.5,0.05,1.0,0.021082640327513218,0.007574679691356935,0.020324354991316795,0.00688538420945406,0.04384027048945427,0.015025779604911804,0.026739113498479128,0.02433450452517718,0.008867054591475604,0.13998611594550311,0.10813667389038178,0.185,0.8,0.56,1.4337423306243209,0.003434615209698677,
drift_medium,V3_conf_mod_cond_motion,archived_original,200,0.0156782567501068,0.5,0.05,1.0,0.02229898248799145,0.008676846184444045,0.02080015279352665,0.00695383083075285,0.045879751443862915,0.015233384910970926,0.028430037666112185,0.025897496561519802,0.010140222676423229,0.13162627175450325,0.09787881066866379,0.12,0.77,0.54,1.619878214449455,0.004650959745049477,
burst_medium,noisy_input,archived_original,200,0.0140544418245553,0.5,0.05,1.0,0.07475545567460358,0.020440685283591914,0.07311102375388145,0.028182363137602806,0.12841452658176422,0.06095432676374912,0.08700680360198021,0.1573742324858904,0.04307914459339993,0.44725912913680077,0.15005095328181844,1.0,0.74,0.38,,0.0,
burst_medium,stage3_cond_residual_t20,archived_original,200,0.0140544418245553,0.5,0.05,1.0,0.09188490455970168,0.032011635357013936,0.08650604635477066,0.02710876241326332,0.20040464401245117,0.06978483498096466,0.10792851448059082,0.13624386109411715,0.039482337169571335,0.3420810113847256,0.14032668235702456,0.26,1.0,0.0,,0.017129451036453247,
burst_medium,formal_e1_linear_gate,archived_original,200,0.0140544418245553,0.5,0.05,1.0,0.07392223074100912,0.02352517906591385,0.07093875110149384,0.01934189721941948,0.15406052768230438,0.057349796406924725,0.08738765306770802,0.1280084690451622,0.037296243490692306,0.34343705993145707,0.13776141505405287,0.62,1.0,1.0,,-0.0008332282304763794,
burst_medium,V1_abs_anchor_smooth,archived_original,200,0.0140544418245553,0.5,0.05,1.0,0.039267748622223736,0.02932478777112847,0.030052888207137585,0.008494505658745766,0.17665505409240723,0.01791663095355034,0.050411125645041466,0.057843748168088495,0.04489913186010684,0.088699497776106,0.04771430969879568,0.86,0.925,0.875,2.5849143641523087,-0.03548771142959595,
burst_medium,V2_uniform_cond_motion,archived_original,200,0.0140544418245553,0.5,0.05,1.0,0.054175402238033715,0.016119548326033507,0.05343952029943466,0.01446299534291029,0.10208076238632202,0.04290343169122934,0.06342757679522038,0.1027085662074387,0.03245480497520171,0.2655713853985071,0.10258927520819024,0.98,1.0,0.975,1.2850201395794318,-0.020580053329467773,
burst_medium,V3_conf_mod_cond_motion,archived_original,200,0.0140544418245553,0.5,0.05,1.0,0.055555440792813895,0.017776551404816925,0.0542310681194067,0.015263693407177925,0.12162020057439804,0.04213188774883747,0.0662994384765625,0.1029532602801919,0.033306251864121866,0.25263319864869116,0.09170886474102281,0.915,0.985,0.94,1.3730666282933894,-0.019200019538402557,
bias_medium,noisy_input,archived_original,200,0.1729253381490707,0.5,0.05,1.0,0.18899561773054302,0.09570648275368515,0.17292532324790955,0.018522217869758606,0.5542881488800049,0.11715594492852688,0.25482869148254395,0.18899561768397688,0.09570648421092105,0.1769802125915885,0.14451258749622634,1.0,0.51,0.465,,0.0,0.1889956295490265
bias_medium,stage3_cond_residual_t20,archived_original,200,0.1729253381490707,0.5,0.05,1.0,0.18886824702844024,0.09305164431430993,0.17014080286026,0.01407451368868351,0.5094497203826904,0.12098105251789093,0.2507086545228958,0.1894889370026067,0.09281330536325431,0.17207910179160535,0.14710228968388045,0.49,1.0,0.48,,-0.00012737512588500977,0.188100203871727
bias_medium,formal_e1_linear_gate,archived_original,200,0.1729253381490707,0.5,0.05,1.0,0.18764434463344515,0.09408973809268345,0.16966387629508972,0.016523906961083412,0.5112358331680298,0.11833658628165722,0.24939808249473572,0.1878485344722867,0.09411699713953528,0.17348133540712296,0.14627127510097743,0.535,0.52,1.0,,-0.001351282000541687,0.1874406635761261
