variant,alpha0,beta,sigma0,degradation,conditional_source,ADE_noisy,ADE_cond,ADE_e1,ADE_e2,improves_vs_e1,ADE_gain_vs_e1,six_ADE_improved_count,mean_ADE_gain_vs_e1_across_6,mean_ADE_e2_across_6
V2_uniform_cond_motion,0.05,0.2,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19170959293842316,True,0.002494305372238159,2,0.0009693882117668787,0.12795844177405039
V2_uniform_cond_motion,0.1,0.01,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.05517051741480827,False,-0.006910067051649094,2,0.0007940089950958887,0.12813382099072138
V2_uniform_cond_motion,0.1,0.01,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.017885610461235046,True,0.005386535078287125,2,0.0007940089950958887,0.12813382099072138
V2_uniform_cond_motion,0.1,0.01,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.049190226942300797,True,0.02473200485110283,2,0.0007940089950958887,0.12813382099072138
V2_uniform_cond_motion,0.1,0.01,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18902745842933655,False,-0.0013831108808517456,2,0.0007940089950958887,0.12813382099072138
V2_uniform_cond_motion,0.1,0.01,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2609085142612457,False,-0.014644607901573181,2,0.0007940089950958887,0.12813382099072138
V2_uniform_cond_motion,0.1,0.01,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19662059843540192,False,-0.0024167001247406006,2,0.0007940089950958887,0.12813382099072138
V2_uniform_cond_motion,0.1,0.01,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.047038935124874115,True,0.0012215152382850647,4,0.002835662725071112,0.12609216726074615
V2_uniform_cond_motion,0.1,0.01,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.019068146124482155,True,0.004203999415040016,4,0.002835662725071112,0.12609216726074615
V2_uniform_cond_motion,0.1,0.01,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.050323449075222015,True,0.02359878271818161,4,0.002835662725071112,0.12609216726074615
V2_uniform_cond_motion,0.1,0.01,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18915332853794098,False,-0.0015089809894561768,4,0.002835662725071112,0.12609216726074615
V2_uniform_cond_motion,0.1,0.01,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2574445307254791,False,-0.01118062436580658,4,0.002835662725071112,0.12609216726074615
V2_uniform_cond_motion,0.1,0.01,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19352461397647858,True,0.0006792843341827393,4,0.002835662725071112,0.12609216726074615
V2_uniform_cond_motion,0.1,0.05,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.050858307629823685,False,-0.002597857266664505,2,0.0029690234611431756,0.1259588065246741
V2_uniform_cond_motion,0.1,0.05,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.0217788927257061,True,0.0014932528138160706,2,0.0029690234611431756,0.1259588065246741
V2_uniform_cond_motion,0.1,0.05,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.0404234305024147,True,0.03349880129098892,2,0.0029690234611431756,0.1259588065246741
V2_uniform_cond_motion,0.1,0.05,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18938463926315308,False,-0.001740291714668274,2,0.0029690234611431756,0.1259588065246741
V2_uniform_cond_motion,0.1,0.05,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.25837409496307373,False,-0.012110188603401184,2,0.0029690234611431756,0.1259588065246741
V2_uniform_cond_motion,0.1,0.05,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.1949334740638733,False,-0.0007295757532119751,2,0.0029690234611431756,0.1259588065246741
V2_uniform_cond_motion,0.1,0.05,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04513392969965935,True,0.003126520663499832,3,0.0033920851225654283,0.12553574486325184
V2_uniform_cond_motion,0.1,0.05,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.026612522080540657,False,-0.003340376541018486,3,0.0033920851225654283,0.12553574486325184
V2_uniform_cond_motion,0.1,0.05,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.04582754522562027,True,0.028094686567783356,3,0.0033920851225654283,0.12553574486325184
V2_uniform_cond_motion,0.1,0.05,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.1902572214603424,False,-0.002612873911857605,3,0.0033920851225654283,0.12553574486325184
V2_uniform_cond_motion,0.1,0.05,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2535250782966614,False,-0.007261171936988831,3,0.0033920851225654283,0.12553574486325184
V2_uniform_cond_motion,0.1,0.05,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.191858172416687,True,0.002345725893974304,3,0.0033920851225654283,0.12553574486325184
V2_uniform_cond_motion,0.1,0.1,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04916226491332054,False,-0.0009018145501613617,2,0.0033541865025957427,0.12557364348322153
V2_uniform_cond_motion,0.1,0.1,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.02545495517551899,False,-0.0021828096359968185,2,0.0033541865025957427,0.12557364348322153
V2_uniform_cond_motion,0.1,0.1,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.03865794092416763,True,0.03526429086923599,2,0.0033541865025957427,0.12557364348322153
V2_uniform_cond_motion,0.1,0.1,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.1899285912513733,False,-0.0022842437028884888,2,0.0033541865025957427,0.12557364348322153
V2_uniform_cond_motion,0.1,0.1,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.25638216733932495,False,-0.010118260979652405,2,0.0033541865025957427,0.12557364348322153
V2_uniform_cond_motion,0.1,0.1,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19385594129562378,True,0.0003479570150375366,2,0.0033541865025957427,0.12557364348322153
V2_uniform_cond_motion,0.1,0.1,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04584726691246033,True,0.0024131834506988525,3,0.0027788374572992325,0.12614899252851805
V2_uniform_cond_motion,0.1,0.1,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.031603213399648666,False,-0.008331067860126495,3,0.0027788374572992325,0.12614899252851805
V2_uniform_cond_motion,0.1,0.1,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.045654308050870895,True,0.02826792374253273,3,0.0027788374572992325,0.12614899252851805
V2_uniform_cond_motion,0.1,0.1,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.19139528274536133,False,-0.003750935196876526,3,0.0027788374572992325,0.12614899252851805
V2_uniform_cond_motion,0.1,0.1,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2510084807872772,False,-0.004744574427604675,3,0.0027788374572992325,0.12614899252851805
V2_uniform_cond_motion,0.1,0.1,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.1913854032754898,True,0.002818495035171509,3,0.0027788374572992325,0.12614899252851805
V2_uniform_cond_motion,0.1,0.2,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04835522547364235,False,-9.477511048316956e-05,2,0.003039707119266192,0.12588812286655107
V2_uniform_cond_motion,0.1,0.2,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.029930267482995987,False,-0.006658121943473816,2,0.003039707119266192,0.12588812286655107
V2_uniform_cond_motion,0.1,0.2,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.03938381373882294,True,0.03453841805458069,2,0.003039707119266192,0.12588812286655107
V2_uniform_cond_motion,0.1,0.2,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.19085878133773804,False,-0.003214433789253235,2,0.003039707119266192,0.12588812286655107
V2_uniform_cond_motion,0.1,0.2,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2539196014404297,False,-0.007655695080757141,2,0.003039707119266192,0.12588812286655107
V2_uniform_cond_motion,0.1,0.2,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.1928810477256775,True,0.0013228505849838257,2,0.003039707119266192,0.12588812286655107
V2_uniform_cond_motion,0.1,0.2,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04758601635694504,True,0.0006744340062141418,3,0.001511792962749799,0.12741603702306747
V2_uniform_cond_motion,0.1,0.2,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.037061430513858795,False,-0.013789284974336624,3,0.001511792962749799,0.12741603702306747
V2_uniform_cond_motion,0.1,0.2,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.04757604002952576,True,0.02634619176387787,3,0.001511792962749799,0.12741603702306747
V2_uniform_cond_motion,0.1,0.2,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.19280597567558289,False,-0.0051616281270980835,3,0.001511792962749799,0.12741603702306747
V2_uniform_cond_motion,0.1,0.2,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.24819251894950867,False,-0.0019286125898361206,3,0.001511792962749799,0.12741603702306747
V2_uniform_cond_motion,0.1,0.2,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.1912742406129837,True,0.0029296576976776123,3,0.001511792962749799,0.12741603702306747
V2_uniform_cond_motion,0.2,0.01,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.05243459343910217,False,-0.004174143075942993,2,0.001093303474287192,0.12783452651153007
V2_uniform_cond_motion,0.2,0.01,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.017760494723916054,True,0.005511650815606117,2,0.001093303474287192,0.12783452651153007
V2_uniform_cond_motion,0.2,0.01,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.05214271694421768,True,0.021779514849185944,2,0.001093303474287192,0.12783452651153007
V2_uniform_cond_motion,0.2,0.01,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.1890256553888321,False,-0.00138130784034729,2,0.001093303474287192,0.12783452651153007
V2_uniform_cond_motion,0.2,0.01,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2600143253803253,False,-0.013750419020652771,2,0.001093303474287192,0.12783452651153007
V2_uniform_cond_motion,0.2,0.01,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19562937319278717,False,-0.0014254748821258545,2,0.001093303474287192,0.12783452651153007
V2_uniform_cond_motion,0.2,0.01,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04415160045027733,True,0.004108849912881851,4,0.0033178733040889106,0.12560995668172836
