condition,t_start,confidence_bin,sample_count,cosine_mean,cosine_median,fraction_cosine_gt_0,fraction_cosine_gt_0p5,fraction_cosine_lt_0,magnitude_ratio_mean,magnitude_ratio_median
jump_medium,2,mid,7799,0.36502256989479065,0.6580834984779358,0.7182972175919989,0.5681497627901013,0.281702782408001,0.0803549662232399,0.0671125128865242
jump_medium,2,low,7069,0.5163558721542358,0.7828381061553955,0.8115716508699957,0.6705333144716368,0.18842834913000425,0.060645006597042084,0.05298041179776192
jump_medium,3,high,0,,,,,,,
jump_medium,3,mid,7799,0.37429070472717285,0.6542675495147705,0.7288113860751378,0.5675086549557635,0.27118861392486215,0.1162823811173439,0.09758449345827103
jump_medium,3,low,7069,0.5295224189758301,0.7943429946899414,0.8197764888951761,0.6846795869288442,0.18022351110482387,0.08803214877843857,0.07743994891643524
combined_medium,1,high,1598,0.027646493166685104,0.0,0.49436795994993743,0.3172715894868586,0.45431789737171463,0.2526491582393646,0.16657038033008575
combined_medium,1,mid,11071,0.0645187720656395,0.07353755831718445,0.52479450817451,0.3556137656941559,0.4357329961159787,0.06303926557302475,0.05027658864855766
combined_medium,1,low,7331,0.09620952606201172,0.14546756446361542,0.54017187286864,0.3850770699768108,0.4204064929750375,0.028207456693053246,0.024109825491905212
combined_medium,2,high,1598,0.02571914531290531,0.0,0.4924906132665832,0.31289111389236546,0.45619524405506884,0.44184938073158264,0.2965775430202484
combined_medium,2,mid,11071,0.06614001095294952,0.07648290693759918,0.5220847258603559,0.3512781139915093,0.4384427784301328,0.10864152759313583,0.08596935868263245
combined_medium,2,low,7331,0.10819677263498306,0.17840565741062164,0.5510844359568954,0.38930568817350975,0.4094939298867822,0.0485970638692379,0.04131142795085907
combined_medium,3,high,1598,0.027874212712049484,0.0,0.4881101376720901,0.3141426783479349,0.46057571964956195,0.650539755821228,0.43279433250427246
combined_medium,3,mid,11071,0.08011306822299957,0.09754034876823425,0.5293108120314335,0.3611236563996026,0.4312166922590552,0.15790890157222748,0.12666381895542145
combined_medium,3,low,7331,0.12503449618816376,0.21276673674583435,0.5588596371572773,0.39776292456690765,0.40171872868640024,0.07000994682312012,0.05983667075634003
