condition,method,aggregation,metric,status,N,mean,std,median,min,max,p05,p25,p75,p95,source_file
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,masked_RMSE,ok,1024,0.019765244783091607,0.018727267074168028,0.015792238526046276,0.0,0.1715594083070755,1.5054843106554473e-05,0.007119316374883056,0.027141136582940817,0.05209532529115676,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,endpoint_error,ok,1024,0.03368458619332737,0.03259059960991476,0.02721208706498146,0.0,0.29985547065734863,2.3640404378966196e-05,0.011087888153269887,0.04603091161698103,0.08574001416563982,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,path_length_error,ok,1024,0.017511507114022606,0.03322800985532025,0.006399914622306824,0.0,0.35313722491264343,9.51318070292473e-06,0.0019011572003364563,0.016314208507537842,0.07763167470693584,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,acceleration_error,ok,1024,0.01030133549874268,0.008450040751471079,0.008412128780037165,0.0,0.06854746490716934,0.0011235985497478397,0.004168067476712167,0.014093339210376143,0.025391208939254284,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,off_map_ratio,ok,1024,9.765625e-05,0.002207549717862758,0.0,0.0,0.05,0.0,0.0,0.0,0.0,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,wall_crossing_count,ok,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,ADE,ok,5120,0.04531322501055683,0.043885048916194935,0.03239164687693119,0.0006036792183294892,0.4436487555503845,0.007594072562642396,0.018601662945002317,0.055734322406351566,0.12571787983179095,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,FDE,ok,5120,0.09015641105214059,0.0876355028488734,0.06431395187973976,0.0003853913804050535,0.8768184185028076,0.014461278170347215,0.036738728173077106,0.11194579862058163,0.2505379691720009,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,RMSE,ok,5120,0.04434021686449796,0.042915959377092444,0.031772127375006676,0.0006743011763319373,0.4316794276237488,0.0074575858190655715,0.018137543462216854,0.05473755206912756,0.12314671203494074,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,masked_ADE,ok,5120,0.04742840459471154,0.046761982219372916,0.033377593383193016,0.0005421524401754141,0.4908045530319214,0.00805588262155652,0.019321197643876076,0.05793152656406164,0.1337876357138157,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,masked_RMSE,ok,5120,0.03577887980915193,0.03506930574226682,0.025323729030787945,0.0003837199183180928,0.36557823419570923,0.006069582095369697,0.014589642640203238,0.0435631237924099,0.10091313347220421,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,endpoint_error,ok,5120,0.06382658295316332,0.06325504937893162,0.04524512216448784,0.0005656613502651453,0.6567704677581787,0.009866101387888194,0.025544932577759027,0.07837173156440258,0.18330904841423035,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,path_length_error,ok,5120,0.06119464574576341,0.07401128657146652,0.040454041212797165,1.745671033859253e-05,0.8761329650878906,0.0038954227231442927,0.019911613315343857,0.0744110718369484,0.19191134870052365,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,acceleration_error,ok,5120,0.009730428846535234,0.00795926014916134,0.007488319184631109,0.0004626265726983547,0.10774973779916763,0.0021079580998048185,0.004615660873241723,0.012399590807035565,0.023883588891476407,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,off_map_ratio,ok,5120,0.001728515625,0.02526114635134619,0.0,0.0,0.5,0.0,0.0,0.0,0.0,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting,,wall_crossing_count,ok,5120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting_anchored,,ADE,ok,5120,0.0014121569189448735,0.0013521488442340128,0.00103935127845034,3.547549567883834e-05,0.023594871163368225,0.00019308806949993598,0.0005392079328885302,0.0018396034720353782,0.0038319230894558144,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting_anchored,,FDE,ok,5120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,ddpm_v3_inpainting_anchored,,RMSE,ok,5120,0.0033102927956520033,0.0031554180323403146,0.002438210533000529,7.977964560268447e-05,0.05522884428501129,0.00045616361894644796,0.001271483168238774,0.0043115203734487295,0.008987855026498438,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
