degradation,conditional_source,delta0_label,delta0,gamma,trajectory_id,ADE_noisy,ADE_cond,ADE_gamma,win_vs_cond,win_vs_noisy,confidence_min,confidence_mean,confidence_max,lambda_mean,lambda_max
burst_medium,archived_original,default,0.0140544418245553,4,118,0.06759702414274216,0.0931955873966217,0.0538824200630188,True,True,5.1627574651268314e-17,0.4513952136039734,0.9744175672531128,0.2609556019306183,1.0
burst_medium,archived_original,default,0.0140544418245553,4,119,0.08394239842891693,0.09310884773731232,0.07299797981977463,True,True,1.4919263465023395e-19,0.3282124698162079,0.8825514912605286,0.36589547991752625,1.0
burst_medium,archived_original,default,0.0140544418245553,4,120,0.039890728890895844,0.1070830374956131,0.03869371488690376,True,True,3.2303528740840193e-09,0.3932074010372162,0.8396972417831421,0.3057461380958557,1.0
burst_medium,archived_original,default,0.0140544418245553,4,121,0.04539627581834793,0.04148348048329353,0.03694004565477371,True,True,1.8723826933353394e-09,0.31824859976768494,0.6364515423774719,0.3430519104003906,1.0
burst_medium,archived_original,default,0.0140544418245553,4,122,0.05763287469744682,0.07152582705020905,0.04162432625889778,True,True,9.186491012336262e-10,0.3350604176521301,0.7418129444122314,0.3389436602592468,1.0
burst_medium,archived_original,default,0.0140544418245553,4,123,0.06443923711776733,0.06419297307729721,0.04071981459856033,True,True,2.2547644361412683e-15,0.3584146201610565,0.7866371870040894,0.31900566816329956,1.0
burst_medium,archived_original,default,0.0140544418245553,4,124,0.10200975090265274,0.09895582497119904,0.07768179476261139,True,True,3.362149715104666e-17,0.29654839634895325,0.8447827696800232,0.41975560784339905,1.0
burst_medium,archived_original,default,0.0140544418245553,4,125,0.08087308704853058,0.13100406527519226,0.07209871709346771,True,True,3.56576923915327e-18,0.38304752111434937,0.8498423099517822,0.3266334533691406,1.0
burst_medium,archived_original,default,0.0140544418245553,4,126,0.0694720596075058,0.10156778246164322,0.06340412050485611,True,True,1.6651225754130139e-12,0.32938313484191895,0.6187307238578796,0.3453584611415863,1.0
burst_medium,archived_original,default,0.0140544418245553,4,127,0.061055999249219894,0.07085084915161133,0.04009176790714264,True,True,2.2898504381703433e-13,0.42882952094078064,0.8710547685623169,0.2969552278518677,1.0
burst_medium,archived_original,default,0.0140544418245553,4,128,0.07405908405780792,0.08567001670598984,0.06599388271570206,True,True,8.324032652398672e-14,0.2914111316204071,0.6820479035377502,0.4047502875328064,1.0
burst_medium,archived_original,default,0.0140544418245553,4,129,0.08314810693264008,0.08128015697002411,0.06457314640283585,True,True,1.572419278117465e-12,0.3652626872062683,0.845792829990387,0.34456467628479004,1.0
