degradation,conditional_source,delta0_label,delta0,gamma,ADE_noisy,ADE_cond,ADE_gamma,RMSE_gamma,ADE_gamma_high,ADE_noisy_high,ADE_cond_high,ADE_gamma_mid,ADE_gamma_low,ADE_noisy_low,ADE_cond_low,C2_high_no_harm_pass,C3_low_preservation_pass,conditional_useful_low,win_rate_vs_cond,win_rate_vs_noisy,residual_usage_ratio,noisy_reversion_gap,N_high_frames,N_mid_frames,N_low_frames
drift_medium,archived_original,fixed_0.02,0.02,3,0.01764802448451519,0.03159075602889061,0.018070969730615616,0.023188121616840363,0.003347643418237567,0.003358593676239252,0.0172103401273489,0.015194419771432877,0.03438875079154968,0.03342072293162346,0.042420048266649246,True,True,False,0.97,0.52,0.2660475969314575,0.0004229452461004257,764,2165,1071
drift_medium,archived_original,fixed_0.02,0.02,4,0.01764802448451519,0.03159075602889061,0.017723919823765755,0.022296464070677757,0.0033554956316947937,0.003358593676239252,0.0172103401273489,0.014953553676605225,0.03357388451695442,0.03342072293162346,0.042420048266649246,True,True,False,0.95,0.53,0.19752836227416992,7.589533925056458e-05,764,2165,1071
drift_medium,archived_original,fixed_0.05,0.05,1,0.01764802448451519,0.03159075602889061,0.01832900382578373,0.0232580304145813,0.009868308901786804,0.009277711622416973,0.025493286550045013,0.02935653179883957,0.028605641797184944,0.06380898505449295,0.03445924073457718,True,True,True,0.97,0.48,0.3154703378677368,0.0006809793412685394,2263,1726,11
drift_medium,archived_original,fixed_0.05,0.05,2,0.01764802448451519,0.03159075602889061,0.017467979341745377,0.021230164915323257,0.009282910265028477,0.009277711622416973,0.025493286550045013,0.028098706156015396,0.033301569521427155,0.06380898505449295,0.03445924073457718,True,True,True,0.93,0.535,0.12290576845407486,-0.00018004514276981354,2263,1726,11
drift_medium,archived_original,fixed_0.05,0.05,3,0.01764802448451519,0.03159075602889061,0.017464090138673782,0.02097974345088005,0.00927517469972372,0.009277711622416973,0.025493286550045013,0.02805745229125023,0.03995223343372345,0.06380898505449295,0.03445924073457718,True,False,True,0.91,0.575,0.054793909192085266,-0.00018393434584140778,2263,1726,11
drift_medium,archived_original,fixed_0.05,0.05,4,0.01764802448451519,0.03159075602889061,0.01751687563955784,0.021009713411331177,0.009277288801968098,0.009277711622416973,0.025493286550045013,0.02813876047730446,0.045954037457704544,0.06380898505449295,0.03445924073457718,True,False,True,0.905,0.58,0.026843661442399025,-0.00013114884495735168,2263,1726,11
drift_medium,archived_original,fixed_0.10,0.1,1,0.01764802448451519,0.03159075602889061,0.01759960502386093,0.02155604027211666,0.015493042767047882,0.015351430512964725,0.030047573149204254,0.04166151583194733,,,,True,True,False,0.93,0.535,0.1782652586698532,-4.841946065425873e-05,3678,322,0
drift_medium,archived_original,fixed_0.10,0.1,2,0.01764802448451519,0.03159075602889061,0.0175152737647295,0.021036306396126747,0.015323001891374588,0.015351430512964725,0.030047573149204254,0.04255617782473564,,,,True,True,False,0.91,0.555,0.04106016084551811,-0.0001327507197856903,3678,322,0
drift_medium,archived_original,fixed_0.10,0.1,3,0.01764802448451519,0.03159075602889061,0.01759176142513752,0.021149776875972748,0.015343100763857365,0.015351430512964725,0.030047573149204254,0.043276768177747726,,,,True,True,False,0.9,0.575,0.01119319163262844,-5.626305937767029e-05,3678,322,0
drift_medium,archived_original,fixed_0.10,0.1,4,0.01764802448451519,0.03159075602889061,0.017624935135245323,0.021220173686742783,0.015349398367106915,0.015351430512964725,0.030047573149204254,0.04361691698431969,,,,True,True,False,0.9,0.585,0.0034381169825792313,-2.3089349269866943e-05,3678,322,0
drift_medium,archived_original,fixed_0.20,0.2,1,0.01764802448451519,0.03159075602889061,0.01749506965279579,0.02110930159687996,0.01749507151544094,0.01764802634716034,0.03159075975418091,,,,,True,True,False,0.92,0.555,0.09514277428388596,-0.0001529548317193985,4000,0,0
drift_medium,archived_original,fixed_0.20,0.2,2,0.01764802448451519,0.03159075602889061,0.017600204795598984,0.021175086498260498,0.017600206658244133,0.01764802634716034,0.03159075975418091,,,,,True,True,False,0.9,0.575,0.012020285241305828,-4.781968891620636e-05,4000,0,0
drift_medium,archived_original,fixed_0.20,0.2,3,0.01764802448451519,0.03159075602889061,0.01763748936355114,0.021252010017633438,0.01763748936355114,0.01764802634716034,0.03159075975418091,,,,,True,True,False,0.9,0.585,0.00183544447645545,-1.0535120964050293e-05,4000,0,0
drift_medium,archived_original,fixed_0.20,0.2,4,0.01764802448451519,0.03159075602889061,0.017645586282014847,0.0212714746594429,0.017645586282014847,0.01764802634716034,0.03159075975418091,,,,,True,True,False,0.9,0.59,0.00032065404229797423,-2.4382025003433228e-06,4000,0,0
burst_medium,archived_original,default,0.0140544418245553,1,0.07475546002388,0.09188491106033325,0.07392223179340363,0.1333310902118683,0.01127510704100132,0.003384432988241315,0.05163654685020447,0.027592509984970093,0.14881478250026703,0.17479737102985382,0.15386362373828888,False,True,True,1.0,0.62,0.7036910653114319,-0.0008332282304763794,351,2073,1576
burst_medium,archived_original,default,0.0140544418245553,2,0.07475546002388,0.09188491106033325,0.06633149087429047,0.13096928596496582,0.004137892741709948,0.003384432988241315,0.05163654685020447,0.016875579953193665,0.1452350914478302,0.17479737102985382,0.15386362373828888,False,True,True,1.0,0.805,0.5640046000480652,-0.008423969149589539,351,2073,1576
burst_medium,archived_original,default,0.0140544418245553,3,0.07475546002388,0.09188491106033325,0.06306618452072144,0.13008692860603333,0.003409030381590128,0.003384432988241315,0.05163654685020447,0.01256208773702383,0.14278361201286316,0.17479737102985382,0.15386362373828888,True,True,True,1.0,0.935,0.4880896508693695,-0.01168927550315857,351,2073,1576
burst_medium,archived_original,default,0.0140544418245553,4,0.07475546002388,0.09188491106033325,0.06164843589067459,0.12969930469989777,0.0033807605504989624,0.003384432988241315,0.05163654685020447,0.011034135706722736,0.14120134711265564,0.17479737102985382,0.15386362373828888,True,True,True,1.0,0.96,0.4429991543292999,-0.013107024133205414,351,2073,1576
burst_medium,archived_original,fixed_0.02,0.02,1,0.07475546002388,0.09188491106033325,0.06987228989601135,0.13185542821884155,0.011309424415230751,0.004749175161123276,0.05067288875579834,0.02646295353770256,0.2151537537574768,0.26981687545776367,0.21721996366977692,False,True,True,1.0,0.72,0.6313706040382385,-0.004883170127868652,707,2316,977
burst_medium,archived_original,fixed_0.02,0.02,2,0.07475546002388,0.09188491106033325,0.06296752393245697,0.12997125089168549,0.005158395506441593,0.004749175161123276,0.05067288875579834,0.01697700098156929,0.21382230520248413,0.26981687545776367,0.21721996366977692,True,True,True,1.0,0.935,0.487841933965683,-0.011787936091423035,707,2316,977
burst_medium,archived_original,fixed_0.02,0.02,3,0.07475546002388,0.09188491106033325,0.061034709215164185,0.12947428226470947,0.004733656533062458,0.004749175161123276,0.05067288875579834,0.01410661544650793,0.2130206972360611,0.26981687545776367,0.21721996366977692,True,True,True,1.0,0.96,0.4221250116825104,-0.01372075080871582,707,2316,977
burst_medium,archived_original,fixed_0.02,0.02,4,0.07475546002388,0.09188491106033325,0.06059103086590767,0.12931601703166962,0.004738282412290573,0.004749175161123276,0.05067288875579834,0.013536820188164711,0.212551549077034,0.26981687545776367,0.21721996366977692,True,True,True,1.0,0.97,0.38869258761405945,-0.014164429157972336,707,2316,977
burst_medium,archived_original,fixed_0.05,0.05,1,0.07475546002388,0.09188491106033325,0.06278473883867264,0.12972606718540192,0.01255639735609293,0.010041789151728153,0.0513392873108387,0.025555159896612167,0.25428998470306396,0.32492268085479736,0.25466006994247437,False,True,True,1.0,0.93,0.47861748933792114,-0.011970721185207367,2533,672,795
burst_medium,archived_original,fixed_0.05,0.05,2,0.07475546002388,0.09188491106033325,0.06039271503686905,0.12913863360881805,0.0098418602719903,0.010041789151728153,0.0513392873108387,0.02168356440961361,0.25417619943618774,0.32492268085479736,0.25466006994247437,True,True,True,1.0,0.975,0.3684098422527313,-0.014362744987010956,2533,672,795
burst_medium,archived_original,fixed_0.05,0.05,3,0.07475546002388,0.09188491106033325,0.060534898191690445,0.12910696864128113,0.00996484886854887,0.010041789151728153,0.0513392873108387,0.022019684314727783,0.2542155683040619,0.32492268085479736,0.25466006994247437,True,True,True,1.0,0.98,0.3375607430934906,-0.01422056183218956,2533,672,795
burst_medium,archived_original,fixed_0.05,0.05,4,0.07475546002388,0.09188491106033325,0.06065685302019119,0.129117950797081,0.010021482594311237,0.010041789151728153,0.0513392873108387,0.02237267978489399,0.2543503940105438,0.32492268085479736,0.25466006994247437,True,True,True,1.0,0.98,0.32589101791381836,-0.014098607003688812,2533,672,795
burst_medium,archived_original,fixed_0.10,0.1,1,0.07475546002388,0.09188491106033325,0.06109794229269028,0.12957724928855896,0.012692892923951149,0.012544042430818081,0.05140586197376251,0.07825709134340286,0.26952069997787476,0.34373101592063904,0.2675136923789978,True,True,True,1.0,0.97,0.39227208495140076,-0.013657517731189728,3191,74,735
burst_medium,archived_original,fixed_0.10,0.1,2,0.07475546002388,0.09188491106033325,0.06125658005475998,0.1299072653055191,0.012366068549454212,0.012544042430818081,0.05140586197376251,0.07809519022703171,0.27181926369667053,0.34373101592063904,0.2675136923789978,True,True,True,1.0,0.98,0.30592671036720276,-0.013498879969120026,3191,74,735
