degradation,conditional_source,delta0_label,delta0,gamma,method,confidence_bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
gaussian_medium,archived_original,default,0.0588282532989978,4,noisy,mid,2177,0.046816306528376504,0.013633796246372306,0.04701489582657814,0.020996328443288803,0.07079875469207764,0.03567871078848839,0.05810961127281189
gaussian_medium,archived_original,default,0.0588282532989978,4,noisy,low,1489,0.09646969591814691,0.02066272577507897,0.09200888127088547,0.07085633277893066,0.19743014872074127,0.0800308883190155,0.10734082013368607
gaussian_medium,archived_original,default,0.0588282532989978,4,cond_residual_t20,high,334,0.04417739396644366,0.02721289560911999,0.04004107043147087,0.002704634563997388,0.1522614061832428,0.022586079314351082,0.06040470115840435
gaussian_medium,archived_original,default,0.0588282532989978,4,cond_residual_t20,mid,2177,0.048852670337678844,0.02712653963787851,0.044759027659893036,0.0012107033981010318,0.1879103034734726,0.02906077541410923,0.06403913348913193
gaussian_medium,archived_original,default,0.0588282532989978,4,cond_residual_t20,low,1489,0.06828348056236226,0.03467143366215673,0.06551266461610794,0.004111028276383877,0.23924212157726288,0.04302865266799927,0.08935236185789108
gaussian_medium,archived_original,default,0.0588282532989978,4,gamma_4,high,334,0.014055333682335913,0.004735072909558016,0.014821373391896486,0.0016955116298049688,0.021267594769597054,0.010783096309751272,0.01807215018197894
gaussian_medium,archived_original,default,0.0588282532989978,4,gamma_4,mid,2177,0.04401815439059776,0.012254556310256038,0.04407810419797897,0.020255787298083305,0.0872681736946106,0.034667909145355225,0.05250818654894829
gaussian_medium,archived_original,default,0.0588282532989978,4,gamma_4,low,1489,0.07912300864223308,0.021094927671685935,0.07568547129631042,0.02879379875957966,0.20989000797271729,0.06508634984493256,0.08981842547655106
gaussian_medium,archived_original,fixed_0.02,0.02,1,noisy,high,37,0.005147957438099626,0.0015364130452185996,0.0057406947016716,0.0016955116298049688,0.007079666946083307,0.003779937280341983,0.006517678964883089
gaussian_medium,archived_original,fixed_0.02,0.02,1,noisy,mid,400,0.017097979376558214,0.004585163682649909,0.017698667012155056,0.007150203455239534,0.02406563051044941,0.013358427910134196,0.02102242223918438
