condition,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,max_grad_norm,max_update_to_x_ratio,max_x_after_max_abs,ADE,acceleration_RMS,weighted_residual_norm_last,unweighted_residual_norm_last,sigma_obs_min,sigma_obs_mean,sigma_obs_max,anchor_y0_x,anchor_y0_y,anchor_error,anchor_anomaly_threshold,anchor_obvious_anomaly,update_to_x_ratio_t99,update_to_x_ratio_t80,update_to_x_ratio_t60,update_to_x_ratio_t40,update_to_x_ratio_t20,update_to_x_ratio_t0
burst_medium,0.3,42,1,True,,none,28.010692596435547,1.5024652876649378,2.788355827331543,1.5085504055023193,0.27908071875572205,112.30377960205078,7.143704414367676,0.05509641021490097,0.0635894238948822,0.0707106739282608,0.20286381244659424,0.7127420902252197,2.3363842964172363,3.9853169918060303,False,0.036795197086216466,0.032109224402622136,0.06097866381275351,0.03190377302423135,0.5299930854073881,1.5024652876649378
burst_medium,0.3,42,2,True,,none,29.557113647460938,1.6390396411614128,4.0757036209106445,0.9899494051933289,0.6381609439849854,156.17645263671875,9.435999870300293,0.054550379514694214,0.06272226572036743,0.0707106739282608,0.8760032057762146,1.254074215888977,0.6528652310371399,3.9853169918060303,False,0.17318598140690616,0.053594182506377284,0.15093412142685797,0.43187411691872674,0.7050742812918782,1.3391708671198563
burst_medium,1.0,42,0,True,,none,28.488290786743164,2.189916154133549,9.156970977783203,6.174328804016113,0.7222997546195984,451.42950439453125,28.297565460205078,0.05308897793292999,0.06247776746749878,0.0707106739282608,1.4228841066360474,2.725247383117676,2.60762095451355,3.9853169918060303,False,0.4863374095511506,0.4868410613137413,0.87684248631034,0.6130929943704296,0.9482147780789205,1.5130650680819617
burst_medium,1.0,42,1,True,,none,28.03787612915039,1.746608739149621,9.163431167602539,4.7127251625061035,0.6132216453552246,390.3799743652344,24.85394287109375,0.05509641021490097,0.0635894238948822,0.0707106739282608,0.20286381244659424,0.7127420902252197,2.3363842964172363,3.9853169918060303,False,0.1226506569540549,0.14358613854789826,0.14387884491630054,0.7272652552554177,1.118826815057988,1.746608739149621
burst_medium,1.0,42,2,True,,none,29.745996475219727,2.438286570358526,8.753680229187012,7.811192512512207,0.8732796907424927,340.4718322753906,20.51540756225586,0.054550379514694214,0.06272226572036743,0.0707106739282608,0.8760032057762146,1.254074215888977,0.6528652310371399,3.9853169918060303,False,0.5772865807038935,0.2858060917410345,0.40327949275547154,0.5812826343700619,1.4934763404946156,1.9103121046203417
burst_medium,3.0,42,0,True,,none,68.7838134765625,4.473795182869773,88.02677917480469,21.664628982543945,2.073204517364502,705.4024658203125,44.102882385253906,0.05308897793292999,0.06247776746749878,0.0707106739282608,1.4228841066360474,2.725247383117676,2.60762095451355,3.9853169918060303,False,1.4590122646025288,0.2983601453787215,0.16152069164498856,0.589632374877737,1.0451753082317252,2.0563414131483686
burst_medium,3.0,42,1,True,,none,60.87934112548828,6.797404224984825,98.8987808227539,12.168176651000977,2.698377847671509,1478.783203125,94.14031982421875,0.05509641021490097,0.0635894238948822,0.0707106739282608,0.20286381244659424,0.7127420902252197,2.3363842964172363,3.9853169918060303,False,0.3679519618832117,0.37617998615269027,0.0393822309287996,0.26973078625055696,1.12724003559494,1.2981270930383044
burst_medium,3.0,42,2,True,,none,72.23333740234375,3.359489318710441,87.31999969482422,18.526988983154297,1.8833718299865723,1246.406005859375,75.26469421386719,0.054550379514694214,0.06272226572036743,0.0707106739282608,0.8760032057762146,1.254074215888977,0.6528652310371399,3.9853169918060303,False,1.7318597421116806,0.28173090516162547,0.08791269769586739,0.6977419988810752,1.2936898169200193,1.8333733877448122
gaussian_medium,0.3,42,0,True,,none,28.661575317382812,1.5199195278885875,2.7508349418640137,2.495056390762329,0.25551801919937134,123.32936096191406,7.664283752441406,0.05593911185860634,0.06244750693440437,0.06826062500476837,1.4485198259353638,2.665743827819824,2.5430591106414795,4.015322685241699,False,0.06123930769761431,0.07868933492839345,0.02184905054778606,0.1095465984156356,1.0669724849225501,1.5199195278885875
gaussian_medium,0.3,42,1,True,,none,27.898971557617188,1.6319116251939523,2.5996007919311523,1.4568579196929932,0.14093120396137238,120.30968475341797,7.66843843460083,0.053872618824243546,0.0632532611489296,0.06803423166275024,0.20829349756240845,0.7525063157081604,2.328446626663208,4.015322685241699,False,0.1078337853356966,0.0467609501856053,0.14394583327135585,0.1146426601991697,0.46285131966626936,1.6001526809831355
gaussian_medium,0.3,42,2,True,,none,28.62882423400879,1.929783961352731,2.803659677505493,2.696108102798462,0.5365177392959595,114.35218811035156,7.119138717651367,0.056917812675237656,0.062448352575302124,0.06781133264303207,0.9472782611846924,1.2559219598770142,0.688651442527771,4.015322685241699,False,0.08837502918170217,0.03440947391940676,0.028897350121629348,0.05921497020194581,0.6703457279901512,1.8859427493964238
gaussian_medium,1.0,42,0,True,,none,28.748538970947266,1.62893548718977,10.358701705932617,6.972564697265625,0.8664636611938477,338.8686218261719,21.05888557434082,0.05593911185860634,0.06244750693440437,0.06826062500476837,1.4485198259353638,2.665743827819824,2.5430591106414795,4.015322685241699,False,0.2041310286549908,0.16261467929487844,0.1778847322663027,0.43931346697288587,1.0543519642219945,1.62893548718977
gaussian_medium,1.0,42,1,True,,none,28.00277328491211,1.5955224632864087,10.299057006835938,4.3562140464782715,1.0252137184143066,504.94873046875,32.246551513671875,0.053872618824243546,0.0632532611489296,0.06803423166275024,0.20829349756240845,0.7525063157081604,2.328446626663208,4.015322685241699,False,0.35944591517446545,0.09122978079051978,0.4362511998683255,0.5585620893176428,1.301845774266043,1.2117888925443703
gaussian_medium,1.0,42,2,True,,none,44.87799835205078,2.697535679383641,14.422791481018066,3.2877910137176514,0.8995488286018372,523.6071166992188,32.60768127441406,0.056917812675237656,0.062448352575302124,0.06781133264303207,0.9472782611846924,1.2559219598770142,0.688651442527771,4.015322685241699,False,0.2945834125978272,1.5377589702732788,0.13646387228036488,0.41904506074949377,1.2732270358606756,1.453673594285883
