condition,zeta,seed,trajectory_id,t,eval_t_for_base_guided,measurement_loss_variable,guidance_update_applied_to,likelihood_norm_before_guidance,likelihood_norm_after_guidance,likelihood_delta_after_minus_before,ADE_before_guidance,ADE_after_guidance,ADE_delta_after_minus_before,acceleration_RMS_before_guidance,acceleration_RMS_after_guidance,acceleration_delta_after_minus_before,update_to_x_ratio,grad_norm,x_base_isfinite,x_guided_isfinite,loss_isfinite,grad_isfinite
drift_medium,3.0,42,2,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,55.3557243347168,46.72800827026367,-8.627716064453125,1.480461835861206,1.4352328777313232,-0.04522895812988281,1.3410674333572388,1.454694390296936,0.11362695693969727,0.5842534431319667,6.894911289215088,True,True,True,True
drift_medium,3.0,42,2,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,393.61883544921875,75.58013153076172,-318.03870391845703,6.381633281707764,1.3596866130828857,-5.021946668624878,1.93942391872406,2.299436092376709,0.3600121736526489,0.8429795268559714,13.387788772583008,True,True,True,True
drift_medium,3.0,42,2,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1429.119384765625,924.4618530273438,-504.65753173828125,18.746295928955078,11.323896408081055,-7.422399520874023,2.277813196182251,2.302262544631958,0.02444934844970703,1.373837747566322,27.992263793945312,True,True,True,True
burst_medium,0.0,42,0,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,5.759060859680176,5.759060859680176,0.0,2.021862268447876,2.021862268447876,0.0,0.19096507132053375,0.19096507132053375,0.0,0.0,3.2254478931427,True,True,True,True
burst_medium,0.0,42,0,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,6.160938739776611,6.160938739776611,0.0,2.0353574752807617,2.0353574752807617,0.0,0.18653637170791626,0.18653637170791626,0.0,0.0,2.26432466506958,True,True,True,True
burst_medium,0.0,42,0,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,5.47637414932251,5.47637414932251,0.0,2.0224363803863525,2.0224363803863525,0.0,0.18155322968959808,0.18155322968959808,0.0,0.0,2.7004597187042236,True,True,True,True
burst_medium,0.0,42,0,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,6.441086292266846,6.441086292266846,0.0,2.0233731269836426,2.0233731269836426,0.0,0.177090123295784,0.177090123295784,0.0,0.0,3.4627835750579834,True,True,True,True
burst_medium,0.0,42,0,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,8.981484413146973,8.981484413146973,0.0,2.0583138465881348,2.0583138465881348,0.0,0.176254004240036,0.176254004240036,0.0,0.0,6.9230427742004395,True,True,True,True
burst_medium,0.0,42,0,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,11.762873649597168,11.762873649597168,0.0,2.117309093475342,2.117309093475342,0.0,0.1717793494462967,0.1717793494462967,0.0,0.0,25.136911392211914,True,True,True,True
burst_medium,0.3,42,0,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,5.759060859680176,5.505611419677734,-0.2534494400024414,2.021862268447876,2.040677785873413,0.01881551742553711,0.19096507132053375,0.19089609384536743,-6.89774751663208e-05,0.14590123365006824,3.2254478931427,True,True,True,True
burst_medium,0.3,42,0,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.417478561401367,3.415468454360962,-0.0020101070404052734,1.9942333698272705,1.9901866912841797,-0.00404667854309082,0.19410912692546844,0.19581420719623566,0.001705080270767212,0.047052122436509546,0.8637217283248901,True,True,True,True
burst_medium,0.3,42,0,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.769462823867798,3.7248406410217285,-0.044622182846069336,1.97216796875,1.9710098505020142,-0.0011581182479858398,0.19691385328769684,0.19699111580848694,7.72625207901001e-05,0.04229820450869867,0.640689492225647,True,True,True,True
burst_medium,0.3,42,0,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,4.391634941101074,3.90521502494812,-0.4864199161529541,2.007479667663574,1.998908281326294,-0.008571386337280273,0.19933928549289703,0.1971093863248825,-0.0022298991680145264,0.2948895576658183,3.2367725372314453,True,True,True,True
burst_medium,0.3,42,0,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,11.72909164428711,10.233297348022461,-1.4957942962646484,2.085669994354248,1.9575573205947876,-0.12811267375946045,0.1972261518239975,0.20583677291870117,0.008610621094703674,0.8466007448383724,8.258391380310059,True,True,True,True
burst_medium,0.3,42,0,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,111.76093292236328,133.02871704101562,21.267784118652344,2.438760995864868,2.8218586444854736,0.38309764862060547,0.25762730836868286,0.25700464844703674,-0.0006226599216461182,1.726388471537782,28.5640926361084,True,True,True,True
burst_medium,1.0,42,0,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,5.759060859680176,5.9072265625,0.14816570281982422,2.021862268447876,2.04544734954834,0.023585081100463867,0.19096507132053375,0.19137951731681824,0.00041444599628448486,0.4863374095511506,3.2254478931427,True,True,True,True
burst_medium,1.0,42,0,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,4.075064659118652,6.363397598266602,2.288332939147949,1.9907649755477905,1.995807409286499,0.005042433738708496,0.20272621512413025,0.20556998252868652,0.0028437674045562744,0.4868410613137413,3.282896041870117,True,True,True,True
burst_medium,1.0,42,0,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,51.66292190551758,30.46168327331543,-21.20123863220215,2.154646873474121,1.7564709186553955,-0.3981759548187256,0.5085346698760986,0.4922018349170685,-0.01633283495903015,0.87684248631034,13.294272422790527,True,True,True,True
burst_medium,1.0,42,0,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,5.689315319061279,6.523869514465332,0.8345541954040527,2.002655267715454,1.95065176486969,-0.05200350284576416,0.2038331776857376,0.2116703987121582,0.007837221026420593,0.6130929943704296,3.6901330947875977,True,True,True,True
burst_medium,1.0,42,0,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,63.487098693847656,35.39492416381836,-28.092174530029297,1.8736950159072876,2.1036767959594727,0.22998178005218506,0.4311695694923401,0.32642340660095215,-0.10474616289138794,0.9482147780789205,10.012871742248535,True,True,True,True
burst_medium,1.0,42,0,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,438.7049560546875,374.999755859375,-63.7052001953125,5.243978500366211,6.061398506164551,0.8174200057983398,0.7157469987869263,0.7153006792068481,-0.000446319580078125,1.5130650680819617,28.488290786743164,True,True,True,True
burst_medium,3.0,42,0,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,5.759060859680176,5.199942111968994,-0.5591187477111816,2.021862268447876,2.005997657775879,-0.01586461067199707,0.19096507132053375,0.20687595009803772,0.015910878777503967,1.4590122646025288,3.2254478931427,True,True,True,True
burst_medium,3.0,42,0,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,269.69696044921875,566.2803344726562,296.5833740234375,3.94227933883667,7.508410453796387,3.566131114959717,3.8238861560821533,4.048616886138916,0.2247307300567627,0.2983601453787215,17.81645965576172,True,True,True,True
burst_medium,3.0,42,0,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,139.9896697998047,119.35002899169922,-20.63964080810547,2.83320689201355,1.8593425750732422,-0.9738643169403076,2.9559099674224854,2.750704765319824,-0.20520520210266113,0.16152069164498856,5.952451705932617,True,True,True,True
burst_medium,3.0,42,0,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,67.19129943847656,55.214210510253906,-11.977088928222656,2.7031474113464355,2.2934553623199463,-0.40969204902648926,1.1217143535614014,1.2110296487808228,0.08931529521942139,0.589632374877737,7.049287796020508,True,True,True,True
burst_medium,3.0,42,0,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,89.36170959472656,328.1645202636719,238.8028106689453,2.978766441345215,3.197594165802002,0.2188277244567871,1.3551039695739746,1.3740500211715698,0.018946051597595215,1.0451753082317252,11.263184547424316,True,True,True,True
burst_medium,3.0,42,0,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,687.9865112304688,1767.2017822265625,1079.2152709960938,10.169768333435059,21.02410125732422,10.85433292388916,2.0596086978912354,2.0497615337371826,-0.009847164154052734,2.0563414131483686,28.63555335998535,True,True,True,True
burst_medium,0.0,42,1,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,7.396156311035156,7.396156311035156,0.0,1.217699646949768,1.217699646949768,0.0,0.18756313621997833,0.18756313621997833,0.0,0.0,0.814187228679657,True,True,True,True
burst_medium,0.0,42,1,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,7.563066005706787,7.563066005706787,0.0,1.2178913354873657,1.2178913354873657,0.0,0.18012195825576782,0.18012195825576782,0.0,0.0,1.1559103727340698,True,True,True,True
burst_medium,0.0,42,1,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,7.389988899230957,7.389988899230957,0.0,1.230422854423523,1.230422854423523,0.0,0.15773405134677887,0.15773405134677887,0.0,0.0,1.2034136056900024,True,True,True,True
burst_medium,0.0,42,1,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,7.234950065612793,7.234950065612793,0.0,1.229308009147644,1.229308009147644,0.0,0.16524986922740936,0.16524986922740936,0.0,0.0,1.260156512260437,True,True,True,True
burst_medium,0.0,42,1,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,9.522977828979492,9.522977828979492,0.0,1.2352986335754395,1.2352986335754395,0.0,0.17578625679016113,0.17578625679016113,0.0,0.0,4.520268440246582,True,True,True,True
burst_medium,0.0,42,1,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,10.930567741394043,10.930567741394043,0.0,1.265002965927124,1.265002965927124,0.0,0.17439867556095123,0.17439867556095123,0.0,0.0,17.289064407348633,True,True,True,True
burst_medium,0.3,42,1,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,7.396156311035156,7.281134605407715,-0.1150217056274414,1.217699646949768,1.2191959619522095,0.0014963150024414062,0.18756313621997833,0.18785405158996582,0.0002909153699874878,0.036795197086216466,0.814187228679657,True,True,True,True
burst_medium,0.3,42,1,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,6.4526801109313965,6.382138729095459,-0.0705413818359375,1.2242687940597534,1.2249046564102173,0.0006358623504638672,0.1599072962999344,0.159862220287323,-4.507601261138916e-05,0.032109224402622136,0.5362435579299927,True,True,True,True
burst_medium,0.3,42,1,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,5.879834175109863,5.78794527053833,-0.0918889045715332,1.2403457164764404,1.2354124784469604,-0.0049332380294799805,0.15360447764396667,0.15058225393295288,-0.003022223711013794,0.06097866381275351,0.9199515581130981,True,True,True,True
burst_medium,0.3,42,1,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,5.4112982749938965,5.369165420532227,-0.04213285446166992,1.2383005619049072,1.2375190258026123,-0.0007815361022949219,0.17714180052280426,0.17770881950855255,0.000567018985748291,0.03190377302423135,0.420400470495224,True,True,True,True
burst_medium,0.3,42,1,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,9.81135082244873,5.6636128425598145,-4.147737979888916,1.3078086376190186,1.2165454626083374,-0.09126317501068115,0.21457259356975555,0.21414943039417267,-0.00042316317558288574,0.5299930854073881,5.615730285644531,True,True,True,True
burst_medium,0.3,42,1,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,109.5714340209961,126.85978698730469,17.288352966308594,2.521563768386841,1.4818741083145142,-1.0396896600723267,0.27545201778411865,0.27695485949516296,0.0015028417110443115,1.5024652876649378,28.010692596435547,True,True,True,True
