condition,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,final_ADE,final_acceleration_RMS,final_likelihood_norm,motion_usage_ratio,noisy_ADE,formal_E1_ADE,e2_min_v2_ADE
burst_medium,3.0,42,1,True,,none,12.168176651000977,2.698377847671509,933.40478515625,27.77568371813593,1.2443805932998657,1.2347136735916138,1.2261046171188354
burst_medium,0.0,42,2,True,,none,1.2956262826919556,0.5392285585403442,8.670358657836914,2.645534853844842,1.242592215538025,1.2596795558929443,1.2582499980926514
burst_medium,0.3,42,2,True,,none,0.9899494051933289,0.6381609439849854,112.58432006835938,3.9482496061846577,1.242592215538025,1.2596795558929443,1.2582499980926514
burst_medium,1.0,42,2,True,,none,7.811192512512207,0.8732796907424927,552.4995727539062,15.10267612102049,1.242592215538025,1.2596795558929443,1.2582499980926514
burst_medium,3.0,42,2,True,,none,18.526988983154297,1.8833718299865723,1445.96435546875,43.250175588272946,1.242592215538025,1.2596795558929443,1.2582499980926514
gaussian_medium,0.0,42,0,True,,none,2.0467400550842285,0.17564429342746735,8.64323616027832,2.3260473654821037,1.9797999858856201,1.9541515111923218,1.9774348735809326
gaussian_medium,0.3,42,0,True,,none,2.495056390762329,0.25551801919937134,127.17321014404297,4.013293159101325,1.9797999858856201,1.9541515111923218,1.9774348735809326
gaussian_medium,1.0,42,0,True,,none,6.972564697265625,0.8664636611938477,495.9889831542969,13.855268835929207,1.9797999858856201,1.9541515111923218,1.9774348735809326
gaussian_medium,3.0,42,0,True,,none,18.71257209777832,2.1805708408355713,1422.6929931640625,36.95482658221666,1.9797999858856201,1.9541515111923218,1.9774348735809326
gaussian_medium,0.0,42,1,True,,none,1.2652337551116943,0.13801537454128265,9.576164245605469,2.0257067061065626,1.2443788051605225,1.2420669794082642,1.238815188407898
gaussian_medium,0.3,42,1,True,,none,1.4568579196929932,0.14093120396137238,117.84272003173828,3.606851121371477,1.2443788051605225,1.2420669794082642,1.238815188407898
gaussian_medium,1.0,42,1,True,,none,4.3562140464782715,1.0252137184143066,296.0284118652344,10.383432869946427,1.2443788051605225,1.2420669794082642,1.238815188407898
gaussian_medium,3.0,42,1,True,,none,14.860026359558105,2.011137008666992,1043.9212646484375,28.896052059607566,1.2443788051605225,1.2420669794082642,1.238815188407898
gaussian_medium,0.0,42,2,True,,none,1.2429015636444092,0.530343234539032,6.631009578704834,1.8806728300812623,1.2857842445373535,1.3259215354919434,1.2840602397918701
gaussian_medium,0.3,42,2,True,,none,2.696108102798462,0.5365177392959595,135.59120178222656,4.080988910496164,1.2857842445373535,1.3259215354919434,1.2840602397918701
gaussian_medium,1.0,42,2,True,,none,3.2877910137176514,0.8995488286018372,319.24310302734375,9.84715387131785,1.2857842445373535,1.3259215354919434,1.2840602397918701
gaussian_medium,3.0,42,2,True,,none,11.153346061706543,2.1436901092529297,932.5880737304688,29.698241409165693,1.2857842445373535,1.3259215354919434,1.2840602397918701
