degradation,coarse_method,alpha,ADE,FDE,RMSE,masked_ADE,masked_RMSE,off_map_ratio,wall_crossing_count,coarse_ADE,coarse_masked_ADE,improvement_ADE,improvement_masked_ADE,improves_over_identity,improves_over_light_savgol
missing_noise_drift,linear_interp,0.0,0.04729394242167473,0.05279378592967987,0.037624143064022064,0.040777675807476044,0.03246487304568291,0.0003215701494192332,0.0,0.04729394242167473,0.040777675807476044,0.0,0.0,0.0,1.0
missing_noise_drift,linear_interp,0.05,0.04731844365596771,0.05279378592967987,0.03764466941356659,0.04090018942952156,0.03258358687162399,0.0003243423058797439,0.0,0.04729394242167473,0.040777675807476044,-0.0005180628435356477,-0.003004428762049644,0.0,1.0
missing_noise_drift,linear_interp,0.1,0.047456044703722,0.05279378592967987,0.03774511441588402,0.041588194668293,0.0331595316529274,0.00032295622764948856,0.0,0.04729394242167473,0.040777675807476044,-0.0034275485135487572,-0.019876534029150277,0.0,1.0
missing_noise_drift,linear_interp,0.25,0.04847780987620354,0.05279378592967987,0.0385173074901104,0.046697068959474564,0.037336308509111404,0.0003298866188007651,0.0,0.04729394242167473,0.040777675807476044,-0.02503211603662469,-0.14516259288405245,0.0,0.0
missing_noise_drift,linear_interp,0.5,0.05158616602420807,0.05279378592967987,0.041258927434682846,0.062238749116659164,0.0498756542801857,0.0003395891664125523,0.0,0.04729394242167473,0.040777675807476044,-0.09075630794877912,-0.5262946669767903,0.0,0.0
missing_noise_drift,linear_interp,0.75,0.05555568262934685,0.05279378592967987,0.045516207814216614,0.08208636939525604,0.065838523209095,0.00035899426163612673,0.0,0.04729394242167473,0.040777675807476044,-0.17468918395531727,-1.0130222669582998,0.0,0.0
missing_noise_drift,linear_interp,1.0,0.059906668961048126,0.05279378592967987,0.05091031268239021,0.10384140908718109,0.08327899128198624,0.0003714689657084246,0.0,0.04729394242167473,0.040777675807476044,-0.2666879920248097,-1.5465259368250495,0.0,0.0
missing_noise_drift,savgol_w5_p2,0.0,0.04183075204491615,0.05134725943207741,0.03311679884791374,0.04214651882648468,0.03360224887728691,0.00026058270728799936,0.0,0.04183075204491615,0.04214651882648468,0.0,0.0,0.0,0.0
missing_noise_drift,savgol_w5_p2,0.05,0.04184427857398987,0.05134725943207741,0.03313057869672775,0.04221421480178833,0.03367012366652489,0.0002647409419787653,0.0,0.04183075204491615,0.04214651882648468,-0.00032336327731308717,-0.001606205617653766,0.0,0.0
missing_noise_drift,savgol_w5_p2,0.1,0.041969116777181625,0.05134725943207741,0.033236246556043625,0.042838387191295624,0.03418683633208275,0.00026335486374851,0.0,0.04183075204491615,0.04214651882648468,-0.0033077275808214494,-0.016415789110823944,0.0,0.0
missing_noise_drift,savgol_w5_p2,0.25,0.04294856637716293,0.05134725943207741,0.0340922549366951,0.04773562401533127,0.038169462233781815,0.00027028525489978655,0.0,0.04183075204491615,0.04214651882648468,-0.026722310204858785,-0.1326113127363302,0.0,0.0
missing_noise_drift,savgol_w5_p2,0.5,0.04600777477025986,0.05134725943207741,0.03715270757675171,0.06303170323371887,0.05046898499131203,0.0002772156460510631,0.0,0.04183075204491615,0.04214651882648468,-0.09985531029560711,-0.49553759097441846,0.0,0.0
missing_noise_drift,savgol_w5_p2,0.75,0.04996604099869728,0.05134725943207741,0.04184314236044884,0.08282299339771271,0.06633055955171585,0.00029800681950489284,0.0,0.04183075204491615,0.04214651882648468,-0.1944810589359184,-0.9651206245215943,0.0,0.0
missing_noise_drift,savgol_w5_p2,1.0,0.05432898923754692,0.05134725943207741,0.04768497869372368,0.10463772714138031,0.08375430107116699,0.0003090954453469354,0.0,0.04183075204491615,0.04214651882648468,-0.29878107807410853,-1.4827134020764352,0.0,0.0
