condition,zeta,finite,ADE_E3_fused,ADE_DPS,ADE_delta,ADE_improvement_percent,RMSE,acceleration_RMS,acceleration_RMS_E3_fused,acceleration_ratio_vs_E3,high_conf_ADE,mid_conf_ADE,low_conf_ADE,high_conf_ADE_E3_fused,low_conf_ADE_E3_fused,high_conf_ratio_vs_E3_fused,low_conf_ratio_vs_E3_fused,win_rate_vs_E3_fused,likelihood_before_DPS,likelihood_after_DPS,likelihood_delta,max_grad_norm,mean_grad_norm,max_update_to_x_ratio,mean_update_to_x_ratio,likelihood_increase_steps,ADE_increase_steps,nan_inf_cases
burst_medium,1e-05,True,0.0712660700082779,0.11159425228834152,0.04032818228006363,-56.58819580078125,0.1589365303516388,0.41709277033805847,0.44626757502555847,0.9346248507499695,0.06375180929899216,0.06689256429672241,0.1804446578025818,0.0033128492068499327,0.16471625864505768,19.243800522877233,1.0954878363976004,0.022,0.620126485824585,5.703412055969238,5.083285331726074,30.86764907836914,22.233396848042805,7.828473462723196e-05,2.7651921603440616e-05,6,5,0
burst_medium,3e-05,True,0.0712660700082779,0.11094515025615692,0.03967908024787903,-55.6773796081543,0.15849344432353973,0.41709285974502563,0.44626757502555847,0.9346250891685486,0.06296297162771225,0.06613198667764664,0.17997214198112488,0.0033128492068499327,0.16471625864505768,19.005685950789605,1.0926191710615627,0.022,0.620126485824585,5.644387245178223,5.024260520935059,30.865726470947266,22.188446044921875,0.00023459314252249897,8.277988915021221e-05,6,5,0
burst_medium,0.0001,True,0.0712660700082779,0.10872076451778412,0.037454694509506226,-52.5561408996582,0.156995490193367,0.4170931875705719,0.44626757502555847,0.9346258044242859,0.06025673449039459,0.06352241337299347,0.17835775017738342,0.0033128492068499327,0.16471625864505768,18.18879481921561,1.0828181239941916,0.024,0.620126485824585,5.442103862762451,4.821977615356445,30.859905242919922,22.027950922648113,0.0007782915490679443,0.0002738344095026453,6,5,0
burst_medium,0.0003,True,0.0712660700082779,0.10279741138219833,0.03153134137392044,-44.24453353881836,0.15316446125507355,0.41709503531455994,0.44626757502555847,0.9346299171447754,0.053025517612695694,0.05654943734407425,0.17409533262252808,0.0033128492068499327,0.16471625864505768,16.00601606105571,1.0569407905122534,0.04,0.620126485824585,4.9031853675842285,4.283059120178223,30.837743759155273,21.53530216217041,0.0022933108266443014,0.0008021480171009898,6,4,0
burst_medium,0.001,True,0.0712660700082779,0.08745455741882324,0.01618848741054535,-22.715560913085938,0.1444258987903595,0.41711047291755676,0.44626757502555847,0.9346645474433899,0.03391879051923752,0.038364797830581665,0.16330303251743317,0.0033128492068499327,0.16471625864505768,10.23855551562809,0.9914202390264957,0.098,0.620126485824585,3.509945869445801,2.889819383621216,30.486968994140625,19.561916669209797,0.007388748694211245,0.00241685111541301,5,1,0
bias_medium,1e-05,True,0.18391107022762299,0.1882283240556717,0.004317253828048706,-2.347468137741089,0.1894884556531906,0.2079196274280548,0.2078503668308258,1.0003331899642944,0.057412631809711456,0.13484588265419006,0.29040876030921936,0.0399196520447731,0.2871248126029968,1.4382047154448785,1.0114373525452265,0.432,0.19635224342346191,3.2167773246765137,3.0204250812530518,33.329593658447266,23.286579449971516,0.00027854592190124094,5.0313217191918134e-05,5,5,0
bias_medium,3e-05,True,0.18391107022762299,0.18807296454906464,0.00416189432144165,-2.2629928588867188,0.18930557370185852,0.20791985094547272,0.2078503668308258,1.0003342628479004,0.05676453560590744,0.13471464812755585,0.29030942916870117,0.0399196520447731,0.2871248126029968,1.4219696990905994,1.0110914014599903,0.434,0.19635224342346191,3.1584067344665527,2.962054491043091,33.24635696411133,23.233745574951172,0.0008325572125613689,0.00015060326162104806,4,5,0
bias_medium,0.0001,True,0.18391107022762299,0.18756777048110962,0.0036567002534866333,-1.9882980585098267,0.18870870769023895,0.2079205960035324,0.2078503668308258,1.000337839126587,0.05461115762591362,0.13430047035217285,0.2899765372276306,0.0399196520447731,0.2871248126029968,1.3680268947400347,1.009932003433562,0.444,0.19635224342346191,2.9603312015533447,2.763978958129883,33.020694732666016,23.04322052001953,0.00275428663007915,0.000498009700095281,4,4,0
bias_medium,0.0003,True,0.18391107022762299,0.18641981482505798,0.0025087445974349976,-1.364107370376587,0.18734313547611237,0.20792269706726074,0.2078503668308258,1.0003479719161987,0.049417894333601,0.1334468573331833,0.28914785385131836,0.0399196520447731,0.2871248126029968,1.2379339949700676,1.0070458600564025,0.468,0.19635224342346191,2.451598882675171,2.255246639251709,32.79989242553711,22.460867881774902,0.008407415822148323,0.0014568783420448501,4,4,0
bias_medium,0.001,True,0.18391107022762299,0.18472610414028168,0.0008150339126586914,-0.44316738843917847,0.1852676421403885,0.20792758464813232,0.2078503668308258,1.0003714561462402,0.04152710363268852,0.13241571187973022,0.2876342236995697,0.0399196520447731,0.2871248126029968,1.0402671743258818,1.0017741799879805,0.448,0.19635224342346191,1.367140769958496,1.1707885265350342,31.964548110961914,20.36829725901286,0.02727906033396721,0.0043976247155418,0,3,0
jump_medium,1e-05,True,0.258203387260437,0.24644967913627625,-0.011753708124160767,4.552112102508545,0.2832489013671875,0.3314320147037506,0.3545634150505066,0.9347608685493469,0.025508912280201912,0.2642640471458435,0.390642911195755,0.0,0.42584356665611267,,0.9173389990677404,0.644,0.43906575441360474,5.202416896820068,4.763350963592529,33.31024932861328,21.454725583394367,0.0001078515051631257,2.9776510018564295e-05,6,3,0
jump_medium,3e-05,True,0.258203387260437,0.24642160534858704,-0.011781781911849976,4.562984943389893,0.28322634100914,0.3314327895641327,0.3545634150505066,0.9347630739212036,0.025268420577049255,0.264215350151062,0.3907938301563263,0.0,0.42584356665611267,,0.9176933990690281,0.65,0.43906575441360474,5.148340225219727,4.7092742919921875,33.30595016479492,21.40669822692871,0.000323311222018674,8.912236929366675e-05,6,3,0
jump_medium,0.0001,True,0.258203387260437,0.24634529650211334,-0.01185809075832367,4.592538833618164,0.28317272663116455,0.3314354717731476,0.3545634150505066,0.9347706437110901,0.024460917338728905,0.26407116651535034,0.3913305699825287,0.0,0.42584356665611267,,0.9189538145554405,0.66,0.43906575441360474,4.963479042053223,4.524413108825684,33.289031982421875,21.235265731811523,0.00107350735925138,0.0002946068028298517,6,3,0
jump_medium,0.0003,True,0.258203387260437,0.2463008463382721,-0.011902540922164917,4.6097540855407715,0.2832210063934326,0.3314440846443176,0.3545634150505066,0.9347949624061584,0.022431397810578346,0.2638658285140991,0.39292529225349426,0.0,0.42584356665611267,,0.9226986692293948,0.682,0.43906575441360474,4.474597930908203,4.035531997680664,33.22943878173828,20.72311528523763,0.003171919845044613,0.0008617093359741071,6,3,0
jump_medium,0.001,True,0.258203387260437,0.24756835401058197,-0.010635033249855042,4.118858814239502,0.28497132658958435,0.33148491382598877,0.3545634150505066,0.9349100589752197,0.01820152997970581,0.26481807231903076,0.3985927999019623,0.0,0.42584356665611267,,0.9360075650123497,0.714,0.43906575441360474,3.247612714767456,2.808547019958496,32.76736068725586,18.72919527689616,0.010027610696852207,0.002586936422934135,5,4,0
combined_medium,1e-05,True,0.20990969240665436,0.21400146186351776,0.004091769456863403,-1.9492998123168945,0.22015812993049622,0.26712241768836975,0.2851487398147583,0.936782717704773,0.06706883758306503,0.16335496306419373,0.32557356357574463,0.04746989160776138,0.32566529512405396,1.412871091791143,0.9997183256868855,0.452,0.2769331932067871,4.179564952850342,3.9026317596435547,32.380252838134766,22.252737363179524,0.00013971600856166333,3.7764177250210196e-05,6,5,0
combined_medium,3e-05,True,0.20990969240665436,0.21380996704101562,0.003900274634361267,-1.8580727577209473,0.21994632482528687,0.2671222388744354,0.2851487398147583,0.9367821216583252,0.06656306982040405,0.16315723955631256,0.32545897364616394,0.04746989160776138,0.32566529512405396,1.4022165959511252,0.9993664615757984,0.452,0.2769331932067871,4.123370170593262,3.8464369773864746,32.37289810180664,22.195000648498535,0.0004184772551525384,0.00011300262607013185,6,5,0
combined_medium,0.0001,True,0.20990969240665436,0.21317531168460846,0.0032656192779541016,-1.5557258129119873,0.2192430943250656,0.26712194085121155,0.2851487398147583,0.9367810487747192,0.0648861899971962,0.16250590980052948,0.32507315278053284,0.04746989160776138,0.32566529512405396,1.3668914716162366,0.9981817456376628,0.476,0.2769331932067871,3.9324262142181396,3.6554930210113525,32.346797943115234,21.988237698872883,0.0013857153244316578,0.0003732128582972412,5,5,0
combined_medium,0.0003,True,0.20990969240665436,0.2116515189409256,0.0017418265342712402,-0.8297981023788452,0.21754489839076996,0.2671220004558563,0.2851487398147583,0.9367812871932983,0.060838453471660614,0.16097262501716614,0.32410305738449097,0.04746989160776138,0.32566529512405396,1.281621916779634,0.9952029345375353,0.502,0.2769331932067871,3.4390029907226562,3.162069797515869,32.29379653930664,21.350286801656086,0.004048911854624748,0.0010873532543579738,5,2,0
combined_medium,0.001,True,0.20990969240665436,0.208938866853714,-0.0009708255529403687,0.4624967873096466,0.21441921591758728,0.2671353220939636,0.2851487398147583,0.9368280172348022,0.05342353880405426,0.15841150283813477,0.32215407490730286,0.04746989160776138,0.32566529512405396,1.1254194394520052,0.9892183162611368,0.588,0.2769331932067871,2.3397529125213623,2.062819719314575,32.29379653930664,18.851559321085613,0.012691216543316841,0.0031976548101132116,4,1,0
