condition,zeta,t,likelihood_before_step,likelihood_after_step,likelihood_increased,ADE_before_step,ADE_after_step,ADE_increased,grad_norm_mean,grad_norm_max,update_to_x_ratio_mean,update_to_x_ratio_max,finite
burst_medium,3e-05,4,4.747031211853027,5.491934776306152,True,0.10580867528915405,0.10918401926755905,True,21.755367279052734,30.865726470947266,8.009260636754334e-05,0.00022578022617381066,True
burst_medium,3e-05,3,5.107573509216309,5.752590656280518,True,0.10918401926755905,0.11143233627080917,True,22.105789184570312,29.468095779418945,8.231392712332308e-05,0.00022983130475040525,True
burst_medium,3e-05,2,5.373781204223633,5.944962024688721,True,0.11143233627080917,0.11327072232961655,True,22.364824295043945,29.636329650878906,8.395204349653795e-05,0.00023459314252249897,True
burst_medium,3e-05,1,5.586536884307861,5.992038249969482,True,0.11327072232961655,0.11366663873195648,True,22.72478485107422,29.265287399291992,8.590072684455663e-05,0.00023156529641710222,True
burst_medium,3e-05,0,5.661128520965576,5.86018705368042,True,0.11366663873195648,0.11260388046503067,False,22.933595657348633,29.82175636291504,8.69609066285193e-05,0.0002318038314115256,True
burst_medium,0.0001,5,4.282298564910889,5.116725921630859,True,0.0712660700082779,0.10546793788671494,True,21.246315002441406,30.248153686523438,0.0002581971057225019,0.000738874776288867,True
burst_medium,0.0001,4,4.71504020690918,5.428937911987305,True,0.10546793788671494,0.10849632322788239,True,21.688993453979492,30.859905242919922,0.00026614003581926227,0.0007517838384956121,True
burst_medium,0.0001,3,5.043812274932861,5.657106399536133,True,0.10849632322788239,0.11038102954626083,True,21.989723205566406,29.4476261138916,0.00027292955201119184,0.0007637898670509458,True
burst_medium,0.0001,2,5.277319431304932,5.816030502319336,True,0.11038102954626083,0.11184941232204437,True,22.183849334716797,29.621318817138672,0.0002774792374111712,0.0007782915490679443,True
burst_medium,0.0001,1,5.456264495849609,5.828912258148193,True,0.11184941232204437,0.11186269670724869,True,22.468734741210938,29.26105499267578,0.00028297057724557817,0.0007640718831680715,True
burst_medium,0.0001,0,5.49630880355835,5.659048080444336,True,0.11186269670724869,0.11038383841514587,False,22.590089797973633,29.76136016845703,0.00028528994880616665,0.000759813585318625,True
burst_medium,0.0003,5,4.282298564910889,5.027045726776123,True,0.0712660700082779,0.1045030802488327,True,21.246315002441406,30.248153686523438,0.0007745912880636752,0.002216624328866601,True
burst_medium,0.0003,4,4.624423027038574,5.252627372741699,True,0.1045030802488327,0.10657216608524323,True,21.490554809570312,30.837743759155273,0.0007909455453045666,0.002240723930299282,True
burst_medium,0.0003,3,4.865512847900391,5.392776966094971,True,0.10657216608524323,0.10746951401233673,True,21.626991271972656,29.666749954223633,0.000805097515694797,0.0022721593268215656,True
burst_medium,0.0003,2,5.010640621185303,5.463241100311279,True,0.10746951401233673,0.1079590916633606,True,21.631855010986328,29.425722122192383,0.0008108282345347106,0.0022933108266443014,True
burst_medium,0.0003,1,5.1005353927612305,5.388087749481201,True,0.1079590916633606,0.10699047893285751,False,21.689714431762695,29.227720260620117,0.0008181880693882704,0.002205020748078823,True
burst_medium,0.0003,0,5.05195426940918,5.122376441955566,True,0.10699047893285751,0.104459747672081,False,21.526382446289062,29.555198669433594,0.0008132374496199191,0.0021241731010377407,True
burst_medium,0.001,5,4.282298564910889,4.722409725189209,True,0.0712660700082779,0.1012282595038414,True,21.246315002441406,30.248153686523438,0.002581970999017358,0.007388748694211245,True
burst_medium,0.001,4,4.317493438720703,4.68235445022583,True,0.1012282595038414,0.10034475475549698,False,20.727684020996094,30.486968994140625,0.0025399280712008476,0.007321218494325876,True
burst_medium,0.001,3,4.291474342346191,4.575098991394043,True,0.10034475475549698,0.09845983237028122,False,20.20009994506836,29.901092529296875,0.0025010693352669477,0.00716351717710495,True
burst_medium,0.001,2,4.1925177574157715,4.425879001617432,True,0.09845983237028122,0.09649977087974548,False,19.353744506835938,28.903066635131836,0.0024061817675828934,0.00683026434853673,True
burst_medium,0.001,1,4.065348148345947,4.163654327392578,True,0.09649977087974548,0.0934629961848259,False,18.576786041259766,28.91448211669922,0.002321269130334258,0.0058126854710280895,True
burst_medium,0.001,0,3.834491729736328,3.722383975982666,False,0.0934629961848259,0.0889766737818718,False,17.266870498657227,29.076704025268555,0.002150687389075756,0.006088323425501585,True
