degradation,seed,trajectory_id,method,ADE,RMSE,acceleration_RMS,ADE_high,ADE_mid,ADE_low,motion_usage_ratio,noisy_reversion_gap,max_update_to_x_ratio,update_to_x_ratio_t99,update_to_x_ratio_t80,update_to_x_ratio_t60,update_to_x_ratio_t40,update_to_x_ratio_t20,update_to_x_ratio_t0,win_vs_Formal_E1,win_vs_E2_Min_V2
gaussian_medium,42,15,noisy_input,1.929541826248169,2.0464112758636475,0.21535451710224152,0.8789776563644409,2.0118870735168457,1.9262207746505737,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,16,noisy_input,1.3150665760040283,1.3799467086791992,0.2163444459438324,1.1546880006790161,1.4375598430633545,1.2178300619125366,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,17,noisy_input,2.4003734588623047,2.4074599742889404,0.2079191654920578,,2.4234063625335693,2.3722217082977295,0.0,0.0,,,,,,,,True,True
gaussian_medium,42,18,noisy_input,1.448301076889038,1.498709797859192,0.2788524627685547,1.29691481590271,1.509939432144165,1.4090994596481323,0.0,0.0,,,,,,,,True,True
gaussian_medium,42,19,noisy_input,1.9554589986801147,1.9698864221572876,0.6057263016700745,1.8725694417953491,1.9865610599517822,1.946552038192749,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,20,noisy_input,1.147137999534607,1.1545268297195435,0.17428869009017944,1.1492873430252075,1.1587635278701782,1.1215912103652954,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,21,noisy_input,1.2337125539779663,1.2722814083099365,0.18855586647987366,1.4057937860488892,1.466826319694519,1.0189082622528076,0.0,0.0,,,,,,,,True,True
gaussian_medium,42,22,noisy_input,1.658381462097168,1.6853511333465576,0.20391307771205902,,1.634162187576294,1.7033603191375732,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,23,noisy_input,1.9165254831314087,2.015942096710205,0.4925385117530823,1.7646257877349854,1.7855669260025024,2.0812389850616455,0.0,0.0,,,,,,,,True,True
gaussian_medium,42,24,noisy_input,2.536684513092041,2.605647087097168,0.18575327098369598,2.802769422531128,2.4806647300720215,2.560028314590454,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,25,noisy_input,0.5877410769462585,0.6946246027946472,0.21038880944252014,0.7881004214286804,0.574350893497467,0.5566070079803467,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,26,noisy_input,1.8558213710784912,1.9369934797286987,0.20306536555290222,1.6803539991378784,1.9537707567214966,1.8272444009780884,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,27,noisy_input,0.7543551921844482,0.828873872756958,0.21528460085391998,0.34410661458969116,0.7450852990150452,0.9425565004348755,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,28,noisy_input,2.0952162742614746,2.263289451599121,0.3556481599807739,,2.0862975120544434,2.1160271167755127,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,29,noisy_input,1.0351123809814453,1.101407527923584,0.20522312819957733,0.6717190742492676,1.0779266357421875,1.0633032321929932,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,30,noisy_input,1.5479966402053833,1.7240194082260132,0.17874988913536072,1.4157307147979736,1.372109293937683,1.9511302709579468,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,31,noisy_input,1.91238272190094,1.9805406332015991,0.19208639860153198,2.635361433029175,1.8317829370498657,1.932834506034851,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,32,noisy_input,1.6005630493164062,1.6118443012237549,0.15330955386161804,1.6281273365020752,1.5533498525619507,1.6484127044677734,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,33,noisy_input,2.2251367568969727,2.3882250785827637,0.43413588404655457,2.0729215145111084,2.3670878410339355,1.8044154644012451,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,34,noisy_input,2.016525983810425,2.017409086227417,0.19032450020313263,,2.010557174682617,2.025479555130005,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,35,noisy_input,1.4779261350631714,1.5648777484893799,0.24947886168956757,,1.4596937894821167,1.5052745342254639,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,36,noisy_input,1.4470010995864868,1.4758927822113037,0.17136412858963013,1.3637943267822266,1.4622366428375244,1.4106690883636475,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,37,noisy_input,0.8873035311698914,0.897855281829834,0.16085442900657654,0.9069398641586304,0.8913755416870117,0.8719748258590698,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,38,noisy_input,1.6128041744232178,1.8163883686065674,0.21416746079921722,1.5675767660140991,1.6545395851135254,1.434277892112732,0.0,0.0,,,,,,,,True,True
gaussian_medium,42,39,noisy_input,1.4111562967300415,1.502397894859314,0.1498708724975586,,1.431378722190857,1.3639699220657349,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,40,noisy_input,1.6463916301727295,1.9318511486053467,0.19406020641326904,2.523322105407715,1.4158563613891602,1.655434250831604,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,41,noisy_input,0.922113299369812,0.9374954104423523,0.25379109382629395,0.8864161968231201,0.8899412751197815,1.021449327468872,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,42,noisy_input,1.599405288696289,1.6277271509170532,0.23424690961837769,1.9066319465637207,1.6776319742202759,1.4783505201339722,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,43,noisy_input,1.8371222019195557,1.9906636476516724,0.5537115335464478,1.6070928573608398,1.88588285446167,1.9058749675750732,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,44,noisy_input,1.7394940853118896,1.9807907342910767,0.2183057963848114,1.140196681022644,2.2198119163513184,1.423872947692871,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,45,noisy_input,1.1642838716506958,1.271790862083435,0.1688716858625412,1.4654014110565186,1.156901478767395,1.1300925016403198,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,46,noisy_input,0.7716302275657654,0.8628389835357666,0.25540891289711,0.39603736996650696,0.8546727895736694,0.7043958902359009,0.0,0.0,,,,,,,,True,True
gaussian_medium,42,47,noisy_input,1.506736397743225,1.5368974208831787,0.16106384992599487,1.5119225978851318,1.5308949947357178,1.4380546808242798,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,48,noisy_input,2.076188087463379,2.166799306869507,0.3967895209789276,1.2743313312530518,2.1705520153045654,2.071446180343628,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,49,noisy_input,0.7715800404548645,1.1674576997756958,0.5025293231010437,0.9453123211860657,0.8904483914375305,0.26867449283599854,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,0,noisy_input,1.9797999858856201,2.017963171005249,0.2897612452507019,1.9602025747299194,1.9738489389419556,2.040182113647461,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,1,noisy_input,1.2443788051605225,1.4516513347625732,0.23532892763614655,1.9653955698013306,1.386196494102478,1.0066906213760376,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,2,noisy_input,1.2857842445373535,1.3549163341522217,0.5456907153129578,0.8800608515739441,1.4145219326019287,0.9044488072395325,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,3,noisy_input,1.5947153568267822,1.6108078956604004,0.1787411868572235,1.3719037771224976,1.6148407459259033,1.5882453918457031,0.0,0.0,,,,,,,,False,True
gaussian_medium,43,4,noisy_input,1.1600511074066162,1.3076227903366089,0.18481223285198212,,1.1885948181152344,1.0934494733810425,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,5,noisy_input,1.6009622812271118,1.6903717517852783,0.19284379482269287,,1.5666029453277588,1.6353216171264648,0.0,0.0,,,,,,,,True,True
gaussian_medium,43,6,noisy_input,1.0871729850769043,1.0967483520507812,0.5076237320899963,0.8782834410667419,1.0952366590499878,1.1091558933258057,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,7,noisy_input,1.511573076248169,1.5644779205322266,0.26687777042388916,1.491292953491211,1.762050986289978,1.3257701396942139,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,8,noisy_input,2.0980224609375,2.121346950531006,0.21436388790607452,1.8916665315628052,2.18257999420166,2.0461785793304443,0.0,0.0,,,,,,,,True,True
gaussian_medium,43,9,noisy_input,2.738363742828369,2.838881015777588,0.21286244690418243,,2.6066370010375977,2.899362564086914,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,10,noisy_input,0.9217597842216492,1.0840061902999878,0.19099214673042297,1.0838637351989746,0.9647073149681091,0.6975922584533691,0.0,0.0,,,,,,,,False,True
gaussian_medium,43,11,noisy_input,2.6120076179504395,2.7578797340393066,0.5131312012672424,3.2566800117492676,2.2730872631073,3.1009175777435303,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,12,noisy_input,1.5230635404586792,1.5556178092956543,0.485584557056427,1.7809584140777588,1.4691479206085205,1.5968984365463257,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,13,noisy_input,2.1841320991516113,2.1879758834838867,0.19106023013591766,2.2439701557159424,2.2197506427764893,2.1583683490753174,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,14,noisy_input,2.5706067085266113,2.602491855621338,0.20630769431591034,2.8643667697906494,2.6118392944335938,2.38580584526062,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,15,noisy_input,1.929541826248169,2.0464112758636475,0.21535451710224152,0.8789776563644409,2.0118870735168457,1.9262207746505737,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,16,noisy_input,1.3150665760040283,1.3799467086791992,0.2163444459438324,1.1546880006790161,1.4375598430633545,1.2178300619125366,0.0,0.0,,,,,,,,False,True
gaussian_medium,43,17,noisy_input,2.4003734588623047,2.4074599742889404,0.2079191654920578,,2.4234063625335693,2.3722217082977295,0.0,0.0,,,,,,,,True,True
gaussian_medium,43,18,noisy_input,1.448301076889038,1.498709797859192,0.2788524627685547,1.29691481590271,1.509939432144165,1.4090994596481323,0.0,0.0,,,,,,,,True,True
gaussian_medium,43,19,noisy_input,1.9554589986801147,1.9698864221572876,0.6057263016700745,1.8725694417953491,1.9865610599517822,1.946552038192749,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,20,noisy_input,1.147137999534607,1.1545268297195435,0.17428869009017944,1.1492873430252075,1.1587635278701782,1.1215912103652954,0.0,0.0,,,,,,,,False,True
gaussian_medium,43,21,noisy_input,1.2337125539779663,1.2722814083099365,0.18855586647987366,1.4057937860488892,1.466826319694519,1.0189082622528076,0.0,0.0,,,,,,,,True,True
gaussian_medium,43,22,noisy_input,1.658381462097168,1.6853511333465576,0.20391307771205902,,1.634162187576294,1.7033603191375732,0.0,0.0,,,,,,,,False,True
gaussian_medium,43,23,noisy_input,1.9165254831314087,2.015942096710205,0.4925385117530823,1.7646257877349854,1.7855669260025024,2.0812389850616455,0.0,0.0,,,,,,,,True,True
gaussian_medium,43,24,noisy_input,2.536684513092041,2.605647087097168,0.18575327098369598,2.802769422531128,2.4806647300720215,2.560028314590454,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,25,noisy_input,0.5877410769462585,0.6946246027946472,0.21038880944252014,0.7881004214286804,0.574350893497467,0.5566070079803467,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,26,noisy_input,1.8558213710784912,1.9369934797286987,0.20306536555290222,1.6803539991378784,1.9537707567214966,1.8272444009780884,0.0,0.0,,,,,,,,False,True
gaussian_medium,43,27,noisy_input,0.7543551921844482,0.828873872756958,0.21528460085391998,0.34410661458969116,0.7450852990150452,0.9425565004348755,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,28,noisy_input,2.0952162742614746,2.263289451599121,0.3556481599807739,,2.0862975120544434,2.1160271167755127,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,29,noisy_input,1.0351123809814453,1.101407527923584,0.20522312819957733,0.6717190742492676,1.0779266357421875,1.0633032321929932,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,30,noisy_input,1.5479966402053833,1.7240194082260132,0.17874988913536072,1.4157307147979736,1.372109293937683,1.9511302709579468,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,31,noisy_input,1.91238272190094,1.9805406332015991,0.19208639860153198,2.635361433029175,1.8317829370498657,1.932834506034851,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,32,noisy_input,1.6005630493164062,1.6118443012237549,0.15330955386161804,1.6281273365020752,1.5533498525619507,1.6484127044677734,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,33,noisy_input,2.2251367568969727,2.3882250785827637,0.43413588404655457,2.0729215145111084,2.3670878410339355,1.8044154644012451,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,34,noisy_input,2.016525983810425,2.017409086227417,0.19032450020313263,,2.010557174682617,2.025479555130005,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,35,noisy_input,1.4779261350631714,1.5648777484893799,0.24947886168956757,,1.4596937894821167,1.5052745342254639,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,36,noisy_input,1.4470010995864868,1.4758927822113037,0.17136412858963013,1.3637943267822266,1.4622366428375244,1.4106690883636475,0.0,0.0,,,,,,,,True,False
gaussian_medium,43,37,noisy_input,0.8873035311698914,0.897855281829834,0.16085442900657654,0.9069398641586304,0.8913755416870117,0.8719748258590698,0.0,0.0,,,,,,,,False,False
gaussian_medium,43,38,noisy_input,1.6128041744232178,1.8163883686065674,0.21416746079921722,1.5675767660140991,1.6545395851135254,1.434277892112732,0.0,0.0,,,,,,,,True,True
