degradation,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,max_grad_norm,max_update_to_x_ratio,update_to_x_ratio_t99,update_to_x_ratio_t80,update_to_x_ratio_t60,update_to_x_ratio_t40,update_to_x_ratio_t20,update_to_x_ratio_t0
gaussian_medium,0.3,42,10,True,,none,28.880088806152344,1.7406389955708828,0.053725382154326776,0.062495668934411414,0.05397197224795035,0.08819257243031114,0.445532430649935,1.7406389955708828
gaussian_medium,0.3,42,11,True,,none,27.92934226989746,1.9133862079611108,0.11281536333955992,0.14704216703440756,0.07027685048250747,0.2248351397637042,0.9414665821504375,1.6298786218896686
gaussian_medium,0.3,42,12,True,,none,28.731094360351562,2.0372917835969573,0.11982647995552755,0.023120670462302133,0.027366957284671648,0.03220590022586761,0.7163509681791232,1.9793285694211362
gaussian_medium,0.3,42,13,True,,none,27.93805503845215,2.0704881088395797,0.12151729155696685,0.11565174826039198,0.03752523673877308,0.29356365533308265,0.6546835854737002,1.4581061027305287
gaussian_medium,0.3,42,14,True,,none,29.163616180419922,1.4878120718539818,0.148204876139022,0.06683367100738748,0.14828800704095965,0.28111506399742525,0.7628877449474227,1.410739301525369
gaussian_medium,0.3,42,15,True,,none,27.908836364746094,1.7087832559891822,0.04612106790461469,0.02890181508172864,0.026516384417730753,0.05325163054838522,0.7581850163142685,1.5646870451960722
gaussian_medium,0.3,42,16,True,,none,28.82209587097168,2.0402507241613796,0.061472169165731644,0.01948542489759478,0.022790246911158604,0.042886458151998694,0.6820197618885553,2.0135716489115674
gaussian_medium,0.3,42,17,True,,none,28.506587982177734,1.8666766864088136,0.10257405855304988,0.02732031439410386,0.034231445181215285,0.048771240568679416,0.7295511787353912,1.5298826544902027
gaussian_medium,0.3,42,18,True,,none,28.681358337402344,2.0979267147465492,0.027734542715422285,0.03971532660944793,0.05875690269233657,0.05716938248762788,1.0120991375448947,2.068413679709295
gaussian_medium,0.3,42,19,True,,none,29.402713775634766,1.8790037356705342,0.047745243053717294,0.015506874324114042,0.039257057855853573,0.05032022828839983,0.5250042662496629,1.8783416086507028
gaussian_medium,0.3,42,20,True,,none,29.045042037963867,2.1231435385326622,0.1206942028697982,0.028907119883886927,0.05806722692422453,0.06257105585538597,1.0739699121704398,2.075152906231439
gaussian_medium,0.3,42,21,True,,none,28.456180572509766,1.687588851635576,0.09185228912812166,0.11345111344552669,0.20809825951830066,0.3888690448280115,0.8193481581781651,1.5530780177180679
gaussian_medium,0.3,42,22,True,,none,27.778287887573242,2.092352246426527,0.0694333903421997,0.06004698293232001,0.11540056086043404,0.056641939959034125,1.335231139590195,1.8077253558046924
gaussian_medium,0.3,42,23,True,,none,27.83481216430664,1.8739557135097848,0.04338671128502647,0.05505475040572224,0.08663253169838252,0.2746663221939916,0.5954358304437669,1.8739557135097848
gaussian_medium,0.3,42,24,True,,none,28.16489028930664,1.7919972870762793,0.08706921655942118,0.02655458951137423,0.0607332696588863,0.1397906758962482,0.8513168935896834,1.5256053796908156
gaussian_medium,0.3,42,25,True,,none,28.523195266723633,1.7483411489945813,0.1325911275865847,0.03647848992171485,0.058452162396131456,0.06795413603070036,0.685269010080893,1.7414231828839544
gaussian_medium,0.3,42,26,True,,none,28.508987426757812,1.5273957036275363,0.07836599580484842,0.03640713005706223,0.02991225789921437,0.06297893913044522,0.8599314694566635,1.3956774577189213
gaussian_medium,0.3,42,27,True,,none,29.178104400634766,1.8069175452742592,0.07612758904746092,0.08181138977250685,0.09907231790296028,0.053279663216046456,0.8380636046126745,1.8069175452742592
gaussian_medium,0.3,42,28,True,,none,27.943836212158203,1.9567841605149097,0.0395457037478568,0.03018530510954107,0.055912874402246605,0.04934052256307383,0.7090228295604045,1.5389935442030338
gaussian_medium,0.3,42,29,True,,none,28.806644439697266,1.555338971933803,0.06984124034729586,0.043784277993878636,0.04206772893158656,0.07506131799007287,0.6974433916601783,1.3774935066502336
gaussian_medium,0.3,42,30,True,,none,28.960298538208008,1.8898119662477124,0.11468806365572658,0.03588423667619577,0.03087087436881357,0.04195537285171702,0.5934143520864376,1.8898119662477124
gaussian_medium,0.3,42,31,True,,none,28.37087059020996,1.432325973018426,0.0819405425194135,0.04508925898933112,0.0398269786364487,0.11129918822519431,0.8081941242977564,1.227473737038888
gaussian_medium,0.3,42,32,True,,none,28.836830139160156,1.566556306522378,0.09002677277509044,0.035262963216454016,0.061920541050079415,0.2851352683471262,0.985419162321715,1.3176892336118684
gaussian_medium,0.3,42,33,True,,none,29.06195831298828,1.837473447930222,0.09842172423230605,0.04625076485193474,0.022969490335212013,0.08124463544133312,1.0121618625304318,1.837473447930222
gaussian_medium,0.3,42,34,True,,none,28.595806121826172,1.4408396364446103,0.027323545105897157,0.035912445616980926,0.0908134085291325,0.061243293426242795,1.2503316717055735,1.2331233430543824
