condition,variant,N,tau_high,gamma,ADE,RMSE,per_traj_ADE_mean,per_traj_ADE_std,per_traj_ADE_median,per_traj_ADE_min,per_traj_ADE_max,per_traj_ADE_p10,per_traj_ADE_p90,high_conf_ADE_y,high_conf_ADE_fused,high_conf_ADE_ratio,high_conf_no_harm_pass,low_conf_ADE_y,low_conf_ADE_fused,low_conf_improvement,low_conf_pass,acceleration_RMS_clean,acceleration_RMS_fused,acceleration_RMS_ratio,motion_usage_ratio,improvement_vs_E3_t1,relative_improvement_vs_E3_t1
bias_medium,V1_single_t1,1000,0.7,2.0,0.18705998361110687,0.18706457316875458,0.18705998361110687,0.0979618951678276,0.1729418933391571,0.009627052582800388,0.6726185083389282,0.07077669352293015,0.3251610994338989,0.04062176123261452,0.04062176123261452,1.0,PASS,0.31170395016670227,0.3116997182369232,4.231929779052734e-06,PASS,0.20577530562877655,0.20567038655281067,0.9994901418685913,0.40348736148054826,0.0,0.0
bias_medium,V2_single_t2,1000,0.7,2.0,0.1870337277650833,0.18704485893249512,0.1870337277650833,0.09797143191099167,0.17271462082862854,0.009627052582800388,0.670071005821228,0.07070490717887878,0.32676029205322266,0.04062176123261452,0.04062176123261452,1.0,PASS,0.31170395016670227,0.31157946586608887,0.00012448430061340332,PASS,0.20577530562877655,0.2055681198835373,0.9989931583404541,0.40398895115441286,2.625584602355957e-05,0.00014036057053230835
bias_medium,V3_single_t3,1000,0.7,2.0,0.18703998625278473,0.1870604306459427,0.18703998625278473,0.09799166023731232,0.17238570749759674,0.009627052582800388,0.670702338218689,0.0705309510231018,0.3263038694858551,0.04062176123261452,0.04062176123261452,1.0,PASS,0.31170395016670227,0.31156522035598755,0.00013872981071472168,PASS,0.20577530562877655,0.2054440975189209,0.9983904361724854,0.4026882710063585,1.9997358322143555e-05,0.00010690345383334722
bias_medium,V4_multit_confidence_bin,1000,0.7,2.0,0.18703976273536682,0.18705496191978455,0.18703976273536682,0.09797364473342896,0.17271462082862854,0.009627052582800388,0.670702338218689,0.07077669352293015,0.3263038694858551,0.04062176123261452,0.04062176123261452,1.0,PASS,0.31170395016670227,0.31156522035598755,0.00013872981071472168,PASS,0.20577530562877655,0.20551367104053497,0.9987285137176514,0.48509044608533003,2.022087574005127e-05,0.00010809835085831012
jump_medium,V1_single_t1,1000,0.7,2.0,0.2578508257865906,0.30131232738494873,0.2578508257865906,0.07643087953329086,0.2603151798248291,0.04370871186256409,0.46388953924179077,0.15482988953590393,0.3553011417388916,0.0,0.0,,UNINTERPRETABLE,0.454885870218277,0.44927889108657837,0.005606979131698608,PASS,0.20577530562877655,0.35251474380493164,1.7131052017211914,0.4366396308987689,0.0,0.0
jump_medium,V2_single_t2,1000,0.7,2.0,0.2559114694595337,0.29899072647094727,0.2559114694595337,0.07589920610189438,0.25861862301826477,0.043310098350048065,0.4630657136440277,0.15260715782642365,0.3528411388397217,0.0,0.0,,UNINTERPRETABLE,0.454885870218277,0.44516634941101074,0.009719520807266235,PASS,0.20577530562877655,0.3504682779312134,1.703160047531128,0.43906256456648834,0.0019393563270568848,0.007521233725481515
jump_medium,V3_single_t3,1000,0.7,2.0,0.25374510884284973,0.29641276597976685,0.25374510884284973,0.07537315785884857,0.25680071115493774,0.04290547966957092,0.4602345824241638,0.14998885989189148,0.3510041832923889,0.0,0.0,,UNINTERPRETABLE,0.454885870218277,0.4405713677406311,0.014314502477645874,PASS,0.20577530562877655,0.3482469916343689,1.692365288734436,0.44060223911012886,0.004105716943740845,0.015922838064218597
jump_medium,V4_multit_confidence_bin,1000,0.7,2.0,0.25490134954452515,0.29768097400665283,0.25490134954452515,0.07534004002809525,0.2583153247833252,0.043310098350048065,0.4602345824241638,0.15223285555839539,0.3510897159576416,0.0,0.0,,UNINTERPRETABLE,0.454885870218277,0.4405713677406311,0.014314502477645874,PASS,0.20577530562877655,0.34935462474823,1.697748064994812,0.5003263723181428,0.0029494762420654297,0.011438692247955474
combined_medium,V1_single_t1,1000,0.7,2.0,0.2059965282678604,0.212333545088768,0.2059965282678604,0.09520740807056427,0.19045507907867432,0.053916554898023605,0.5771626234054565,0.09319732338190079,0.3394821882247925,0.04521172493696213,0.04521172493696213,1.0,PASS,0.3483329713344574,0.34741827845573425,0.0009146928787231445,PASS,0.20577530562877655,0.280832439661026,1.3647528886795044,0.3998209869003738,0.0,0.0
combined_medium,V2_single_t2,1000,0.7,2.0,0.2057013064622879,0.211930051445961,0.2057013064622879,0.09526894241571426,0.1899653673171997,0.05378703027963638,0.5779272317886353,0.09296189248561859,0.33828508853912354,0.04521172493696213,0.04521172493696213,1.0,PASS,0.3483329713344574,0.3466629683971405,0.0016700029373168945,PASS,0.20577530562877655,0.2793944478034973,1.357764720916748,0.3996181756052407,0.00029522180557250977,0.0014331397138266097
combined_medium,V3_single_t3,1000,0.7,2.0,0.20533227920532227,0.21144865453243256,0.20533227920532227,0.0954296737909317,0.1891411989927292,0.05360623076558113,0.5828423500061035,0.09294561296701431,0.3392241597175598,0.04521172493696213,0.04521172493696213,1.0,PASS,0.3483329713344574,0.34589284658432007,0.002440124750137329,PASS,0.20577530562877655,0.27776142954826355,1.3498287200927734,0.39834233986024187,0.000664249062538147,0.003224564356109872
combined_medium,V4_multit_confidence_bin,1000,0.7,2.0,0.20551294088363647,0.21170154213905334,0.20551294088363647,0.09516128897666931,0.18964150547981262,0.053916554898023605,0.5828423500061035,0.09300918132066727,0.3390927016735077,0.04521172493696213,0.04521172493696213,1.0,PASS,0.3483329713344574,0.34589284658432007,0.002440124750137329,PASS,0.20577530562877655,0.27879324555397034,1.354843020439148,0.4883184289550787,0.000483587384223938,0.0023475511373316662
