condition,variant,confidence_bin,N_frames,frame_fraction,ADE_y,ADE_fused,ADE_improvement_y_minus_fused,ADE_fused_std,ADE_fused_median,ADE_fused_min,ADE_fused_max,ADE_fused_p10,ADE_fused_p90
bias_medium,V4_multit_confidence_bin,high,1620,0.081,0.04062176123261452,0.04062176123261452,0.0,0.014304066076874733,0.040137600153684616,0.009626968763768673,0.061573777347803116,0.01995132677257061,0.058287832885980606
bias_medium,V4_multit_confidence_bin,mid_high,3700,0.185,0.09261076897382736,0.09259502589702606,1.574307680130005e-05,0.016780421137809753,0.09387101233005524,0.061587389558553696,0.12372864782810211,0.07053812593221664,0.115787073969841
bias_medium,V4_multit_confidence_bin,mid_low,8960,0.448,0.1731070727109909,0.17301711440086365,8.99583101272583e-05,0.033446356654167175,0.170791357755661,0.11681422591209412,0.24925725162029266,0.12947510182857513,0.21975216269493103
bias_medium,V4_multit_confidence_bin,low,5720,0.286,0.31170395016670227,0.31156522035598755,0.00013872981071472168,0.0627858117222786,0.29273080825805664,0.21742109954357147,0.6802256107330322,0.24894732236862183,0.3994114398956299
jump_medium,V1_single_t1,high,5132,0.2566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,V1_single_t1,mid_high,296,0.0148,0.20277294516563416,0.20165275037288666,0.0011201947927474976,0.0023800984490662813,0.20151343941688538,0.19436079263687134,0.2077428251504898,0.19901308417320251,0.20466051995754242
jump_medium,V1_single_t1,mid_low,10130,0.5065,0.3087846636772156,0.3061826527118683,0.00260201096534729,0.05823653191328049,0.30541175603866577,0.19343023002147675,0.41891932487487793,0.22687524557113647,0.38763803243637085
jump_medium,V1_single_t1,low,4442,0.2221,0.454885870218277,0.44927889108657837,0.005606979131698608,0.026331380009651184,0.4469927251338959,0.3960394859313965,0.5086674094200134,0.4143860340118408,0.4864175021648407
jump_medium,V2_single_t2,high,5132,0.2566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,V2_single_t2,mid_high,296,0.0148,0.20277294516563416,0.20094923675060272,0.001823708415031433,0.003653351916000247,0.20127177238464355,0.18872500956058502,0.21062622964382172,0.19655132293701172,0.2054947018623352
jump_medium,V2_single_t2,mid_low,10130,0.5065,0.3087846636772156,0.3041776120662689,0.004607051610946655,0.05771100893616676,0.3035382032394409,0.18341442942619324,0.4255569875240326,0.22600671648979187,0.38411685824394226
jump_medium,V2_single_t2,low,4442,0.2221,0.454885870218277,0.44516634941101074,0.009719520807266235,0.027937812730669975,0.4432697892189026,0.3828250467777252,0.5211011171340942,0.4091680943965912,0.48427510261535645
jump_medium,V3_single_t3,high,5132,0.2566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,V3_single_t3,mid_high,296,0.0148,0.20277294516563416,0.20011228322982788,0.0026606619358062744,0.004982425831258297,0.20027101039886475,0.18212255835533142,0.2139202356338501,0.19468089938163757,0.2062385082244873
jump_medium,V3_single_t3,mid_low,10130,0.5065,0.3087846636772156,0.30193987488746643,0.0068447887897491455,0.05729757249355316,0.3012470602989197,0.174576535820961,0.43612486124038696,0.22466130554676056,0.3808276951313019
jump_medium,V3_single_t3,low,4442,0.2221,0.454885870218277,0.4405713677406311,0.014314502477645874,0.030471377074718475,0.4378729462623596,0.365561306476593,0.5348841547966003,0.402140736579895,0.4829469919204712
jump_medium,V4_multit_confidence_bin,high,5132,0.2566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump_medium,V4_multit_confidence_bin,mid_high,296,0.0148,0.20277294516563416,0.20165275037288666,0.0011201947927474976,0.0023800984490662813,0.20151343941688538,0.19436079263687134,0.2077428251504898,0.19901308417320251,0.20466051995754242
jump_medium,V4_multit_confidence_bin,mid_low,10130,0.5065,0.3087846636772156,0.3041776120662689,0.004607051610946655,0.05771100893616676,0.3035382032394409,0.18341442942619324,0.4255569875240326,0.22600671648979187,0.38411685824394226
jump_medium,V4_multit_confidence_bin,low,4442,0.2221,0.454885870218277,0.4405713677406311,0.014314502477645874,0.030471377074718475,0.4378729462623596,0.365561306476593,0.5348841547966003,0.402140736579895,0.4829469919204712
combined_medium,V1_single_t1,high,1598,0.0799,0.04521172493696213,0.04521172493696213,0.0,0.015925288200378418,0.047506414353847504,0.000801772577688098,0.06914021074771881,0.02231602557003498,0.06481590867042542
combined_medium,V1_single_t1,mid_high,4071,0.20355,0.10387035459280014,0.10376468300819397,0.00010567158460617065,0.01856035739183426,0.10458151251077652,0.06675726920366287,0.1381491869688034,0.07703796774148941,0.1283702254295349
combined_medium,V1_single_t1,mid_low,9038,0.4519,0.19790339469909668,0.19765111804008484,0.0002522766590118408,0.03824446722865105,0.19609448313713074,0.1291179656982422,0.2831690311431885,0.14561033248901367,0.25170302391052246
combined_medium,V1_single_t1,low,5293,0.26465,0.3483329713344574,0.34741827845573425,0.0009146928787231445,0.06452383100986481,0.3319384753704071,0.25321152806282043,0.7022498250007629,0.27870872616767883,0.4386233389377594
combined_medium,V2_single_t2,high,1598,0.0799,0.04521172493696213,0.04521172493696213,0.0,0.015925288200378418,0.047506414353847504,0.000801772577688098,0.06914021074771881,0.02231602557003498,0.06481590867042542
combined_medium,V2_single_t2,mid_high,4071,0.20355,0.10387035459280014,0.10368874669075012,0.0001816079020500183,0.018596315756440163,0.10459830611944199,0.06516095995903015,0.14288870990276337,0.07712168246507645,0.12835122644901276
combined_medium,V2_single_t2,mid_low,9038,0.4519,0.19790339469909668,0.197474405169487,0.0004289895296096802,0.038484521210193634,0.19597187638282776,0.12423798441886902,0.2952773869037628,0.14570635557174683,0.2516067922115326
combined_medium,V2_single_t2,low,5293,0.26465,0.3483329713344574,0.3466629683971405,0.0016700029373168945,0.06467195600271225,0.3311734199523926,0.24320892989635468,0.6994151473045349,0.2782728970050812,0.43709588050842285
combined_medium,V3_single_t3,high,1598,0.0799,0.04521172493696213,0.04521172493696213,0.0,0.015925288200378418,0.047506414353847504,0.000801772577688098,0.06914021074771881,0.02231602557003498,0.06481590867042542
combined_medium,V3_single_t3,mid_high,4071,0.20355,0.10387035459280014,0.10356146097183228,0.000308893620967865,0.018682099878787994,0.10429435223340988,0.0639803409576416,0.14721138775348663,0.07710547000169754,0.12824483215808868
combined_medium,V3_single_t3,mid_low,9038,0.4519,0.19790339469909668,0.19716615974903107,0.0007372349500656128,0.03883960098028183,0.19544807076454163,0.11936289817094803,0.3118399679660797,0.14538231492042542,0.25107282400131226
combined_medium,V3_single_t3,low,5293,0.26465,0.3483329713344574,0.34589284658432007,0.002440124750137329,0.06514529138803482,0.33060169219970703,0.2253989726305008,0.7013444900512695,0.2766919434070587,0.43718862533569336
combined_medium,V4_multit_confidence_bin,high,1598,0.0799,0.04521172493696213,0.04521172493696213,0.0,0.015925288200378418,0.047506414353847504,0.000801772577688098,0.06914021074771881,0.02231602557003498,0.06481590867042542
combined_medium,V4_multit_confidence_bin,mid_high,4071,0.20355,0.10387035459280014,0.10376468300819397,0.00010567158460617065,0.01856035739183426,0.10458151251077652,0.06675726920366287,0.1381491869688034,0.07703796774148941,0.1283702254295349
combined_medium,V4_multit_confidence_bin,mid_low,9038,0.4519,0.19790339469909668,0.197474405169487,0.0004289895296096802,0.038484521210193634,0.19597187638282776,0.12423798441886902,0.2952773869037628,0.14570635557174683,0.2516067922115326
combined_medium,V4_multit_confidence_bin,low,5293,0.26465,0.3483329713344574,0.34589284658432007,0.002440124750137329,0.06514529138803482,0.33060169219970703,0.2253989726305008,0.7013444900512695,0.2766919434070587,0.43718862533569336
