geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,output_path,evaluated_windows,off_map_ratio,boundary_violation_count,infeasible_transition_count,window_violation_count,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_count,masked_segment_count,masked_infeasible_transition_rate,total_points,total_segments,internal_wall_crossing_count,door_valid_crossing_count,door_crossing_valid_ratio
two_room_v1,phase1_baseline,span20_random_seed16,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed16/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,7.261109497531223e-05,40,349,227,0.008241359279697939,0.0006668755827995781,0.012670636073191984,277,137720,0.0020113273308161486,550880,523336,2750,2463,0.8956363636363637
two_room_v1,phase1_baseline,span20_random_seed16,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed16/linear_interp/results.npz,27544,0.0,0,21,21,0.0007624164972407784,4.0127184065304127e-05,0.0007624164972407784,21,137720,0.00015248329944815567,550880,523336,2491,2470,0.9915696507426737
two_room_v1,phase1_baseline,span20_random_seed16,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed16/savgol_w5_p2/results.npz,27544,0.0,0,48,43,0.0015611385419692129,9.171927786355228e-05,0.0017426662794074934,22,137720,0.0001597444089456869,550880,523336,2503,2455,0.9808230123851378
two_room_v1,phase1_baseline,span20_random_seed17,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed17/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,6.898054022654662e-05,38,392,259,0.009403136799302934,0.0007490407692190104,0.014231774615161197,309,137720,0.0022436828347371478,550880,523336,2781,2444,0.8788205681409564
two_room_v1,phase1_baseline,span20_random_seed17,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed17/linear_interp/results.npz,27544,0.0,0,23,23,0.0008350275922160906,4.394882064295214e-05,0.0008350275922160906,23,137720,0.00016700551844321812,550880,523336,2491,2468,0.990766760337214
two_room_v1,phase1_baseline,span20_random_seed17,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed17/savgol_w5_p2/results.npz,27544,0.0,0,52,47,0.0017063607319198373,9.936255101884831e-05,0.001887888469358118,23,137720,0.00016700551844321812,550880,523336,2504,2452,0.9792332268370607
two_room_v1,phase1_baseline,span20_random_seed18,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed18/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,9.257914609352308e-05,51,404,263,0.009548358989253557,0.0007719705886848984,0.01466744118501307,322,137720,0.0023380772582050537,550880,523336,2774,2445,0.8813987022350397
two_room_v1,phase1_baseline,span20_random_seed18,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed18/linear_interp/results.npz,27544,0.0,0,25,25,0.0009076386871914028,4.777045722060015e-05,0.0009076386871914028,25,137720,0.00018152773743828056,550880,523336,2491,2466,0.9899638699317543
two_room_v1,phase1_baseline,span20_random_seed18,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed18/savgol_w5_p2/results.npz,27544,0.0,0,48,44,0.001597444089456869,9.171927786355228e-05,0.0017426662794074934,26,137720,0.0001887888469358118,550880,523336,2504,2456,0.9808306709265175
two_room_v1,phase1_baseline,span20_random_seed19,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed19/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,6.716526285216381e-05,37,368,249,0.009040081324426373,0.0007031811302872342,0.01336044147545745,287,137720,0.002083938425791461,550880,523336,2744,2432,0.8862973760932945
two_room_v1,phase1_baseline,span20_random_seed19,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed19/linear_interp/results.npz,27544,0.0,0,27,27,0.0009802497821667152,5.1592093798248164e-05,0.0009802497821667152,27,137720,0.000196049956433343,550880,523336,2491,2464,0.9891609795262947
two_room_v1,phase1_baseline,span20_random_seed19,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed19/savgol_w5_p2/results.npz,27544,0.0,0,48,43,0.0015611385419692129,9.171927786355228e-05,0.0017426662794074934,25,137720,0.00018152773743828056,550880,523336,2506,2458,0.9808459696727854
