geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,evaluated_windows,boundary_violation_count,infeasible_transition_count,window_violation_count,masked_infeasible_transition_count,masked_segment_count,total_points,total_segments,internal_wall_crossing_count,door_valid_crossing_count,off_map_ratio,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_rate,door_crossing_valid_ratio
two_room_v1,phase1_baseline,span20_random_seed2,,,savgol_w5_p2,,,27544,0,45,40,18,137720,550880,523336,2505,2460,0.0,0.0014522218995062445,8.598682299708028e-05,0.0016337496369445252,0.000130699970955562,0.9820359281437125
two_room_v1,phase1_baseline,span20_random_seed3,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,29,327,230,247,137720,550880,523336,2718,2436,5.2643043857101365e-05,0.008350275922160906,0.00062483758044545,0.01187191402846355,0.001793494045890212,0.8962472406181016
two_room_v1,phase1_baseline,span20_random_seed3,,,linear_interp,,,27544,0,24,24,24,137720,550880,523336,2491,2467,0.0,0.0008713331397037467,4.585963893177614e-05,0.0008713331397037467,0.00017426662794074935,0.9903653151344841
two_room_v1,phase1_baseline,span20_random_seed3,,,savgol_w5_p2,,,27544,0,47,43,24,137720,550880,523336,2503,2456,0.0,0.0015611385419692129,8.980845957472828e-05,0.0017063607319198373,0.00017426662794074935,0.9812225329604475
two_room_v1,phase1_baseline,span20_random_seed4,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,40,398,262,321,137720,550880,523336,2761,2423,7.261109497531223e-05,0.009512053441765901,0.0007605056789519544,0.014449607900087133,0.0023308161487075223,0.8775805867439334
two_room_v1,phase1_baseline,span20_random_seed4,,,linear_interp,,,27544,0,18,18,18,137720,550880,523336,2491,2473,0.0,0.00065349985477781,3.4394729198832105e-05,0.00065349985477781,0.000130699970955562,0.9927739863508631
two_room_v1,phase1_baseline,span20_random_seed4,,,savgol_w5_p2,,,27544,0,44,40,19,137720,550880,523336,2504,2460,0.0,0.0014522218995062445,8.407600470825626e-05,0.001597444089456869,0.00013796108045309325,0.9824281150159745
two_room_v1,phase1_baseline,span20_random_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,24,361,256,268,137720,550880,523336,2765,2442,4.356665698518734e-05,0.009294220156839965,0.0006898054022654662,0.013106302643043856,0.0019459773453383677,0.8831826401446654
two_room_v1,phase1_baseline,span20_random_seed42,,,linear_interp,,,27544,0,25,25,25,137720,550880,523336,2491,2466,0.0,0.0009076386871914028,4.777045722060015e-05,0.0009076386871914028,0.00018152773743828056,0.9899638699317543
two_room_v1,phase1_baseline,span20_random_seed42,,,savgol_w5_p2,,,27544,0,50,45,24,137720,550880,523336,2506,2456,0.0,0.0016337496369445252,9.55409144412003e-05,0.0018152773743828057,0.00017426662794074935,0.9800478850758181
two_room_v1,phase1_baseline,span20_random_seed43,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,51,412,270,334,137720,550880,523336,2772,2438,9.257914609352308e-05,0.009802497821667151,0.0007872571349954905,0.014957885564914319,0.0024252105721754283,0.8795093795093795
two_room_v1,phase1_baseline,span20_random_seed43,,,linear_interp,,,27544,0,20,20,20,137720,550880,523336,2491,2471,0.0,0.0007261109497531223,3.821636577648012e-05,0.0007261109497531223,0.00014522218995062446,0.9919710959454034
two_room_v1,phase1_baseline,span20_random_seed43,,,savgol_w5_p2,,,27544,0,42,38,20,137720,550880,523336,2500,2458,0.0,0.0013796108045309324,8.025436813060825e-05,0.0015248329944815568,0.00014522218995062446,0.9832
two_room_v1,phase1_baseline,span20_random_seed44,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,32,392,264,311,137720,550880,523336,2774,2430,5.808887598024978e-05,0.009584664536741214,0.0007490407692190104,0.014231774615161197,0.00225820505373221,0.8759913482335977
two_room_v1,phase1_baseline,span20_random_seed44,,,linear_interp,,,27544,0,20,20,20,137720,550880,523336,2491,2471,0.0,0.0007261109497531223,3.821636577648012e-05,0.0007261109497531223,0.00014522218995062446,0.9919710959454034
two_room_v1,phase1_baseline,span20_random_seed44,,,savgol_w5_p2,,,27544,0,43,39,21,137720,550880,523336,2502,2459,0.0,0.0014159163520185885,8.216518641943226e-05,0.0015611385419692129,0.00015248329944815567,0.9828137490007993
two_room_v1,phase1_baseline,span20_random_seed5,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,26,352,244,268,137720,550880,523336,2767,2455,4.719721173395295e-05,0.008858553586988092,0.0006726080376660501,0.012779552715654952,0.0019459773453383677,0.8872425009035056
two_room_v1,phase1_baseline,span20_random_seed5,,,linear_interp,,,27544,0,23,23,23,137720,550880,523336,2491,2468,0.0,0.0008350275922160906,4.394882064295214e-05,0.0008350275922160906,0.00016700551844321812,0.990766760337214
two_room_v1,phase1_baseline,span20_random_seed5,,,savgol_w5_p2,,,27544,0,44,39,22,137720,550880,523336,2502,2458,0.0,0.0014159163520185885,8.407600470825626e-05,0.001597444089456869,0.0001597444089456869,0.982414068745004
two_room_v1,phase1_baseline,span20_random_seed6,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,34,365,248,283,137720,550880,523336,2743,2429,6.17194307290154e-05,0.009003775776938717,0.0006974486754207622,0.013251524832994481,0.002054893987801336,0.8855267954794022
two_room_v1,phase1_baseline,span20_random_seed6,,,linear_interp,,,27544,0,20,20,20,137720,550880,523336,2491,2471,0.0,0.0007261109497531223,3.821636577648012e-05,0.0007261109497531223,0.00014522218995062446,0.9919710959454034
two_room_v1,phase1_baseline,span20_random_seed6,,,savgol_w5_p2,,,27544,0,40,36,18,137720,550880,523336,2500,2460,0.0,0.00130699970955562,7.643273155296023e-05,0.0014522218995062445,0.000130699970955562,0.984
two_room_v1,phase1_baseline,span20_random_seed7,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,46,371,246,288,137720,550880,523336,2737,2437,8.350275922160906e-05,0.008931164681963404,0.0007089135851537062,0.013469358117920419,0.002091199535288992,0.8903909389842893
two_room_v1,phase1_baseline,span20_random_seed7,,,linear_interp,,,27544,0,26,26,26,137720,550880,523336,2491,2465,0.0,0.000943944234679059,4.9681275509424154e-05,0.000943944234679059,0.0001887888469358118,0.9895624247290244
two_room_v1,phase1_baseline,span20_random_seed7,,,savgol_w5_p2,,,27544,0,49,45,28,137720,550880,523336,2501,2452,0.0,0.0016337496369445252,9.36300961523763e-05,0.0017789718268951496,0.00020331106593087425,0.9804078368652539
two_room_v1,phase1_baseline,span20_random_seed8,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,34,380,253,290,137720,550880,523336,2764,2434,6.17194307290154e-05,0.009185303514376996,0.0007261109497531223,0.013796108045309324,0.0021057217542840546,0.8806078147612156
two_room_v1,phase1_baseline,span20_random_seed8,,,linear_interp,,,27544,0,35,35,35,137720,550880,523336,2491,2456,0.0,0.001270694162067964,6.68786401088402e-05,0.001270694162067964,0.0002541388324135928,0.985949417904456
two_room_v1,phase1_baseline,span20_random_seed8,,,savgol_w5_p2,,,27544,0,59,54,35,137720,550880,523336,2501,2442,0.0,0.0019604995643334303,0.00011273827904061635,0.002142027301771711,0.0002541388324135928,0.9764094362255098
two_room_v1,phase1_baseline,span20_random_seed9,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,27,360,243,274,137720,550880,523336,2764,2443,4.901248910833575e-05,0.008822248039500435,0.0006878945839766422,0.013069997095556202,0.001989544002323555,0.8838639652677279
two_room_v1,phase1_baseline,span20_random_seed9,,,linear_interp,,,27544,0,23,23,23,137720,550880,523336,2491,2468,0.0,0.0008350275922160906,4.394882064295214e-05,0.0008350275922160906,0.00016700551844321812,0.990766760337214
