condition,trajectory_id,t,eps,L_zero,L_minus,L_plus,delta_L_minus,delta_L_plus,ADE_zero,ADE_minus,ADE_plus,accel_zero,accel_minus,accel_plus,grad_norm,x_norm,update_norm_minus,update_norm_plus,update_to_x_ratio_minus,update_to_x_ratio_plus,finite_minus,finite_plus
burst_medium,0,1,1e-06,1.456499695777893,1.455721139907837,1.4572705030441284,-0.0007785558700561523,0.0007708072662353516,0.05806894227862358,0.0580604150891304,0.058077383786439896,0.27617236971855164,0.27617233991622925,0.27617236971855164,27.860883712768555,7.363492488861084,2.7860883712768555e-05,2.7860883712768555e-05,3.783650727546818e-06,3.783650727546818e-06,True,True
burst_medium,0,1,1e-05,1.456499695777893,1.4487375020980835,1.4642633199691772,-0.00776219367980957,0.00776362419128418,0.05806894227862358,0.05798393487930298,0.05815392732620239,0.27617236971855164,0.27617236971855164,0.27617231011390686,27.860883712768555,7.363492488861084,0.00027860883712768554,0.00027860883712768554,3.783650727546818e-05,3.783650727546818e-05,True,True
burst_medium,0,1,0.0001,1.456499695777893,1.3790794610977173,1.534389615058899,-0.07742023468017578,0.07788991928100586,0.05806894227862358,0.057221442461013794,0.05892215296626091,0.27617236971855164,0.2761725187301636,0.27617233991622925,27.860883712768555,7.363492488861084,0.0027860883712768555,0.0027860883712768555,0.0003783650727546818,0.0003783650727546818,True,True
burst_medium,0,1,0.001,1.456499695777893,0.7203047275543213,2.2464356422424316,-0.7361949682235718,0.7899359464645386,0.05806894227862358,0.0498921200633049,0.06677723675966263,0.27617236971855164,0.2761734426021576,0.2761733829975128,27.860883712768555,7.363492488861084,0.027860883712768555,0.027860883712768555,0.0037836507275468183,0.0037836507275468183,True,True
burst_medium,0,1,0.01,1.456499695777893,6.741026878356934,9.53876781463623,5.2845271825790405,8.082268118858337,0.05806894227862358,0.09215088188648224,0.15127775073051453,0.27617236971855164,0.27619579434394836,0.27618125081062317,27.860883712768555,7.363492488861084,0.2786088371276855,0.2786088371276855,0.03783650727546818,0.03783650727546818,True,True
burst_medium,0,3,1e-07,2.381239414215088,2.3811631202697754,2.381312608718872,-7.62939453125e-05,7.319450378417969e-05,0.06778770685195923,0.06778684258460999,0.06778854131698608,0.27271977066993713,0.27271968126296997,0.2727196216583252,27.002084732055664,7.367593765258789,2.700208473205566e-06,2.700208473205566e-06,3.66498012680583e-07,3.66498012680583e-07,True,True
burst_medium,0,3,1e-06,2.381239414215088,2.380511999130249,2.381965160369873,-0.0007274150848388672,0.0007257461547851562,0.06778770685195923,0.06777942180633545,0.06779596954584122,0.27271977066993713,0.2727195918560028,0.27271977066993713,27.002084732055664,7.367593765258789,2.700208473205566e-05,2.700208473205566e-05,3.6649801268058296e-06,3.6649801268058296e-06,True,True
burst_medium,0,3,1e-05,2.381239414215088,2.3739490509033203,2.3885302543640137,-0.007290363311767578,0.007290840148925781,0.06778770685195923,0.06770477443933487,0.06787063181400299,0.27271977066993713,0.2727195918560028,0.2727198600769043,27.002084732055664,7.367593765258789,0.00027002084732055665,0.00027002084732055665,3.66498012680583e-05,3.66498012680583e-05,True,True
burst_medium,0,3,0.0001,2.381239414215088,2.3084778785705566,2.454293966293335,-0.07276153564453125,0.07305455207824707,0.06778770685195923,0.06695938855409622,0.0686182752251625,0.27271977066993713,0.2727183699607849,0.27272099256515503,27.002084732055664,7.367593765258789,0.0027002084732055667,0.0027002084732055667,0.000366498012680583,0.000366498012680583,True,True
burst_medium,0,3,0.001,2.381239414215088,1.6730833053588867,3.121394395828247,-0.7081561088562012,0.7401549816131592,0.06778770685195923,0.059623539447784424,0.07617902755737305,0.27271977066993713,0.2727073132991791,0.27273303270339966,27.002084732055664,7.367593765258789,0.027002084732055665,0.027002084732055665,0.00366498012680583,0.00366498012680583,True,True
burst_medium,0,3,0.01,2.381239414215088,5.584029197692871,10.040775299072266,3.202789783477783,7.659535884857178,0.06778770685195923,0.08108042180538177,0.15723589062690735,0.27271977066993713,0.2726207673549652,0.2728348970413208,27.002084732055664,7.367593765258789,0.27002084732055665,0.27002084732055665,0.0366498012680583,0.0366498012680583,True,True
