method,condition,metric,N,mean,std,median,min,max,p05,p25,p75,p95,source_file
kalman_cv_dt1.0_q1e-3_r1e-2,span20_fixed_seed42,masked_ADE,36073,0.0314858220517635,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_fixed_seed42,masked_RMSE,36073,0.0337829627096653,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_fixed_seed42,off_map_ratio,36073,6.375959859174451e-05,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_fixed_seed42,wall_crossing_count,36073,0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed42,ADE,36073,0.0093099875375628,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed42,FDE,36073,0.006373762153089,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed42,RMSE,36073,0.014717404730618,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed42,masked_ADE,36073,0.0277804918587207,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed42,masked_RMSE,36073,0.0311303604394197,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed42,off_map_ratio,36073,3.881019044714884e-05,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed42,wall_crossing_count,36073,0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_random_seed43,ADE,36073,0.0093401568010449,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
