method,degradation,curve_group,ADE_mean,ADE_std,ADE_median,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,RMSE_median,RMSE_p25,RMSE_p75,smooth_mean,smooth_std,smooth_median,smooth_p25,smooth_p75,n_traj,n_seed
ddpm_eth_sdedit,jump_medium,high_curve,1.291886568069458,0.32112741470336914,1.2333641052246094,1.06342351436615,1.4856494665145874,1.472867488861084,0.36342689394950867,1.4074859619140625,1.2244406938552856,1.6982476711273193,0.03670288622379303,0.006903467699885368,0.03618955612182617,0.03194599226117134,0.04168377071619034,333,5
ddpm_finetuned_sdedit,jump_medium,low_curve,1.173642635345459,0.23021714389324188,1.1725027561187744,1.0016676187515259,1.324461579322815,1.3386529684066772,0.2547811269760132,1.3332810401916504,1.1457011699676514,1.521598219871521,0.06553749740123749,0.0119238942861557,0.0651383250951767,0.05678434297442436,0.07365382462739944,333,5
ddpm_finetuned_sdedit,jump_medium,mid_curve,1.167595386505127,0.23885668814182281,1.134859561920166,0.9826154708862305,1.3394111394882202,1.3268786668777466,0.2660221755504608,1.2967348098754883,1.1195602416992188,1.5197443962097168,0.06696239858865738,0.012108325958251953,0.06572497636079788,0.05792447179555893,0.07520563900470734,334,5
ddpm_finetuned_sdedit,jump_medium,high_curve,1.1451823711395264,0.22965191304683685,1.1272141933441162,0.9845492243766785,1.2668628692626953,1.2972909212112427,0.2516700327396393,1.2904798984527588,1.1138566732406616,1.4352962970733643,0.06997701525688171,0.012045709416270256,0.06947561353445053,0.061670850962400436,0.07721066474914551,333,5
noisy_input,burst_medium,low_curve,0.14881913363933563,0.028238564729690552,0.14783123135566711,0.12775760889053345,0.16744716465473175,0.2532840371131897,0.0710696280002594,0.24722382426261902,0.2007352113723755,0.30380794405937195,0.416526734828949,0.10678710788488388,0.4025440216064453,0.33866235613822937,0.4795166254043579,333,1
noisy_input,burst_medium,mid_curve,0.1509212851524353,0.027051853016018867,0.1508139967918396,0.13217543065547943,0.16902896761894226,0.2580488622188568,0.06840119510889053,0.25118517875671387,0.2077775001525879,0.3035133183002472,0.4296846091747284,0.10324913263320923,0.41898488998413086,0.3559372127056122,0.4913267493247986,334,1
noisy_input,burst_medium,high_curve,0.15291878581047058,0.02848096750676632,0.1518688201904297,0.1324876993894577,0.1713707447052002,0.2625032663345337,0.07081209123134613,0.2584548592567444,0.21347451210021973,0.3089105188846588,0.4551979601383209,0.11267475038766861,0.4493568241596222,0.36910760402679443,0.5341196060180664,333,1
kalman_cv,burst_medium,low_curve,0.09923691302537918,0.027846189215779305,0.09682603180408478,0.08085494488477707,0.11622346937656403,0.11717676371335983,0.03438201919198036,0.11264998465776443,0.09456709772348404,0.138068288564682,0.020682228729128838,0.00684448191896081,0.021484559401869774,0.015965981408953667,0.02533189207315445,333,1
kalman_cv,burst_medium,mid_curve,0.13549356162548065,0.029279513284564018,0.13345178961753845,0.11397505551576614,0.15275511145591736,0.15674333274364471,0.034782376140356064,0.1544339507818222,0.132228285074234,0.1756456196308136,0.02730589359998703,0.0068491194397211075,0.027184823527932167,0.02250216156244278,0.03184710815548897,334,1
kalman_cv,burst_medium,high_curve,0.17029410600662231,0.033748216927051544,0.1681622862815857,0.14741197228431702,0.19086557626724243,0.19597242772579193,0.03881791979074478,0.193878173828125,0.16925562918186188,0.22024889290332794,0.03105677105486393,0.007554353680461645,0.030041852965950966,0.02600179798901081,0.03620491549372673,333,1
ddpm_eth_sdedit,burst_medium,low_curve,1.982404112815857,0.5136188268661499,1.9040387868881226,1.60918390750885,2.3069512844085693,2.2806296348571777,0.5917950868606567,2.1930136680603027,1.8623263835906982,2.6649439334869385,0.04089440405368805,0.007177250925451517,0.04086180403828621,0.03652248531579971,0.04511503130197525,333,5
ddpm_eth_sdedit,burst_medium,mid_curve,2.0221517086029053,0.49854177236557007,2.008059024810791,1.684466004371643,2.327519655227661,2.319279670715332,0.5689061284065247,2.3096413612365723,1.916420578956604,2.6771957874298096,0.040678128600120544,0.00664431881159544,0.04016193374991417,0.03578861802816391,0.04509986937046051,334,5
ddpm_eth_sdedit,burst_medium,high_curve,1.9195239543914795,0.46575528383255005,1.8578901290893555,1.5978951454162598,2.209416627883911,2.20168399810791,0.531818151473999,2.149122953414917,1.818993330001831,2.5349957942962646,0.04044438526034355,0.006822436582297087,0.04028036445379257,0.03626382350921631,0.044987164437770844,333,5
ddpm_finetuned_sdedit,burst_medium,low_curve,1.4643131494522095,0.3189649283885956,1.4338773488998413,1.258724570274353,1.667051076889038,1.6563537120819092,0.35756099224090576,1.6250286102294922,1.4142320156097412,1.8928524255752563,0.06828096508979797,0.01246520597487688,0.06823066622018814,0.05913690850138664,0.07728505879640579,333,5
ddpm_finetuned_sdedit,burst_medium,mid_curve,1.4716593027114868,0.32053568959236145,1.4478869438171387,1.237255334854126,1.657488226890564,1.66036057472229,0.3516167998313904,1.6288282871246338,1.3992829322814941,1.8577995300292969,0.06709373742341995,0.012151476927101612,0.06685180962085724,0.0588497519493103,0.07403421401977539,334,5
ddpm_finetuned_sdedit,burst_medium,high_curve,1.4043415784835815,0.2995983362197876,1.3883512020111084,1.1857162714004517,1.578261375427246,1.5832794904708862,0.3293221592903137,1.5503265857696533,1.3605101108551025,1.768522024154663,0.06835459917783737,0.011902947910130024,0.06826428323984146,0.06018645316362381,0.07619521766901016,333,5
noisy_input,combined_medium,low_curve,0.2647044360637665,0.08148675411939621,0.24461805820465088,0.20851051807403564,0.3065604269504547,0.28954747319221497,0.08325754106044769,0.26946690678596497,0.22967958450317383,0.3324599266052246,0.36915484070777893,0.059987131506204605,0.36673519015312195,0.32562002539634705,0.40614014863967896,333,1
noisy_input,combined_medium,mid_curve,0.26900437474250793,0.08541495352983475,0.24937555193901062,0.20669132471084595,0.3088740408420563,0.2936509847640991,0.08746328204870224,0.27163153886795044,0.22910402715206146,0.33534693717956543,0.376594603061676,0.05980543792247772,0.37425658106803894,0.33470258116722107,0.41173508763313293,334,1
