trajectory_id,ADE_noisy,ADE_cond,ADE_improvement_noisy_minus_cond,offset_noisy_x,offset_noisy_y,offset_cond_x,offset_cond_y,offset_norm_noisy,offset_norm_cond,offset_norm_improvement,offset_norm_rel_improvement,global_correction_cosine,global_correction_ratio,shape_centered_ADE_noisy,shape_centered_ADE_cond,shape_centered_ADE_improvement
92,0.15877266228199005,0.14912036061286926,0.009652301669120789,0.15865588188171387,-0.0060880184173583984,0.14297056198120117,-0.03931770473718643,0.15877264738082886,0.14827832579612732,0.010494321584701538,0.06609653681516647,0.3918728828430176,0.23143552243709564,1.1175870895385742e-08,0.01537388376891613,-0.015373872593045235
93,0.07370318472385406,0.08539597690105438,-0.011692792177200317,0.04943948611617088,0.05466166138648987,0.05382101610302925,0.0655113011598587,0.07370319217443466,0.0847846195101738,-0.011081427335739136,-0.15035206079483032,-0.9388700127601624,0.15875792503356934,7.357136411201282e-08,0.011765388771891594,-0.0117653151974082
94,0.23795466125011444,0.22786739468574524,0.010087266564369202,0.005882042460143566,-0.23788189888000488,0.014148280024528503,-0.227188378572464,0.23795460164546967,0.22762849926948547,0.010326102375984192,0.0433952622115612,0.7758172750473022,0.05680091306567192,5.6060638797816864e-08,0.021344657987356186,-0.02134460210800171
95,0.16713173687458038,0.15928657352924347,0.007845163345336914,-0.12598201632499695,-0.10982513427734375,-0.10906509310007095,-0.1153024211525917,0.16713176667690277,0.15871308743953705,0.008418679237365723,0.05037150904536247,0.5147225856781006,0.10639209300279617,2.9802322387695312e-08,0.0148317264392972,-0.014831696636974812
96,0.2684658169746399,0.25578489899635315,0.012680917978286743,-0.2506973147392273,-0.09604525566101074,-0.2267804592847824,-0.11740829795598984,0.26846569776535034,0.25537046790122986,0.013095229864120483,0.04877803847193718,0.45811763405799866,0.119451604783535,5.960464477539063e-08,0.022090451791882515,-0.02209039218723774
97,0.26230889558792114,0.23910824954509735,0.02320064604282379,-0.1308457851409912,-0.22734403610229492,-0.12234359979629517,-0.2050216645002365,0.26230883598327637,0.23875057697296143,0.02355825901031494,0.08981115370988846,0.9874929785728455,0.09106336534023285,1.1920929132713809e-08,0.016900621354579926,-0.01690061017870903
98,0.32250985503196716,0.33018216490745544,-0.007672309875488281,-0.17641012370586395,0.2699853777885437,-0.2054649293422699,0.2579505443572998,0.32250991463661194,0.3297792077064514,-0.0072692930698394775,-0.02253975160419941,-0.18499566614627838,0.09751243889331818,7.450580596923828e-08,0.016048360615968704,-0.016048286110162735
99,0.317570298910141,0.32845771312713623,-0.01088741421699524,-0.17276597023010254,0.26646357774734497,-0.17209382355213165,0.2794933617115021,0.31757035851478577,0.328226774930954,-0.010656416416168213,-0.03355608135461807,-0.8099287152290344,0.041084110736846924,4.470348535789981e-09,0.016119400039315224,-0.016119396314024925
100,0.34000444412231445,0.37629902362823486,-0.03629457950592041,-0.04671680927276611,-0.3367796540260315,-0.05702787637710571,-0.37155652046203613,0.34000441431999207,0.3759074807167053,-0.03590306639671326,-0.10559588670730591,-0.9887113571166992,0.10668446123600006,1.315843292104546e-07,0.024274025112390518,-0.024273892864584923
101,0.2694550156593323,0.29016274213790894,-0.02070772647857666,-0.16803333163261414,0.21064381301403046,-0.19383032619953156,0.21575692296028137,0.2694550156593323,0.2900366187095642,-0.020581603050231934,-0.07638233155012131,-0.763691782951355,0.09760009497404099,8.86229116758841e-08,0.01325224805623293,-0.01325215958058834
102,0.12536099553108215,0.09391307085752487,0.03144792467355728,-0.08444416522979736,-0.09265291690826416,-0.0344291552901268,-0.08589527755975723,0.12536099553108215,0.09253845363855362,0.032822541892528534,0.26182419061660767,0.766503095626831,0.40259304642677307,1.4901161415892261e-09,0.015081736259162426,-0.015081734396517277
103,0.21557338535785675,0.1788155734539032,0.03675781190395355,-0.21361041069030762,0.029025554656982422,-0.1783858835697174,0.008847301825881004,0.21557340025901794,0.17860515415668488,0.03696824610233307,0.1714879721403122,0.926737904548645,0.18831026554107666,8.940697071579962e-09,0.014202432706952095,-0.014202423393726349
104,0.07751722633838654,0.07988573610782623,-0.0023685097694396973,-0.07716119289398193,-0.007420778274536133,-0.06979823857545853,0.03413481265306473,0.07751721143722534,0.0776979997754097,-0.0001807883381843567,-0.0023322347551584244,0.2679270803928375,0.5444319248199463,0.0,0.01940901391208172,-0.01940901391208172
105,0.25589674711227417,0.2436518669128418,0.012244880199432373,-0.23491144180297852,0.10148787498474121,-0.2256062775850296,0.09157414734363556,0.25589680671691895,0.24348309636116028,0.012413710355758667,0.048510611057281494,0.9174212217330933,0.05313323065638542,0.0,0.00938916765153408,-0.00938916765153408
