condition,seed,zeta,N,ADE,RMSE,acceleration_RMS,high_conf_ADE,mid_conf_ADE,low_conf_ADE,E3_fused_ADE,E3_fused_acceleration_RMS,E3_fused_high_conf_ADE,E3_fused_mid_conf_ADE,E3_fused_low_conf_ADE,win_rate_vs_E3_fused,ADE_delta_vs_E3_fused,ADE_ratio_vs_E3_fused,high_conf_delta_vs_E3_fused,high_conf_ratio_vs_E3_fused,acceleration_ratio_vs_E3_fused,likelihood_norm_before_DPS,likelihood_norm_after_DPS,likelihood_delta_after_minus_before,likelihood_decreased,update_to_x_ratio,finite,nan_inf_cases
drift_medium,43,0.3,1000,0.9331480860710144,1.0556975603103638,0.22871829569339752,0.4167692959308624,0.898917019367218,1.1631531715393066,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,0.8980013132095337,26.550052642822266,0.41194139048457146,86.3250742101929,1.1034553050994873,0.2692013382911682,73.48322296142578,73.21401977539062,False,7.355962753295898,True,0
drift_medium,44,0.3,1000,0.8946487903594971,1.0122318267822266,0.23008720576763153,0.39748415350914,0.8418615460395813,1.1392465829849243,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,0.8595020174980164,25.454666137695312,0.39265624806284904,82.33055885850179,1.1100596189498901,0.2692013382911682,70.37792205810547,70.10871887207031,False,8.039677619934082,True,0
drift_medium,42,1.0,1000,3.0469722747802734,3.448507308959961,0.3225460350513458,1.390377402305603,2.908582925796509,3.8182098865509033,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,3.0118255615234375,86.69285583496094,1.385549496859312,287.98770352343126,1.5561288595199585,0.2692013382911682,239.69105529785156,239.42185974121094,False,25.60052490234375,True,0
drift_medium,43,1.0,1000,2.985790252685547,3.382567882537842,0.32429754734039307,1.3274235725402832,2.860217809677124,3.7427167892456055,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,2.950643539428711,84.95210266113281,1.3225956670939922,274.9481296407895,1.5645790100097656,0.2692013382911682,234.93841552734375,234.66921997070312,False,24.519874572753906,True,0
drift_medium,44,1.0,1000,2.8816099166870117,3.2635385990142822,0.3268229365348816,1.2789671421051025,2.711801052093506,3.669672966003418,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,2.846463203430176,81.98794555664062,1.2741392366588116,264.91138990463594,1.5767627954483032,0.2692013382911682,226.52276611328125,226.25357055664062,False,26.79892349243164,True,0
drift_medium,42,3.0,1000,9.481090545654297,10.704939842224121,0.5576754212379456,4.339215278625488,9.045903205871582,11.881508827209473,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,9.445943832397461,269.7572326660156,4.334387373179197,898.7780160357289,2.69051456451416,0.2692013382911682,743.5145263671875,743.2453002929688,False,76.80157470703125,True,0
drift_medium,43,3.0,1000,9.300872802734375,10.507829666137695,0.5561904311180115,4.153835773468018,8.892909049987793,11.671408653259277,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,9.265726089477539,264.6296691894531,4.149007868021727,860.3805148377946,2.6833503246307373,0.2692013382911682,729.3196411132812,729.0504150390625,False,73.55962371826172,True,0
drift_medium,44,3.0,1000,9.0405855178833,10.212793350219727,0.5605199933052063,4.036164283752441,8.49952220916748,11.51402759552002,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,9.005438804626465,257.22393798828125,4.03133637830615,836.0073180085202,2.704238176345825,0.2692013382911682,708.3932495117188,708.1240234375,False,80.39677429199219,True,0
burst_medium,42,0.3,1000,0.9956119060516357,1.1254594326019287,0.4299555718898773,1.019328236579895,0.9808274507522583,1.0090794563293457,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,0.9241192936897278,13.9260835647583,1.016026727622375,308.74616719063704,0.9730944037437439,0.635937511920929,79.08847045898438,78.45252990722656,False,2.771627902984619,True,0
burst_medium,43,0.3,1000,0.9965397119522095,1.1268538236618042,0.429630845785141,1.019226312637329,0.979928195476532,1.0126307010650635,0.07149259746074677,0.4418436288833618,0.0033015089575201273,0.011382248252630234,0.16609646379947662,0.0,0.9250470995903015,13.939061164855957,1.015924803679809,308.71529526392794,0.9723594784736633,0.635937511920929,79.08332824707031,78.4473876953125,False,3.0655922889709473,True,0
