condition,version,version_available,zeta,seed,trajectory_id,final_ADE,final_RMSE,final_acceleration_RMS,final_likelihood_norm,motion_usage_ratio,noisy_reversion_gap,ADE_high,ADE_low,finite,first_nonfinite_step,first_nonfinite_stage,max_update_to_x_ratio,baseline_zeta0_ADE,baseline_zeta0_likelihood_norm,baseline_zeta0_acceleration_RMS,likelihood_improves_vs_zeta0,ADE_improves_vs_zeta0,acceleration_increases_vs_zeta0
gaussian_medium,A_current_post_base_update,True,0.3,42,0,2.495056390762329,2.5048532485961914,0.25551801919937134,127.17321014404297,4.013293159101325,0.515256404876709,2.335559606552124,2.467242956161499,True,,none,1.5199195278885875,2.0467400550842285,8.64323616027832,0.17564429342746735,False,False,True
gaussian_medium,A_current_post_base_update,True,1.0,42,0,6.972564697265625,7.620914936065674,0.8664636611938477,495.9889831542969,13.855268835929207,4.992764472961426,2.7985215187072754,6.185100555419922,True,,none,1.62893548718977,2.0467400550842285,8.64323616027832,0.17564429342746735,False,False,True
gaussian_medium,B_pre_step_guidance,True,0.3,42,0,2.5727434158325195,2.5836408138275146,0.2468271553516388,129.4606170654297,3.9677476482623986,0.5929434299468994,2.3427939414978027,2.5387322902679443,True,,none,1.64460035605626,2.0467400550842285,8.64323616027832,0.17564429342746735,False,False,True
gaussian_medium,B_pre_step_guidance,True,1.0,42,0,5.1810407638549805,5.845945358276367,0.7268869876861572,509.51123046875,13.577808724704493,3.2012407779693604,1.8679852485656738,4.550065994262695,True,,none,1.924213109035872,2.0467400550842285,8.64323616027832,0.17564429342746735,False,False,True
gaussian_medium,C_post_step_consistent,True,0.3,42,0,2.7800252437591553,2.8305442333221436,0.3079208433628082,118.7225341796875,3.603616793162664,0.8002252578735352,1.9864224195480347,2.7187774181365967,True,,none,1.7058040200764555,2.0467400550842285,8.64323616027832,0.17564429342746735,False,False,True
gaussian_medium,C_post_step_consistent,True,1.0,42,0,6.909754753112793,7.449868202209473,0.9076539874076843,448.22552490234375,11.89903747642701,4.929954528808594,3.4107065200805664,5.997119426727295,True,,none,1.712230571578248,2.0467400550842285,8.64323616027832,0.17564429342746735,False,False,True
gaussian_medium,Z_no_guidance,True,0.0,42,1,1.2652337551116943,1.4513566493988037,0.13801537454128265,9.576164245605469,2.0257067061065626,0.020854949951171875,1.9860566854476929,1.0203791856765747,True,,none,0.0,1.2652337551116943,9.576164245605469,0.13801537454128265,False,False,False
gaussian_medium,A_current_post_base_update,True,0.3,42,1,1.4568579196929932,1.6812468767166138,0.14093120396137238,117.84272003173828,3.606851121371477,0.2124791145324707,1.339198112487793,1.6541306972503662,True,,none,1.6319116251939523,1.2652337551116943,9.576164245605469,0.13801537454128265,False,False,True
gaussian_medium,A_current_post_base_update,True,1.0,42,1,4.3562140464782715,4.609113693237305,1.0252137184143066,296.0284118652344,10.383432869946427,3.111835241317749,2.2808279991149902,4.934075832366943,True,,none,1.5955224632864087,1.2652337551116943,9.576164245605469,0.13801537454128265,False,False,True
gaussian_medium,B_pre_step_guidance,True,0.3,42,1,1.5017954111099243,1.7558200359344482,0.15182752907276154,125.94168853759766,3.7160515419919005,0.25741660594940186,1.4682557582855225,1.7592476606369019,True,,none,1.6434046941603628,1.2652337551116943,9.576164245605469,0.13801537454128265,False,False,True
