method,seed,span_ratio,span_mode,ADE,FDE,RMSE,masked_ADE,masked_RMSE,off_map_ratio,wall_crossing_count
savgol_w5_p2,6,0.2,random,0.0025034549180418253,0.0006978530436754227,0.004145094659179449,0.008293882943689823,0.008909462951123714,1.3860782302553156e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,6,0.2,random,0.00928903091698885,0.006366346497088671,0.014613721519708633,0.027676008641719818,0.030882470309734344,5.682920744046794e-05,0
linear_interp,7,0.2,random,0.0017130087362602353,0.0,0.004068762995302677,0.008565041236579418,0.009098032489418983,0.0,0
savgol_w5_p2,7,0.2,random,0.0024979189038276672,0.0007005650550127029,0.004126439802348614,0.00826637726277113,0.008865936659276485,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,7,0.2,random,0.009333734400570393,0.006384982727468014,0.014781500212848186,0.02791599929332733,0.03128276765346527,7.06899897430211e-05,0
linear_interp,8,0.2,random,0.0017257457366213202,0.0,0.004114869050681591,0.008628728799521923,0.009201126173138618,0.0,0
savgol_w5_p2,8,0.2,random,0.002509440528228879,0.0006996281445026398,0.004169392865151167,0.008326507173478603,0.008965270593762398,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,8,0.2,random,0.009309099987149239,0.006369417067617178,0.014703076332807541,0.027811411768198013,0.0311021339148283,4.989881628919136e-05,0
linear_interp,9,0.2,random,0.001728357863612473,0.0,0.004126803483814001,0.008641788735985756,0.009227813221514225,0.0,0
savgol_w5_p2,9,0.2,random,0.002513082465156913,0.0007021860801614821,0.004180775489658117,0.008339114487171173,0.0089903324842453,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,9,0.2,random,0.009286854416131973,0.006376257166266441,0.014580913819372654,0.027669614180922508,0.030804511159658432,4.158234690765947e-05,0
linear_interp,10,0.2,random,0.0017184509197250009,0.0,0.004087037406861782,0.008592254482209682,0.009138893336057663,0.0,0
savgol_w5_p2,10,0.2,random,0.002504544099792838,0.0007033266010694206,0.004144466947764158,0.008290356956422329,0.00890426617115736,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,10,0.2,random,0.009330431930720806,0.006376731209456921,0.014744814485311508,0.027896186336874962,0.031194789335131645,5.267097274970199e-05,0
linear_interp,11,0.2,random,0.0017188283381983638,0.0,0.0041091651655733585,0.008594142273068428,0.00918837171047926,0.0,0
savgol_w5_p2,11,0.2,random,0.0025036907754838467,0.0006989024113863707,0.004164301790297031,0.008292857557535172,0.008953673765063286,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,11,0.2,random,0.009298224002122879,0.00637733144685626,0.014672047458589077,0.02772003971040249,0.031024323776364326,3.0493721065616942e-05,0
linear_interp,12,0.2,random,0.0017222322057932615,0.0,0.00409662863239646,0.008611159399151802,0.009160340763628483,0.0,0
savgol_w5_p2,12,0.2,random,0.002507092198356986,0.0007034271256998181,0.004152629058808088,0.00831135455518961,0.00892668031156063,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,12,0.2,random,0.009337576106190681,0.006380063947290182,0.014845788478851318,0.02796134166419506,0.03144300356507301,6.791783328251046e-05,0
linear_interp,13,0.2,random,0.0017248713411390781,0.0,0.004101260099560022,0.008624357171356678,0.009170697070658207,0.0,0
savgol_w5_p2,13,0.2,random,0.0025115525349974632,0.0007017044699750841,0.004158530849963427,0.00832214392721653,0.008934753946959972,1.3860782302553156e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,13,0.2,random,0.009307559579610825,0.006378793157637119,0.01473472360521555,0.02778322994709015,0.03117447905242443,5.544312921021262e-05,0
linear_interp,14,0.2,random,0.0017256394494324923,0.0,0.004103768151253462,0.008628197014331818,0.009176304563879967,0.0,0
savgol_w5_p2,14,0.2,random,0.0025099385529756546,0.0006972659029997885,0.004159555304795504,0.008328685536980629,0.008943487890064716,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,14,0.2,random,0.009309553541243076,0.006373366806656122,0.014715801924467087,0.027779942378401756,0.031125983223319054,5.821528567072325e-05,0
linear_interp,15,0.2,random,0.0017168481135740876,0.0,0.004094557370990515,0.008584241382777691,0.00915570929646492,0.0,0
savgol_w5_p2,15,0.2,random,0.0025012765545397997,0.0006980752223171294,0.004150683060288429,0.008284294046461582,0.008922809734940529,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,15,0.2,random,0.009329236112535,0.006374693010002375,0.0147542804479599,0.02788941189646721,0.03121993876993656,5.544312921021262e-05,0
linear_interp,16,0.2,random,0.0017324015498161316,0.0,0.0041215065866708755,0.008662009611725807,0.00921597145497799,0.0,0
savgol_w5_p2,16,0.2,random,0.0025186887942254543,0.0007018811884336174,0.004176321439445019,0.008357837796211243,0.008978037163615227,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,16,0.2,random,0.009288174100220203,0.006373705342411995,0.014616282656788826,0.027683662250638008,0.03089168295264244,5.821528567072325e-05,0
linear_interp,17,0.2,random,0.0017102756537497044,0.0,0.00407926132902503,0.008551378734409809,0.009121506474912167,0.0,0
savgol_w5_p2,17,0.2,random,0.002495422726497054,0.0007035559392534196,0.004135720431804657,0.00824897550046444,0.008885239250957966,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,17,0.2,random,0.009331051260232925,0.006385293789207935,0.014794502407312393,0.027900204062461853,0.03131705895066261,5.682920744046794e-05,0
linear_interp,18,0.2,random,0.0017209429061040282,0.0,0.004103028681129217,0.008604711852967739,0.009174649603664875,0.0,0
savgol_w5_p2,18,0.2,random,0.002505932468920946,0.0006962007028050721,0.004159094765782356,0.00830259919166565,0.008939098566770554,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,18,0.2,random,0.009333314374089241,0.006365061737596989,0.014764739200472832,0.027913939207792282,0.031245488673448563,7.484822443378704e-05,0
linear_interp,19,0.2,random,0.0017147335456684232,0.0,0.0040819281712174416,0.008573665283620358,0.00912746973335743,0.0,0
savgol_w5_p2,19,0.2,random,0.0024997915606945753,0.0006988031091168523,0.0041389986872673035,0.008274689316749573,0.008893056772649288,1.3860782302553156e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,19,0.2,random,0.009318125434219837,0.006376112811267376,0.014748459681868553,0.027825795114040375,0.03120472840964794,5.544312921021262e-05,0
