condition,method,t_start,tau_high,gamma,ADE,RMSE,acceleration_RMS,high_conf_ADE,mid_conf_ADE,low_conf_ADE,noisy_reversion_gap,motion_usage_ratio,win_rate_vs_noisy_input,win_rate_vs_vanilla_best,setting,best_vanilla_t_start,high_conf_no_harm_ratio,low_conf_preservation_ratio
burst_medium,fused_tau09_gamma1,1,0.9,1,0.07459039986133575,0.1540021002292633,0.4392576515674591,0.004539230838418007,0.012623021379113197,0.17170099914073944,-0.0001650601625442505,0.6572328524595474,0.65,0.985,tau09_gamma1,1,1.3412086615952679,0.9959734617035877
burst_medium,fused_tau09_gamma2,1,0.9,2,0.07360215485095978,0.15386798977851868,0.4392528533935547,0.0034976997412741184,0.01120760664343834,0.17128652334213257,-0.001153305172920227,0.49774335184452845,0.8,0.97,tau09_gamma2,1,1.0334669805625731,0.9935692421708144
bias_medium,fused_tau05_gamma1,1,0.5,1,0.1890280544757843,0.1890365183353424,0.17683319747447968,0.04233614355325699,0.1339307576417923,0.28812307119369507,3.24249267578125e-05,0.5253298015888537,0.345,0.525,tau05_gamma1,1,1.0,0.999914569093125
bias_medium,fused_tau05_gamma2,1,0.5,2,0.18902160227298737,0.18902602791786194,0.17687156796455383,0.04233614355325699,0.13393104076385498,0.28810611367225647,2.5972723960876465e-05,0.38099569792653654,0.355,0.525,tau05_gamma2,1,1.0,0.9998557189889945
bias_medium,fused_tau07_gamma1,1,0.7,1,0.1890261024236679,0.18903663754463196,0.1767982691526413,0.04233614355325699,0.13392724096775055,0.28812307119369507,3.0472874641418457e-05,0.6078697664637557,0.445,0.525,tau07_gamma1,1,1.0,0.999914569093125
bias_medium,fused_tau07_gamma2,1,0.7,2,0.1890198141336441,0.18902462720870972,0.17685489356517792,0.04233614355325699,0.1339278221130371,0.28810611367225647,2.4184584617614746e-05,0.4162325231518834,0.455,0.525,tau07_gamma2,1,1.0,0.9998557189889945
bias_medium,fused_tau09_gamma1,1,0.9,1,0.18901516497135162,0.18902616202831268,0.17679637670516968,0.04213716462254524,0.13392724096775055,0.28812307119369507,1.9535422325134277e-05,0.6210654365198401,0.475,0.525,tau09_gamma1,1,0.9953000222974622,0.999914569093125
bias_medium,fused_tau09_gamma2,1,0.9,2,0.18901559710502625,0.18902043998241425,0.17685440182685852,0.042259443551301956,0.1339278221130371,0.28810611367225647,1.996755599975586e-05,0.41937155551179833,0.485,0.525,tau09_gamma2,1,0.9981883091959345,0.9998557189889945
jump_medium,fused_tau05_gamma1,3,0.5,1,0.2555558681488037,0.29489752650260925,0.31796860694885254,0.0,0.2773427665233612,0.4164857566356659,-0.007812559604644775,0.6072374335976221,0.855,0.43,tau05_gamma1,3,,1.0094573720123823
jump_medium,fused_tau05_gamma2,3,0.5,2,0.2577974498271942,0.29735562205314636,0.3205888271331787,0.0,0.2802729904651642,0.4195164740085602,-0.0055709779262542725,0.4216881625834411,0.86,0.345,tau05_gamma2,3,,1.016803073385864
jump_medium,fused_tau07_gamma1,3,0.7,1,0.2553905248641968,0.2947801649570465,0.3178953528404236,0.0,0.27694785594940186,0.4164857566356659,-0.007977902889251709,0.619341515296726,0.855,0.435,tau07_gamma1,3,,1.0094573720123823
jump_medium,fused_tau07_gamma2,3,0.7,2,0.2577134370803833,0.2972952425479889,0.3205532133579254,0.0,0.2800724506378174,0.4195164740085602,-0.0056549906730651855,0.42767558335740713,0.86,0.345,tau07_gamma2,3,,1.016803073385864
jump_medium,fused_tau09_gamma1,3,0.9,1,0.2553905248641968,0.2947801649570465,0.3178953528404236,0.0,0.27694785594940186,0.4164857566356659,-0.007977902889251709,0.619341515296726,0.855,0.435,tau09_gamma1,3,,1.0094573720123823
jump_medium,fused_tau09_gamma2,3,0.9,2,0.2577134370803833,0.2972952425479889,0.3205532133579254,0.0,0.2800724506378174,0.4195164740085602,-0.0056549906730651855,0.42767558335740713,0.86,0.345,tau09_gamma2,3,,1.016803073385864
combined_medium,fused_tau05_gamma1,1,0.5,1,0.19869102537631989,0.2048017829656601,0.2592757046222687,0.044971123337745667,0.15022020041942596,0.3046630918979645,-0.0003727376461029053,0.5218221187242248,0.545,0.535,tau05_gamma1,1,1.0,1.00058158797399
combined_medium,fused_tau05_gamma2,1,0.5,2,0.1987403929233551,0.20488178730010986,0.2598092555999756,0.044971123337745667,0.1502084732055664,0.30481722950935364,-0.000323370099067688,0.37853686719956925,0.55,0.535,tau05_gamma2,1,1.0,1.0010878102899572
combined_medium,fused_tau07_gamma1,1,0.7,1,0.19872955977916718,0.2048078179359436,0.2589040696620941,0.044971123337745667,0.15028846263885498,0.3046630918979645,-0.00033420324325561523,0.6004424400184737,0.525,0.535,tau07_gamma1,1,1.0,1.00058158797399
combined_medium,fused_tau07_gamma2,1,0.7,2,0.1987537145614624,0.20488117635250092,0.2596522867679596,0.044971123337745667,0.15023207664489746,0.30481722950935364,-0.0003100484609603882,0.41168774408596004,0.535,0.535,tau07_gamma2,1,1.0,1.0010878102899572
combined_medium,fused_tau09_gamma1,1,0.9,1,0.19874681532382965,0.2048148512840271,0.2588030695915222,0.0452093668282032,0.15028846263885498,0.3046630918979645,-0.00031694769859313965,0.6154930355692092,0.525,0.54,tau09_gamma1,1,1.005297699340714,1.00058158797399
combined_medium,fused_tau09_gamma2,1,0.9,2,0.19875729084014893,0.20488256216049194,0.2596290111541748,0.04502055421471596,0.15023207664489746,0.30481722950935364,-0.00030647218227386475,0.41521370234103006,0.53,0.54,tau09_gamma2,1,1.0010991692735591,1.0010878102899572
