condition,method,t_start,tau_high,gamma,bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
drift_medium,sdedit_t2,2,,,mid,1815,0.01473530288785696,0.007704298011958599,0.013554348610341549,0.00018868647748604417,0.050483398139476776,0.009117940440773964,0.019291911274194717
drift_medium,sdedit_t2,2,,,low,1604,0.029837284237146378,0.012665553949773312,0.028398219496011734,0.000409261992899701,0.07463550567626953,0.020856602117419243,0.037857308983802795
drift_medium,sdedit_t3,3,,,high,581,0.007394797168672085,0.00842211488634348,0.005551783833652735,0.0,0.0509817935526371,0.0,0.01115331333130598
drift_medium,sdedit_t3,3,,,mid,1815,0.01639685407280922,0.009367485530674458,0.014901470392942429,0.0004018242470920086,0.06510835140943527,0.009679140523076057,0.021516064181923866
drift_medium,sdedit_t3,3,,,low,1604,0.030663419514894485,0.01427594106644392,0.028996359556913376,0.0007606073631905019,0.07710576802492142,0.020277967676520348,0.04037393629550934
burst_medium,sdedit_t1,1,,,high,351,0.014317197725176811,0.013004801236093044,0.009096483699977398,9.657843474997208e-05,0.07023398578166962,0.005113459192216396,0.019068047404289246
burst_medium,sdedit_t1,1,,,mid,2073,0.017105525359511375,0.011532023549079895,0.013882363215088844,4.052975418744609e-05,0.07592251151800156,0.009223009459674358,0.021318508312106133
burst_medium,sdedit_t1,1,,,low,1576,0.17239515483379364,0.18624132871627808,0.07153308391571045,0.0017021732637658715,0.9679598212242126,0.022139251232147217,0.2912774085998535
burst_medium,sdedit_t2,2,,,high,351,0.023808041587471962,0.022635992616415024,0.01462643500417471,6.622416549362242e-05,0.11494351923465729,0.007299325428903103,0.034787289798259735
burst_medium,sdedit_t2,2,,,mid,2073,0.024491585791110992,0.02000892162322998,0.017405373975634575,0.00021415292576421052,0.12136562913656235,0.010568137280642986,0.03292108327150345
burst_medium,sdedit_t2,2,,,low,1576,0.17251244187355042,0.18144726753234863,0.08703000843524933,0.0009514075936749578,0.9543148875236511,0.02440531551837921,0.2856976389884949
burst_medium,sdedit_t3,3,,,high,351,0.03349947929382324,0.032512400299310684,0.020958246663212776,0.000982221681624651,0.1627485752105713,0.009278031066060066,0.05072365701198578
burst_medium,sdedit_t3,3,,,mid,2073,0.032961126416921616,0.029240841045975685,0.021721526980400085,0.00026851333677768707,0.1678914725780487,0.011652208864688873,0.047010671347379684
burst_medium,sdedit_t3,3,,,low,1576,0.17342381179332733,0.17646276950836182,0.10229231417179108,0.0018635861342772841,0.9390920400619507,0.02837466076016426,0.2797237038612366
bias_medium,sdedit_t1,1,,,high,220,0.042234715074300766,0.012900162488222122,0.04459306597709656,0.010714524425566196,0.06466817110776901,0.03751850873231888,0.050060372799634933
bias_medium,sdedit_t1,1,,,mid,2220,0.1339758038520813,0.03755044564604759,0.13388663530349731,0.060782432556152344,0.21121419966220856,0.10082833468914032,0.1635502576828003
bias_medium,sdedit_t1,1,,,low,1560,0.2881476879119873,0.06625424325466156,0.27492064237594604,0.19816584885120392,0.5542882084846497,0.24330753087997437,0.3206567168235779
bias_medium,sdedit_t2,2,,,high,220,0.04237551614642143,0.013697738759219646,0.043158844113349915,0.009638221934437752,0.07104834169149399,0.036107927560806274,0.05058452486991882
bias_medium,sdedit_t2,2,,,mid,2220,0.13426028192043304,0.03780454397201538,0.13439002633094788,0.06099158525466919,0.2198275774717331,0.10095393657684326,0.1639053374528885
bias_medium,sdedit_t2,2,,,low,1560,0.2882859706878662,0.0662774071097374,0.27420663833618164,0.18427570164203644,0.5542882084846497,0.2413206398487091,0.3202170431613922
bias_medium,sdedit_t3,3,,,high,220,0.0421929806470871,0.015283269807696342,0.042728520929813385,0.005411705933511257,0.08007800579071045,0.03483913093805313,0.05084456503391266
bias_medium,sdedit_t3,3,,,mid,2220,0.13447411358356476,0.03827522695064545,0.13441938161849976,0.05693743750452995,0.23180286586284637,0.10316506028175354,0.1632174253463745
bias_medium,sdedit_t3,3,,,low,1560,0.28814297914505005,0.06607360392808914,0.27436137199401855,0.17397643625736237,0.5542882084846497,0.23978662490844727,0.3149283528327942
jump_medium,sdedit_t1,1,,,high,986,0.004125571809709072,0.003486925968900323,0.0034419759176671505,0.0,0.017115255817770958,0.0013604452833533287,0.006485873367637396
jump_medium,sdedit_t1,1,,,mid,1675,0.28006839752197266,0.04530291631817818,0.2842283844947815,0.17750948667526245,0.37710171937942505,0.239460289478302,0.3168099522590637
jump_medium,sdedit_t1,1,,,low,1339,0.4234866201877594,0.03923913463950157,0.42596471309661865,0.34821996092796326,0.5015293955802917,0.3883817195892334,0.4564017951488495
jump_medium,sdedit_t2,2,,,high,986,0.006666657514870167,0.005572113208472729,0.005728582385927439,0.0,0.03782301023602486,0.0023667558562010527,0.010071134194731712
jump_medium,sdedit_t2,2,,,mid,1675,0.27602070569992065,0.046726908534765244,0.27846208214759827,0.15699011087417603,0.40363121032714844,0.2353191077709198,0.3139146566390991
jump_medium,sdedit_t2,2,,,low,1339,0.41809144616127014,0.03951667249202728,0.4194275438785553,0.32761114835739136,0.5050695538520813,0.3855331540107727,0.4486428499221802
jump_medium,sdedit_t3,3,,,high,986,0.0088640246540308,0.007538736332207918,0.007280389312654734,0.0,0.0511074922978878,0.0032085538841784,0.012951022945344448
jump_medium,sdedit_t3,3,,,mid,1675,0.2720397114753723,0.04897163435816765,0.2734054923057556,0.14682236313819885,0.4196653664112091,0.23193567991256714,0.3092326819896698
jump_medium,sdedit_t3,3,,,low,1339,0.4125837981700897,0.0414951927959919,0.41465091705322266,0.30958154797554016,0.5172573924064636,0.38316610455513,0.4421582520008087
combined_medium,sdedit_t1,1,,,high,290,0.04686868563294411,0.016475338488817215,0.04867706447839737,0.0031544792000204325,0.07936394959688187,0.03394622355699539,0.0602058544754982
combined_medium,sdedit_t1,1,,,mid,2257,0.15049108862876892,0.043716203421354294,0.1510031521320343,0.054427750408649445,0.24272575974464417,0.1156359314918518,0.18705196678638458
