condition,method,t_start,tau_high,gamma,bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
drift_medium,fused_tau09_gamma2,1,0.9,2,low,1604,0.02930567041039467,0.009763205423951149,0.027042411267757416,0.010789173655211926,0.06832844018936157,0.022157933562994003,0.03394846245646477
burst_medium,fused_tau05_gamma1,1,0.5,1,high,351,0.003384432988241315,0.00118119060061872,0.003593557747080922,9.825579036260024e-05,0.005006195046007633,0.002589566633105278,0.004384332336485386
burst_medium,fused_tau05_gamma1,1,0.5,1,mid,2073,0.011864076368510723,0.006622043438255787,0.009544694796204567,0.0003016923146788031,0.056316301226615906,0.0074652559123933315,0.014607757329940796
burst_medium,fused_tau05_gamma1,1,0.5,1,low,1576,0.17170099914073944,0.1867334246635437,0.07003772258758545,0.0010165426647290587,0.9679598212242126,0.02128162793815136,0.2912774085998535
burst_medium,fused_tau05_gamma2,1,0.5,2,high,351,0.003384432988241315,0.00118119060061872,0.003593557747080922,9.825579036260024e-05,0.005006195046007633,0.002589566633105278,0.004384332336485386
burst_medium,fused_tau05_gamma2,1,0.5,2,mid,2073,0.011094742454588413,0.004857049323618412,0.009692498482763767,0.0009600030607543886,0.04302646964788437,0.007577879820019007,0.013887936249375343
burst_medium,fused_tau05_gamma2,1,0.5,2,low,1576,0.17128652334213257,0.18703016638755798,0.07006902992725372,0.001595118548721075,0.9679598212242126,0.02096591517329216,0.2912774085998535
burst_medium,fused_tau07_gamma1,1,0.7,1,high,351,0.003384432988241315,0.00118119060061872,0.003593557747080922,9.825579036260024e-05,0.005006195046007633,0.002589566633105278,0.004384332336485386
burst_medium,fused_tau07_gamma1,1,0.7,1,mid,2073,0.012623021379113197,0.006882224231958389,0.011199907399713993,0.0003016923146788031,0.056316301226615906,0.007987176068127155,0.015540054067969322
burst_medium,fused_tau07_gamma1,1,0.7,1,low,1576,0.17170099914073944,0.1867334246635437,0.07003772258758545,0.0010165426647290587,0.9679598212242126,0.02128162793815136,0.2912774085998535
burst_medium,fused_tau07_gamma2,1,0.7,2,high,351,0.003384432988241315,0.00118119060061872,0.003593557747080922,9.825579036260024e-05,0.005006195046007633,0.002589566633105278,0.004384332336485386
burst_medium,fused_tau07_gamma2,1,0.7,2,mid,2073,0.01120760664343834,0.004987552296370268,0.01039209309965372,0.0009600030607543886,0.04302646964788437,0.007613548077642918,0.014105693437159061
burst_medium,fused_tau07_gamma2,1,0.7,2,low,1576,0.17128652334213257,0.18703016638755798,0.07006902992725372,0.001595118548721075,0.9679598212242126,0.02096591517329216,0.2912774085998535
burst_medium,fused_tau09_gamma1,1,0.9,1,high,351,0.004539230838418007,0.00312215369194746,0.004059347324073315,9.825579036260024e-05,0.018837634474039078,0.0024060062132775784,0.005734473932534456
burst_medium,fused_tau09_gamma1,1,0.9,1,mid,2073,0.012623021379113197,0.006882224231958389,0.011199907399713993,0.0003016923146788031,0.056316301226615906,0.007987176068127155,0.015540054067969322
burst_medium,fused_tau09_gamma1,1,0.9,1,low,1576,0.17170099914073944,0.1867334246635437,0.07003772258758545,0.0010165426647290587,0.9679598212242126,0.02128162793815136,0.2912774085998535
burst_medium,fused_tau09_gamma2,1,0.9,2,high,351,0.0034976997412741184,0.0014317880850285292,0.0036255584564059973,9.825579036260024e-05,0.00867356825619936,0.002501297276467085,0.004441729746758938
burst_medium,fused_tau09_gamma2,1,0.9,2,mid,2073,0.01120760664343834,0.004987552296370268,0.01039209309965372,0.0009600030607543886,0.04302646964788437,0.007613548077642918,0.014105693437159061
burst_medium,fused_tau09_gamma2,1,0.9,2,low,1576,0.17128652334213257,0.18703016638755798,0.07006902992725372,0.001595118548721075,0.9679598212242126,0.02096591517329216,0.2912774085998535
bias_medium,fused_tau05_gamma1,1,0.5,1,high,220,0.04233614355325699,0.013584645465016365,0.0481833778321743,0.018522178754210472,0.06126352772116661,0.03133554011583328,0.05310067534446716
bias_medium,fused_tau05_gamma1,1,0.5,1,mid,2220,0.1339307576417923,0.03733214735984802,0.13268083333969116,0.0706474781036377,0.21012955904006958,0.10210229456424713,0.16397002339363098
bias_medium,fused_tau05_gamma1,1,0.5,1,low,1560,0.28812307119369507,0.06615547090768814,0.2746318578720093,0.20470425486564636,0.5542882084846497,0.24411502480506897,0.32087770104408264
bias_medium,fused_tau05_gamma2,1,0.5,2,high,220,0.04233614355325699,0.013584645465016365,0.0481833778321743,0.018522178754210472,0.06126352772116661,0.03133554011583328,0.05310067534446716
bias_medium,fused_tau05_gamma2,1,0.5,2,mid,2220,0.13393104076385498,0.037302277982234955,0.13308236002922058,0.0706474781036377,0.2093745619058609,0.10210229456424713,0.16440421342849731
bias_medium,fused_tau05_gamma2,1,0.5,2,low,1560,0.28810611367225647,0.06608708202838898,0.2747764587402344,0.20601999759674072,0.5542882084846497,0.24476787447929382,0.32074683904647827
bias_medium,fused_tau07_gamma1,1,0.7,1,high,220,0.04233614355325699,0.013584645465016365,0.0481833778321743,0.018522178754210472,0.06126352772116661,0.03133554011583328,0.05310067534446716
bias_medium,fused_tau07_gamma1,1,0.7,1,mid,2220,0.13392724096775055,0.037365369498729706,0.13268083333969116,0.06759587675333023,0.21012955904006958,0.10112224519252777,0.16397002339363098
bias_medium,fused_tau07_gamma1,1,0.7,1,low,1560,0.28812307119369507,0.06615547090768814,0.2746318578720093,0.20470425486564636,0.5542882084846497,0.24411502480506897,0.32087770104408264
bias_medium,fused_tau07_gamma2,1,0.7,2,high,220,0.04233614355325699,0.013584645465016365,0.0481833778321743,0.018522178754210472,0.06126352772116661,0.03133554011583328,0.05310067534446716
bias_medium,fused_tau07_gamma2,1,0.7,2,mid,2220,0.1339278221130371,0.037314895540475845,0.13308236002922058,0.07002916187047958,0.2093745619058609,0.1012813076376915,0.16440421342849731
bias_medium,fused_tau07_gamma2,1,0.7,2,low,1560,0.28810611367225647,0.06608708202838898,0.2747764587402344,0.20601999759674072,0.5542882084846497,0.24476787447929382,0.32074683904647827
bias_medium,fused_tau09_gamma1,1,0.9,1,high,220,0.04213716462254524,0.013141498900949955,0.04749472439289093,0.01836773194372654,0.06227539852261543,0.03261781483888626,0.05176226422190666
bias_medium,fused_tau09_gamma1,1,0.9,1,mid,2220,0.13392724096775055,0.037365369498729706,0.13268083333969116,0.06759587675333023,0.21012955904006958,0.10112224519252777,0.16397002339363098
